entrezId	sym	refseqIds	refseqProtIds
7158	TP53BP1	NM_005657.2,NM_001141980.1,NM_001141979.1	NP_005648.1,NP_001135451.1,NP_001135452.1
7159	TP53BP2	NM_001031685.2,NM_005426.2	NP_001026855.2,NP_005417.1
7161	TP73	NM_001204189.1,NM_001204191.1,NM_001204190.1,NM_001204186.1,NM_001126240.2,NM_001204187.1,NM_001126241.2,NM_005427.3,NM_001204192.1,NM_001204184.1,NM_001204185.1,NM_001204188.1,NM_001126242.2	NP_001191117.1,NP_001191119.1,NP_001191116.1,NP_001191118.1,NP_001191121.1,NP_001191120.1,NP_001119714.1,NP_001191115.1,NP_001191114.1,NP_001119713.1,NP_005418.1,NP_001119712.1,NP_001191113.1
7162	TPBG	NM_006670.4,NM_001166392.1	NP_001159864.1,NP_006661.1
7163	TPD52	NM_001025252.1,NM_005079.2,NM_001025253.1	NP_001020423.1,NP_001020424.1,NP_005070.1
7164	TPD52L1	NM_001003397.1,NM_003287.2,NM_001003395.1,NM_001003396.1	NP_001003396.1,NP_003278.1,NP_001003397.1,NP_001003395.1
7165	TPD52L2	NM_001243892.1,NM_199363.2,NR_045090.1,NM_001243891.1,NM_003288.3,NM_001243894.1,NM_199361.2,NM_199359.2,NM_199362.2,NM_199360.2,NM_001243895.1	NP_955391.1,NP_955395.1,NP_001230824.1,NP_001230821.1,NP_001230820.1,NP_003279.2,NP_955393.1,NP_955392.1,NP_955394.1,NP_001230823.1
7166	TPH1	NM_004179.2	NP_004170.1
7167	TPI1	NM_001159287.1,NM_001258026.1,NM_000365.5	NP_001152759.1,NP_000356.1,NP_001244955.1
7168	TPM1	NM_001018007.1,NM_000366.5,NM_001018008.1,NM_001018004.1,NM_001018005.1,NM_001018020.1,NM_001018006.1	NP_001018008.1,NP_001018007.1,NP_001018006.1,NP_001018020.1,NP_000357.3,NP_001018005.1,NP_001018004.1
7169	TPM2	NM_213674.1,NM_003289.3	NP_003280.2,NP_998839.1
7170	TPM3	NM_153649.3,NM_001043352.1,NM_152263.2,NM_001043353.1,NM_001043351.1	NP_001036818.1,NP_001036817.1,NP_689476.2,NP_705935.1,NP_001036816.1
7171	TPM4	NM_001145160.1,NM_003290.2	NP_001138632.1,NP_003281.1
7172	TPMT	NM_000367.2	NP_000358.1
7173	TPO	NM_001206744.1,NM_175719.3,NM_001206745.1,NM_175721.3,NM_000547.5,NM_175722.3	NP_001193674.1,NP_783652.1,NP_001193673.1,NP_783653.1,NP_783650.1,NP_000538.3
7174	TPP2	NM_003291.2	NP_003282.2
7175	TPR	NM_003292.2	NP_003283.2
7177	TPSAB1	NM_003294.3	NP_003285.2
7178	TPT1	NM_003295.2	NP_003286.1
7179	TPTE	NM_199259.2,NM_199261.2,NM_199260.2	NP_954869.1,NP_954868.1,NP_954870.2
7180	CRISP2	NM_001142417.2,NM_001142408.2,NM_003296.3,NM_001261822.1,NM_001142435.2,NM_001142407.2	NP_001248751.1,NP_001135879.1,NP_003287.1,NP_001135907.1,NP_001135880.1,NP_001135889.1
7181	NR2C1	NM_001127362.1,NM_003297.3,NM_001032287.2	NP_003288.2,NP_001120834.1,NP_001027458.1
7182	NR2C2	NM_003298.3	NP_003289.2
138255	C9orf135	NM_001010940.1	NP_001010940.1
7184	HSP90B1	NM_003299.2	NP_003290.1
7185	TRAF1	NM_001190945.1,NM_005658.4,NM_001190947.1	NP_001177876.1,NP_001177874.1,NP_005649.1
7186	TRAF2	NM_021138.3	NP_066961.2
7187	TRAF3	NM_145725.2,NM_145726.2,NM_003300.3,NM_001199427.1	NP_001186356.1,NP_663777.1,NP_663778.1,NP_003291.2
7188	TRAF5	NM_004619.3,NM_145759.2,NM_001033910.2	NP_001029082.1,NP_004610.1,NP_665702.1
7189	TRAF6	NM_004620.3,NM_145803.2	NP_665802.1,NP_004611.1
7190	HSP90B2P	NR_073383.1	
400410	ST20	NM_001199757.1,NM_001100880.2,NR_037652.1,NM_001100879.1,NR_037653.1	NP_001094349.1,NP_001094350.1,NP_001186686.1
7200	TRH	NM_007117.3	NP_009048.1
7201	TRHR	NM_003301.5	NP_003292.1
7203	CCT3	NR_036565.1,NM_005998.4,NM_001008800.2,NR_036564.1	NP_005989.3,NP_001008800.1
7204	TRIO	NM_007118.2	NP_009049.2
7205	TRIP6	NM_003302.2	NP_003293.2
7216	TRO	NM_177556.2,NR_073149.1,NR_073148.1,NM_001271183.1,NM_001271184.1,NM_016157.3,NM_001039705.2,NM_177557.2	NP_057241.2,NP_001034794.1,NP_808224.1,NP_808225.1,NP_001258113.1,NP_001258112.1
7220	TRPC1	NM_003304.4,NM_001251845.1	NP_001238774.1,NP_003295.1
7221	TRPC2	NR_002720.2	
7222	TRPC3	NM_001130698.1,NM_003305.2	NP_001124170.1,NP_003296.1
7223	TRPC4	NM_003306.1,NM_001135955.1,NM_001135956.1,NM_001135957.1,NM_001135958.1,NM_016179.2	NP_001129427.1,NP_001129430.1,NP_001129428.1,NP_057263.1,NP_003297.1,NP_001129429.1
7224	TRPC5	NM_012471.2	NP_036603.1
7225	TRPC6	NM_004621.5	NP_004612.2
7226	TRPM2	NR_038257.1,NM_003307.3	NP_003298.1
7227	TRPS1	NM_014112.2	NP_054831.2
400451	FAM174B	NM_207446.2	NP_997329.2
400454	UNQ9370	XR_109224.1,XR_172095.1,XR_111551.1	
138311	FAM69B	NM_152421.3	NP_689634.2
400456	LOC400456	NR_034095.1	
7247	TSN	NR_048556.1,NR_048558.1,NR_048559.1,NM_001261401.1,NM_004622.2,NR_048557.1	NP_001248330.1,NP_004613.1
400464	LOC400464	XR_109229.3,XR_172111.1	
7249	TSC2	NM_000548.3,NM_001077183.1,NM_001114382.1	NP_001107854.1,NP_001070651.1,NP_000539.2
7251	TSG101	NM_006292.3	NP_006283.1
7252	TSHB	NM_000549.3	NP_000540.2
7253	TSHR	NM_000369.2,NM_001142626.2,NM_001018036.2	NP_001018046.1,NP_000360.2,NP_001136098.1
131177	FAM3D	NM_138805.2	NP_620160.1
7257	TSNAX	NM_005999.2	NP_005990.1
7258	TSPY1	NM_001197242.1,NM_003308.3	NP_001184171.1,NP_003299.2
7259	TSPYL1	NM_003309.3	NP_003300.1
7260	TSSC1	NM_003310.2	NP_003301.1
7262	PHLDA2	NM_003311.3	NP_003302.1
7263	TST	NM_001270483.1,NM_003312.5	NP_001257412.1,NP_003303.2
7264	TSTA3	NM_003313.3	NP_003304.1
7265	TTC1	NM_003314.1	NP_003305.1
7266	DNAJC7	NM_003315.3,NM_001144766.2,NR_029431.1	NP_003306.3,NP_001138238.1
7267	TTC3	NM_001001894.1,NM_003316.3	NP_001001894.1,NP_003307.3
7268	TTC4	NM_004623.4	NP_004614.3
7270	TTF1	NM_001205296.1,NM_007344.3	NP_031370.2,NP_001192225.1
7272	TTK	NM_001166691.1,NM_003318.4	NP_003309.2,NP_001160163.1
7273	TTN	NM_001256850.1,NM_133437.3,NM_001267550.1,NM_133379.4,NM_133378.4,NM_003319.4,NM_133432.3	NP_596870.2,NP_003310.4,NP_001254479.1,NP_001243779.1,NP_597676.3,NP_597681.3,NP_596869.4
7274	TTPA	NM_000370.3	NP_000361.1
7275	TUB	NM_177972.2,NM_003320.4	NP_813977.1,NP_003311.2
7276	TTR	NM_000371.3	NP_000362.1
7277	TUBA4A	NM_006000.1	NP_005991.1
7278	TUBA3C	NM_006001.2	NP_005992.1
7280	TUBB2A	NM_001069.2	NP_001060.1
7283	TUBG1	NM_001070.4	NP_001061.2
7284	TUFM	NM_003321.4	NP_003312.3
7286	TUFT1	NM_001126337.1,NM_020127.2	NP_001119809.1,NP_064512.1
7287	TULP1	NM_003322.3	NP_003313.3
7288	TULP2	NM_003323.2	NP_003314.2
7289	TULP3	NM_001160408.1,NM_003324.4	NP_001153880.1,NP_003315.2
7290	HIRA	NM_003325.3	NP_003316.3
7291	TWIST1	NM_000474.3	NP_000465.1
7292	TNFSF4	NM_003326.3	NP_003317.1
7293	TNFRSF4	NM_003327.3	NP_003318.1
7294	TXK	NM_003328.2	NP_003319.2
7295	TXN	NM_001244938.1,NM_003329.3	NP_001231867.1,NP_003320.2
7296	TXNRD1	NM_182729.2,NM_182743.2,NM_003330.3,NM_001261445.1,NM_182742.2,NM_001261446.1,NM_001093771.2	NP_877419.1,NP_003321.3,NP_001248374.1,NP_001087240.1,NP_001248375.1,NP_877393.1,NP_877420.1
7297	TYK2	NM_003331.4	NP_003322.3
7298	TYMS	NM_001071.2	NP_001062.1
7299	TYR	NM_000372.4	NP_000363.1
7301	TYRO3	NM_006293.3	NP_006284.2
7302	TYRO3P	NR_028510.1	
7305	TYROBP	NM_001173514.1,NM_198125.2,NM_001173515.1,NR_033390.1,NM_003332.3	NP_001166985.1,NP_937758.1,NP_003323.1,NP_001166986.1
7306	TYRP1	NM_000550.2	NP_000541.1
7307	U2AF1	NM_006758.2,NM_001025204.1,NM_001025203.1	NP_006749.1,NP_001020374.1,NP_001020375.1
7311	UBA52	NM_003333.3,NM_001033930.1	NP_003324.1,NP_001029102.1
7314	UBB	NM_018955.2	NP_061828.1
7316	UBC	NM_021009.5	NP_066289.2
400533	FLJ26245	NR_033985.1	
7318	UBA7	NM_003335.2	NP_003326.2
7319	UBE2A	NM_181777.1,NM_003336.2,NM_181762.1	NP_003327.2,NP_861442.1,NP_861427.1
7320	UBE2B	NM_003337.2	NP_003328.1
7321	UBE2D1	NM_001204880.1,NM_003338.4	NP_003329.1,NP_001191809.1
7322	UBE2D2	NM_181838.1,NM_003339.2	NP_862821.1,NP_003330.1
400539	FLJ27243	XR_172167.1	
7324	UBE2E1	NM_003341.4,NM_001202476.1,NM_182666.2	NP_001189405.1,NP_003332.1,NP_872607.1
7325	UBE2E2	NM_152653.3	NP_689866.1
7326	UBE2G1	NM_003342.4	NP_003333.1
7327	UBE2G2	NM_003343.5,NM_182688.2,NM_001202489.1	NP_001189418.1,NP_003334.2,NP_872630.1
7328	UBE2H	NM_182697.2,NM_001202498.1,NM_003344.3	NP_874356.1,NP_001189427.1,NP_003335.1
7329	UBE2I	NM_194260.2,NM_194259.2,NM_003345.4,NM_194261.2	NP_003336.1,NP_919236.1,NP_919237.1,NP_919235.1
7332	UBE2L3	NM_001256356.1,NR_046082.1,NR_028436.2,NM_001256355.1,NM_003347.3	NP_001243285.1,NP_003338.1,NP_001243284.1
7334	UBE2N	NM_003348.3	NP_003339.1
7335	UBE2V1	NM_001257395.1,NM_001257394.1,NM_021988.5,NR_047556.1,NM_001257393.1,NM_022442.5,NM_001257397.1,NM_001257399.1,NM_001257396.1,NM_001257398.1,NR_047555.1,NR_047553.1,NR_047554.1,NM_001032288.2,NM_199144.2	NP_001244324.1,NP_068823.2,NP_071887.1,NP_001027459.1,NP_001244327.1,NP_954595.1,NP_001244326.1,NP_001244323.1,NP_001244322.1,NP_001244328.1,NP_001244325.1
7336	UBE2V2	NM_003350.2	NP_003341.1
7337	UBE3A	NM_130839.2,NM_000462.3,NM_130838.1	NP_570853.1,NP_000453.2,NP_570854.1
7341	SUMO1	NM_003352.4,NM_001005781.1,NM_001005782.1	NP_001005782.1,NP_003343.1,NP_001005781.1
400558	LOC400558	NR_046200.1	
7343	UBTF	NM_014233.3,NM_001076684.2,NM_001076683.1,NR_045058.1	NP_001070152.1,NP_055048.1,NP_001070151.1
7345	UCHL1	NM_004181.4	NP_004172.2
7347	UCHL3	NM_001270952.1,NM_006002.4	NP_001257881.1,NP_005993.1
7348	UPK1B	NM_006952.3	NP_008883.2
7349	UCN	NM_003353.2	NP_003344.1
400566	C17orf97	NM_001013672.4	NP_001013694.4
7351	UCP2	NM_003355.2	NP_003346.2
7352	UCP3	NM_022803.2,NM_003356.3	NP_003347.1,NP_073714.1
7353	UFD1L	NM_005659.6,NM_001035247.2	NP_005650.2,NP_001030324.2
7355	SLC35A2	NM_001032289.1,NM_001042498.2,NM_005660.1	NP_005651.1,NP_001035963.1,NP_001027460.1
7356	SCGB1A1	NM_003357.4	NP_003348.1
7357	UGCG	NM_003358.1	NP_003349.1
7358	UGDH	NM_003359.3,NM_001184701.1,NM_001184700.1	NP_001171630.1,NP_003350.1,NP_001171629.1
7360	UGP2	NM_006759.3,NM_001001521.1	NP_006750.3,NP_001001521.1
400578	KRT16P2	NR_029392.1	
7363	UGT2B4	NM_021139.2	NP_066962.2
7364	UGT2B7	NM_001074.2	NP_001065.2
7365	UGT2B10	NM_001075.4,NM_001144767.1	NP_001138239.1,NP_001066.1
7366	UGT2B15	NM_001076.3	NP_001067.2
7367	UGT2B17	NM_001077.3	NP_001068.1
7368	UGT8	NM_003360.3,NM_001128174.1	NP_003351.2,NP_001121646.1
7369	UMOD	NM_003361.2,NM_001008389.1	NP_001008390.1,NP_003352.2
7371	UCK2	NM_012474.4	NP_036606.2
7372	UMPS	NM_000373.3,NR_033437.1,NR_033434.1	NP_000364.1
7373	COL14A1	NM_021110.2	NP_066933.1
7374	UNG	NM_080911.2,NM_003362.3	NP_550433.1,NP_003353.1
400591	C17orf102	NM_207454.2	NP_997337.2
7376	NR1H2	NM_007121.5,NM_001256647.1	NP_009052.3,NP_001243576.1
7378	UPP1	NM_003364.2,NM_181597.1	NP_003355.1,NP_853628.1
7379	UPK2	NM_006760.3	NP_006751.1
7380	UPK3A	NM_001167574.1,NM_006953.3	NP_008884.1,NP_001161046.1
7381	UQCRB	NM_006294.4,NM_001254752.1,NM_001199975.2,NR_045639.1	NP_006285.1,NP_001241681.1,NP_001186904.1
7384	UQCRC1	NM_003365.2	NP_003356.2
7385	UQCRC2	NM_003366.2	NP_003357.2
7386	UQCRFS1	NM_006003.2	NP_005994.2
7388	UQCRH	NM_006004.2	NP_005995.2
7389	UROD	NR_036510.1,NM_000374.4	NP_000365.3
7390	UROS	NM_000375.2	NP_000366.1
7391	USF1	NM_001276373.1,NM_007122.4,NM_207005.2	NP_001263302.1,NP_996888.1,NP_009053.1
7392	USF2	NM_207291.1,NM_003367.2	NP_997174.1,NP_003358.1
23078	VWA8	NM_001009814.1,NM_015058.1	NP_001009814.1,NP_055873.1
7398	USP1	NM_001017416.1,NM_001017415.1,NM_003368.4	NP_001017415.1,NP_003359.3,NP_001017416.1
7399	USH2A	NM_206933.2,NM_007123.5	NP_009054.5,NP_996816.2
7401	CLRN1	NM_174878.2,NM_001256819.1,NM_052995.2,NR_046380.1,NM_001195794.1	NP_777367.1,NP_443721.1,NP_001182723.1,NP_001243748.1
7402	UTRN	NM_007124.2	NP_009055.2
7403	KDM6A	NM_021140.2	NP_066963.2
400620	LOC400620	NR_040020.1	
7405	UVRAG	NM_003369.3	NP_003360.2
7407	VARS	NM_006295.2	NP_006286.1
7408	VASP	NM_003370.3	NP_003361.1
7409	VAV1	NM_001258206.1,NM_001258207.1,NM_005428.3	NP_005419.2,NP_001245135.1,NP_001245136.1
7410	VAV2	NM_001134398.1,NM_003371.3	NP_003362.2,NP_001127870.1
7411	VBP1	NM_003372.5	NP_003363.1
7412	VCAM1	NM_001078.3,NM_001199834.1,NM_080682.2	NP_001069.1,NP_001186763.1,NP_542413.1
400629	TEX19	NM_207459.3	NP_997342.1
7414	VCL	NM_003373.3,NM_014000.2	NP_003364.1,NP_054706.1
7415	VCP	NM_007126.3	NP_009057.1
7416	VDAC1	NM_003374.2,NR_036624.1,NR_036625.1	NP_003365.1
7417	VDAC2	NM_001184783.1,NR_033675.1,NM_001184823.1,NM_003375.3	NP_001171752.1,NP_003366.2,NP_001171712.1
7419	VDAC3	NM_005662.6,NM_001135694.2	NP_005653.3,NP_001129166.1
7421	VDR	NM_001017536.1,NM_000376.2,NM_001017535.1	NP_001017536.1,NP_000367.1,NP_001017535.1
7422	VEGFA	NM_001171623.1,NM_001171626.1,NM_001171628.1,NM_001171627.1,NM_001171624.1,NM_001171629.1,NM_001025369.2,NM_001033756.2,NM_003376.5,NM_001171630.1,NM_001025368.2,NM_001171625.1,NM_001025370.2,NM_001204384.1,NM_001025367.2,NM_001171622.1,NM_001204385.1,NM_001025366.2	NP_001191314.1,NP_001020540.2,NP_001165095.1,NP_001165101.1,NP_001165094.1,NP_003367.4,NP_001165100.1,NP_001020537.2,NP_001165099.1,NP_001165097.1,NP_001165098.1,NP_001191313.1,NP_001165096.1,NP_001165093.1,NP_001020538.2,NP_001028928.1,NP_001020541.2,NP_001020539.2
7423	VEGFB	NM_001243733.1,NM_003377.4	NP_003368.1,NP_001230662.1
7424	VEGFC	NM_005429.2	NP_005420.1
7425	VGF	NM_003378.3	NP_003369.2
400643	LINC00668	NR_034100.1	
7428	VHL	NM_198156.2,NM_000551.3	NP_937799.1,NP_000542.1
7429	VIL1	NM_007127.2	NP_009058.2
7430	EZR	NM_001111077.1,NM_003379.4	NP_003370.2,NP_001104547.1
7431	VIM	NM_003380.3	NP_003371.2
7432	VIP	NM_003381.3,NM_194435.2	NP_003372.1,NP_919416.1
7433	VIPR1	NM_001251882.1,NM_004624.3,NM_001251885.1,NM_001251883.1,NM_001251884.1	NP_004615.2,NP_001238812.1,NP_001238811.1,NP_001238814.1,NP_001238813.1
7434	VIPR2	NM_003382.4	NP_003373.2
7436	VLDLR	NM_003383.3,NM_001018056.1	NP_001018066.1,NP_003374.3
400654	LOC400654	NR_033983.1	
7439	BEST1	NM_004183.3,NM_001139443.1	NP_004174.1,NP_001132915.1
400657	LOC400657	NR_024484.1	
7442	TRPV1	NM_080706.3,NM_080705.3,NM_018727.5,NM_080704.3	NP_542436.2,NP_542435.2,NP_061197.4,NP_542437.2
7443	VRK1	NM_003384.2	NP_003375.1
7444	VRK2	NM_001130480.2,NR_049781.1,NR_036441.1,NM_001130483.2,NM_001130482.2,NM_006296.6,NM_001130481.2	NP_001123955.1,NP_006287.2,NP_001123952.1,NP_001123954.1,NP_001123953.1
400661	FLJ44881	XR_111804.1,XR_172255.1,XR_110159.1	
7447	VSNL1	NM_003385.4	NP_003376.2
7448	VTN	NM_000638.3	NP_000629.3
7450	VWF	NM_000552.3	NP_000543.2
23087	TRIM35	NM_171982.3	NP_741983.2
400668	PRSS57	NM_214710.3	NP_999875.1
7453	WARS	NM_213646.1,NM_213645.1,NM_004184.3,NM_173701.1	NP_776049.1,NP_998811.1,NP_998810.1,NP_004175.2
7454	WAS	NM_000377.2	NP_000368.1
7455	ZAN	NM_003386.1,NM_173059.1	NP_003377.1,NP_775082.1
7456	WIPF1	NM_003387.4,NM_001077269.1	NP_003378.3,NP_001070737.1
400673	VMAC	NM_001017921.3	NP_001017921.1
7458	EIF4H	NM_031992.1,NM_022170.1	NP_071496.1,NP_114381.1
7461	CLIP2	NM_003388.4,NM_032421.2	NP_003379.3,NP_115797.1
7462	LAT2	NM_032463.2,NM_032464.2,NM_014146.3	NP_054865.2,NP_115852.1,NP_115853.2
7464	CORO2A	NM_052820.3,NM_003389.3	NP_438171.1,NP_003380.3
7465	WEE1	NM_003390.3,NM_001143976.1	NP_003381.1,NP_001137448.1
7466	WFS1	NM_001145853.1,NM_006005.3	NP_001139325.1,NP_005996.2
7468	WHSC1	NM_133331.2,NM_133334.2,NM_133335.3,NM_007331.1,NM_133330.2,NM_001042424.2	NP_579889.1,NP_579890.1,NP_579877.1,NP_001035889.1,NP_015627.1,NP_579878.1
7469	NELFA	NM_005663.4	NP_005654.3
7471	WNT1	NM_005430.3	NP_005421.1
7472	WNT2	NR_024047.1,NM_003391.2	NP_003382.1
7473	WNT3	NM_030753.4	NP_110380.1
7474	WNT5A	NM_001256105.1,NM_003392.4	NP_001243034.1,NP_003383.2
7475	WNT6	NM_006522.3	NP_006513.1
7476	WNT7A	NM_004625.3	NP_004616.2
7477	WNT7B	NM_058238.2	NP_478679.1
7478	WNT8A	NM_058244.2	NP_490645.1
7479	WNT8B	NM_003393.3	NP_003384.2
7480	WNT10B	NM_003394.3	NP_003385.2
7481	WNT11	NM_004626.2	NP_004617.2
7482	WNT2B	NM_004185.3,NM_024494.2	NP_004176.2,NP_078613.1
7483	WNT9A	NM_003395.2	NP_003386.1
7484	WNT9B	NM_003396.1	NP_003387.1
7485	WRB	NM_004627.4,NM_001146218.1	NP_001139690.1,NP_004618.2
7486	WRN	NM_000553.4	NP_000544.2
23093	TTLL5	NM_015072.4	NP_055887.3
7490	WT1	NM_024424.3,NM_000378.4,NM_001198551.1,NM_001198552.1,NM_024426.4	NP_077744.3,NP_001185481.1,NP_001185480.1,NP_077742.2,NP_000369.3
400709	SIGLEC16	NR_002825.1	
7494	XBP1	NM_005080.3,NM_001079539.1	NP_005071.2,NP_001073007.1
400713	ZNF880	NM_001145434.1	NP_001138906.1
7498	XDH	NM_000379.3	NP_000370.2
7499	XG	NM_175569.2,NM_001141919.1,NM_001141920.1	NP_001135392.1,NP_780778.1,NP_001135391.1
7503	XIST	NR_001564.2	
7504	XK	NM_021083.2	NP_066569.1
7507	XPA	NR_027302.1,NM_000380.3	NP_000371.1
7508	XPC	NM_001145769.1,NM_004628.4,NR_027299.1	NP_001139241.1,NP_004619.3
7511	XPNPEP1	NM_001167604.1,NR_030724.1,NM_020383.3	NP_001161076.1,NP_065116.3
7512	XPNPEP2	NM_003399.5	NP_003390.4
7514	XPO1	NM_003400.3	NP_003391.1
7515	XRCC1	NM_006297.2	NP_006288.2
7516	XRCC2	NM_005431.1	NP_005422.1
7517	XRCC3	NM_001100119.1,NM_005432.3,NM_001100118.1	NP_001093588.1,NP_005423.1,NP_001093589.1
7518	XRCC4	NM_003401.3,NM_022550.2,NM_022406.2	NP_071801.1,NP_072044.1,NP_003392.1
400735	PRAMEF4	NM_001009611.2	NP_001009611.1
7520	XRCC5	NM_021141.3	NP_066964.1
7525	YES1	NM_005433.3	NP_005424.1
400743	LOC400743	XR_171158.1,XR_108366.1,XR_133231.1	
7528	YY1	NM_003403.4	NP_003394.1
7529	YWHAB	NM_139323.2,NM_003404.3	NP_003395.1,NP_647539.1
400746	NCMAP	NM_001010980.4	NP_001010980.1
7531	YWHAE	NR_024058.1,NM_006761.4	NP_006752.1
7532	YWHAG	NM_012479.3	NP_036611.2
7533	YWHAH	NM_003405.3	NP_003396.1
7534	YWHAZ	NM_001135701.1,NM_001135700.1,NM_145690.2,NM_001135699.1,NM_003406.3,NM_001135702.1	NP_663723.1,NP_001129172.1,NP_001129173.1,NP_003397.1,NP_001129171.1,NP_001129174.1
7535	ZAP70	NM_207519.1,NM_001079.3	NP_001070.2,NP_997402.1
7536	SF1	NM_201997.2,NR_033649.1,NR_033650.1,NM_201998.2,NM_001178030.1,NM_001178031.1,NM_201995.2,NM_004630.3	NP_973724.1,NP_973727.1,NP_001171501.1,NP_973726.2,NP_004621.2,NP_001171502.1
7538	ZFP36	NM_003407.3	NP_003398.2
7539	ZFP37	NM_003408.1	NP_003399.1
400756	LOC400756	XR_159044.1,XR_171191.1,XR_159343.1	
7541	ZBTB14	NM_001243704.1,NM_001243702.1,NM_001143823.2,NM_003409.4	NP_001230631.1,NP_001230633.1,NP_001137295.1,NP_003400.2
7542	ZFPL1	NM_006782.3	NP_006773.2
7543	ZFX	NM_001178095.1,NM_003410.3,NM_001178085.1,NM_001178086.1,NM_001178084.1	NP_001171556.1,NP_001171566.1,NP_003401.2,NP_001171557.1,NP_001171555.1
7544	ZFY	NM_001145276.1,NM_001145275.1,NM_003411.3	NP_001138748.1,NP_003402.2,NP_001138747.1
7545	ZIC1	NM_003412.3	NP_003403.2
7546	ZIC2	NM_007129.3	NP_009060.2
7547	ZIC3	NM_003413.3	NP_003404.1
7549	ZNF2	NM_001017396.1,NM_021088.2	NP_066574.2,NP_001017396.1
7551	ZNF3	NM_017715.2,NM_032924.3	NP_116313.3,NP_060185.2
7552	ZNF711	NM_021998.4	NP_068838.3
7553	ZNF7	NM_003416.2	NP_003407.1
7554	ZNF8	NM_021089.2	NP_066575.2
7555	CNBP	NM_001127195.1,NM_001127194.1,NM_003418.4,NM_001127193.1,NM_001127192.1,NM_001127196.1	NP_001120666.1,NP_003409.1,NP_001120668.1,NP_001120665.1,NP_001120664.1,NP_001120667.1
7556	ZNF10	NM_015394.4	NP_056209.2
7559	ZNF12	NM_016265.3,NM_006956.2	NP_057349.2,NP_008887.2
7561	ZNF14	NM_021030.2	NP_066358.2
7562	ZNF708	NM_021269.2	NP_067092.2
7564	ZNF16	NM_006958.2,NM_001029976.2	NP_008889.2,NP_001025147.2
7565	ZNF17	NM_006959.2	NP_008890.2
7566	ZNF18	NM_144680.2	NP_653281.2
7567	ZNF19	NM_006961.3	NP_008892.2
7568	ZNF20	NM_021143.3,NM_001203250.1	NP_001190179.1,NP_066966.2
7569	ZNF182	NM_001178099.1,NM_006962.1,NM_001007088.1	NP_008893.1,NP_001171570.1,NP_001007089.1
7570	ZNF22	NM_006963.4	NP_008894.2
7571	ZNF23	NM_145911.1	NP_666016.1
7572	ZNF24	NM_006965.2	NP_008896.2
7574	ZNF26	NM_001256279.1,NM_001256280.1,NM_019591.3	NP_001243208.1,NP_062537.2,NP_001243209.1
7576	ZNF28	NR_036600.1,NM_006969.3,NR_036599.1	NP_008900.3
138649	ANKRD19P	NR_026868.1	
400794	LOC400794	NR_026744.1	
7579	ZSCAN20	NM_145238.3	NP_660281.2
7580	ZNF32	NM_006973.2,NM_001005368.1	NP_008904.1,NP_001005368.1
7581	ZNF33A	NM_006974.2,NM_006954.1	NP_008905.1,NP_008885.1
7582	ZNF33B	NM_006955.1	NP_008886.1
7584	ZNF35	NM_003420.3	NP_003411.3
7586	ZKSCAN1	NM_003439.1	NP_003430.1
7587	ZNF37A	NM_001178101.1,NM_003421.2,NM_001007094.2	NP_003412.1,NP_001007095.1,NP_001171572.1
400804	C1orf140	NR_024236.1	
7589	ZSCAN21	NM_145914.2	NP_666019.1
7592	ZNF41	NM_007130.2,NM_153380.2	NP_009061.1,NP_700359.1
7593	MZF1	NM_001267033.1,NM_003422.2,NM_198055.1	NP_932172.1,NP_001253962.1,NP_003413.2
7594	ZNF43	NM_001256649.1,NM_003423.3,NM_001256651.1,NM_001256650.1,NM_001256654.1,NM_001256653.1,NM_001256648.1	NP_003414.2,NP_001243582.1,NP_001243583.1,NP_001243577.1,NP_001243579.1,NP_001243578.1,NP_001243580.1
7596	ZNF45	NM_003425.3	NP_003416.1
7597	ZBTB25	NM_006977.2	NP_008908.2
400818	NBPF9	NM_001037675.3,NM_001277444.1	NP_001264373.1,NP_001032764.2
400823	FAM177B	NM_207468.2	NP_997351.2
400830	DEFB132	NM_207469.2	NP_997352.1
400831	C20orf202	NM_001009612.2	NP_001009612.1
7620	ZNF69	NM_021915.2	NP_068734.1
7621	ZNF70	NM_021916.2	NP_068735.1
400839	FLJ33581	NR_040102.1	
7625	ZNF74	NM_001256524.1,NM_003426.3,NM_001256523.1,NM_001256525.1,NR_046282.1	NP_001243452.1,NP_003417.2,NP_001243453.1,NP_001243454.1
7626	ZNF75D	NM_001185063.1,NM_007131.3	NP_001171992.1,NP_009062.2
7627	ZNF75A	NM_153028.2	NP_694573.1
7629	ZNF76	NM_003427.3	NP_003418.2
7633	ZNF79	NM_007135.2	NP_009066.2
7634	ZNF80	NM_007136.3	NP_009067.2
7637	ZNF84	NM_003428.4,NM_001127372.1	NP_003419.3,NP_001120844.1
7638	ZNF221	NM_013359.2	NP_037491.2
7639	ZNF85	NM_001256173.1,NR_045830.1,NM_001256171.1,NM_001256172.1,NM_003429.4	NP_001243101.1,NP_003420.2,NP_001243100.1,NP_001243102.1
7643	ZNF90	NM_007138.1	NP_009069.1
7644	ZNF91	NM_003430.2	NP_003421.2
400863	LINC00650	XR_112184.1,XR_172343.1,XR_109667.1	
400866	LINC00114	NR_027067.1,NR_027065.1,NR_027066.1	
400867	FLJ45139	XR_172349.1,XR_109674.1,XR_159364.1	
7652	ZNF99	NM_001080409.2	NP_001073878.2
