journalCount	pubName	pubSynonyms	titles	webservers	journalEIssns	journalIssns	uid	countries	languages
1	NLM Research and Cooperation Association for Bio and Socio Sciences Advancement	International Research and Cooperation Association for Bio & Socio-Sciences Advancement	Bioscience trends.	biosciencetrends.com	1881-7823	1881-7815	101502754	Japan	eng
1	NLM Türk Kardiyoloji Derneği	Türk Kardiyoloji Derneği	Türk Kardiyoloji Derneği arşivi : Türk Kardiyoloji Derneğinin yayın organıdır.	tkd.org.tr	1308-4488	1016-5169	9426239	Turkey	tur
1	NLM Druckerei Paul Haupt	Druckerei Paul Haupt	Schweizerische Zeitschrift für Medizin und Traumatologie = Revue suisse pour médecine et traumatologie.			1022-6699	9431737	Switzerland	fre
1	NLM Bŭlgarska akademii︠a︡ na naukite	Bŭlgarska akademii︠a︡ na naukite	Comptes rendus de l'Académie Bulgare des sciences : sciences mathématiques et naturelles.	proceedings.bas.bg		0366-8681	7509180	Bulgaria	fre
2	NLM Pacini editore	Pacini editore	Journal of preventive medicine and hygiene.|Acta otorhinolaryngologica Italica : organo ufficiale della Società italiana di otorinolaringologia e chirurgia cervico-facciale.	actaitalica.it|jpmh.org	|1827-675X	1121-2233|0392-100X	9214440|8213019	Italy	ita|eng
1	NLM Geka Chiryo	Geka Chiryo	Geka chiryo. Surgical therapy.			0433-2644	2985100R	Japan	jpn
1	NLM Ethis Communications	Ethis Communications	The ocular surface.			1542-0124	101156063	United States	eng
1	NLM Asociacion De Enfermeras Graduadas De Puerto Rico	Asociacion De Enfermeras Graduadas De Puerto Rico	Puerto Rico y su enfermera.			0145-6652	7700256	Puerto Rico	eng
1	NLM Medical Biology	Medical Biology	Medical biology.			0302-2137	0417300	Finland	eng
3	NLM Quadrant HealthCom	Quadrant HealthCom	Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists.|The Journal of family practice.|Cutis; cutaneous medicine for the practitioner.	cutis.com|jfponline.com|portico.org|springerlink.com	1547-3325|1533-7294|	1040-1237|0094-3509|0011-4162	8911021|7502590|0006440	United States	eng
1	NLM Kingston	Kingston Press	Language and speech.	las.sagepub.com		0023-8309	2985214R	England	eng
1	NLM Ralston 19	Ralston, 19	Suffield technical note.				22940020R		eng
1	NLM Science Printers and	Science Printers and Publishers, Inc	The Journal of reproductive medicine.			0024-7758	0173343	United States	eng
1	NLM New York [1957 1968	New York [1957-1968]	Advances in pest control research.			0568-0107	14640020R	United States	eng
1	NLM In Ireland	In Ireland Publishing	The New world of Irish nursing : official journal of Irish Nurses Organisation and National Council of Nurses.				9312538	Ireland	eng
1	NLM American Association For Laboratory Animal Science	American Association For Laboratory Animal Science	Laboratory animal care.			0094-5331	0015266	United States	eng
1	NLM TheScientificWorld	TheScientificWorld	TheScientificWorldJournal	thescientificworld.com	1537-744X		101131163	England	eng
1	NLM Academia Mexican de Ciencias	Academia Mexican de Ciencias	Ciencia : revista hispano-americana de ciencias puras y applicadas.			0185-075X	0372576	Mexico	spa
2	NLM Ediciones Ergon	Ediciones Ergon	Endodoncia : organo de la Asociación Española de Endodoncia.|Archivos de odonto estomatologia.		|	1130-9903|0213-4144	9103345|8703422	Spain	spa
1	NLM HGE Update Medical	H.G.E. Update Medical Publishing	Hepato-gastroenterology.	hepato-gastroenterology.org		0172-6390	8007849	Greece	eng
1	NLM Nurses Association of Jamaica	Nurses Association Of Jamaica	The Jamaican nurse.			0021-4140	0203020	Jamaica	eng
1	NLM National Institute of Science Communication And Information Resources	National Institute of Science Communication And Information Resources	Journal of scientific and industrial research.	niscair.res.in	0975-1084	0022-4456	0045506	India	eng
75	NLM Informa	Taylor And Francis|Taylor and Francis, Inc|2009- : Philadelphia : Taylor & Francis|Taylor & Francis Group|Taylor and Francis|2005-: Philadelphia, PA : Taylor & Francis|American College Health Association|American Fisheries Society|Taylor & Francis Health Sciences|Taylor & Francis|Swedish Foundation of Rehabilitation Information|Society for the Publication of Acta Dermato-Venereologica|New Zealand Veterinary Association|Taylor &Francis	Journal of the American College Health Association.|New Zealand veterinary journal.|Applied neuropsychology. Adult|Food additives & contaminants. Part B, Surveillance.|Journal of biological dynamics.|Acta orthopaedica. Supplementum.|Archives of environmental & occupational health.|SEB experimental biology series.|Acta radiologica. Supplement.|Archives of animal nutrition.|Experimental diabesity research.|International journal of experimental diabesity research.|Journal of rehabilitation medicine. Supplement.|Critical reviews in computed tomography.|Scandinavian journal of public health. Supplement.|Injury control and safety promotion.|International journal of experimental diabetes research.|Nucleosides, nucleotides & nucleic acids.|Medical informatics and the Internet in medicine.|Pediatric pathology & molecular medicine.|International journal of cardiovascular interventions.|Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering.|Journal of biochemistry, molecular biology, and biophysics : JBMBB : the official journal of the Federation of Asian and Oceanian Biochemists and Molecular Biologists (FAOBMB).|Pediatric rehabilitation.|Scandinavian cardiovascular journal. Supplement.|Enantiomer.|Journal of health communication.|Pediatric pathology & laboratory medicine : journal of the Society for Pediatric Pathology, affiliated with the International Paediatric Pathology Association.|Applied neuropsychology.|Biochemistry and molecular biology international.|Receptors & channels.|SAR and QSAR in environmental research.|Journal of child sexual abuse.|Natural product letters.|The European journal of surgery. Supplement. : = Acta chirurgica. Supplement.|Quality assurance : QA.|Applied occupational and environmental hygiene.|Clinical intensive care : international journal of critical & coronary care medicine.|Developmental immunology.|DNA sequence : the journal of DNA sequencing and mapping.|Environmental technology.|European journal of morphology.|Journal of biomaterials science. Polymer edition.|Historical biology.|Scandinavian journal of primary health care. Supplement.|International disability studies.|Death studies.|Biotechnology & genetic engineering reviews.|Food additives and contaminants.|Journal of biomolecular structure & dynamics.|Pediatric pathology|Möbius.|Journal of nutrition for the elderly.|History and philosophy of the life sciences.|The Journal of legal medicine.|The Veterinary quarterly.|Archives of andrology.|The Journal of audiovisual media in medicine.|Membrane biochemistry.|Medical anthropology.|Medical informatics = Médecine et informatique.|Journal of toxicology and environmental health.|Metal ions in biological systems.|Ecology of food and nutrition.|International journal of environmental analytical chemistry.|Pädiatrie und Grenzgebiete.|International journal of radiation biology and related studies in physics, chemistry, and medicine.|Optica acta.|Archiv für Tierernährung.|Annals of science.|Acta orthopaedica Scandinavica. Supplementum.|Acta orthopaedica Scandinavica.|Journal of rehabilitation medicine : official journal of the UEMS European Board of Physical and Rehabilitation Medicine.|Journal of aquatic animal health.|Acta dermato-venereologica.	tandf.co.uk|dunitz.co.uk|nottingham.ac.uk|ingentaconnect.com|jbsdonline.com|tandfonline.com|informahealthcare.com|informaworld.com|tandf.co.uk.|medicaljournals.se	||1532-4826|1939-3229|1751-3766|1745-3704||||1477-2817|1543-8619|||1549-7844||||1532-2335||||1532-4117|||1651-2510||1087-0415||||1607-856X|1029-046X|1547-0679|||1521-0677|1521-0898|1473-7752||1029-2365||1744-4241|1568-5624||||1091-7683||1464-5122|1538-0254|||1540-8566||1521-057X|1875-5941|1521-0375|1465-3494||1545-5882||||1543-5237|1029-0397||||||||1651-2081|1548-8667|1651-2057	0002-7944|0048-0169|0908-4282|1939-3210|1751-3758|1745-3690|1933-8244|||1745-039X|1543-8600||1650-1969|1548-7679|1403-4956|1566-0974|1560-4284|1525-7770|1463-9238|1522-7952|1462-8848|1093-4529|1025-8140|1363-8491|1401-7458|1024-2430|1081-0730|1077-1042||1039-9712|1060-6823|1062-936X|1053-8712|1057-5634|1102-416X|1052-9411|1047-322X|0956-3075|1044-6672|1042-5179|0959-3330|0924-3860|0920-5063|0891-2963|0284-6020|0259-9147|0748-1187|0264-8725|0265-203X|0739-1102|0277-0938|0272-3425|0163-9366|0391-9714|0194-7648|0165-2176|0148-5016|0140-511X|0149-046X|0145-9740|0307-7640|0098-4108|0161-5149|0367-0244|0306-7319|0030-932X|0020-7616|0030-3909|0003-942X|0003-3790|0300-8827|0001-6470|1650-1977|0899-7659|0001-5555	7503059|0021406|101584082|101317183|101299725|101244827|101282564|101308820|101470699|101222433|101183590|101175743|101498465|101136418|100883504|100941859|100962067|100892832|100883495|100885435|9815622|9812551|9714994|9709256|9711058|9612491|9604100|9518033|9507620|9306673|9315376|9440156|9301157|9315615|9114489|9214530|9103256|9101410|9200624|9107800|9884939|9011462|9007393|9426321|8812233|8710422|8506890|8510274|8500474|8404176|8303527|8200998|8208739|8003052|8000151|7909485|7806755|7803121|7804153|7707343|7612096|7513622|0406332|0315073|0331757|0401115|0374725|0401203|0217641|0372361|0370353|0370352|101088169|9884881|0370310	Netherlands|England|United States|Sweden|Germany|Switzerland|New Zealand|Norway	ger|eng
3	NLM American Society of Law and Medicine	American Society of Law & Medicine|American Society of Law & Medicine]	Nursing law & ethics,.|American journal of law & medicine.|Medicolegal news.		||	0270-6636|0098-8588|0097-0085	8005047|7509572|7506659	United States	eng
1	NLM American Philosophical Society	American Philosophical Society	Proceedings of the American Philosophical Society.			0003-049X	7507374	United States	eng
2	NLM Kobe University School of Medicine	Kobe University School Of Medicine|Kobe University, School Of Medicine	Kobe Daigaku Igakubu kiyo. Medical journal of Kobe University.|The Kobe journal of medical sciences.	med.kobe-u.ac.jp	|1883-0498	0075-6431|0023-2513	7507234|0413531	Japan	eng|jpn
1	NLM Viña del Mar Chile	Viña del Mar, Chile	Boletń trimestral - Hospital de Vin̂a del Mar.				7505294	Chile	spa
1	NLM Baltimore etc	[Baltimore, etc.]	Bulletin.				17620540R	United States	eng
1	NLM Société d'edition de l'information dentaire	Société d'edition de l'information dentaire	Journal de parodontologie.			0750-1838	8506963	France	fre
1	NLM Washington University School of Medicine	Washington Univ. School of Medicine	The Washington University medical alumni quarterly.				21610560R	United States	eng
2	NLM Harling Communications	Harling Communications	LTC regulatory risk & liability advisor.|National report on subacute care.		|	|1073-2551	101087137|9418980	United States	eng
17	NLM Editura Medicala	Editura Medicala	Bacteriologia, virusologia, parazitologia, epidemiologia|Pediatrie|Revista de igienă, medicina muncii, medicină socială, bacteriologie, virusologie, parazitologie, epidemiologie, pneumoftiziologie. Pneumoftiziologie|Revista de chirurgie, oncologie, radiologie, o.r.l., oftalmologie, stomatologie. Chirurgie.|Revista de chirurgie, oncologie, radiologie, o. r. l., oftalmologie, stomatologie. Seria: Stomatologie.|Revista de medicină internă, neurologe, psihiatrie, neurochirurgie, dermato-venerologie. Medicină internă.|Revista de medicină internă, neurologie, psihiatrie, neurochirurgie, dermato-venerologie. Neurologie, psihiatrie, neurochirurgie.|Revista de pediatrie, obstetrică si ginecologie. Obstetrică si ginecologie.|Revista de pediatrie, obstetrică şi ginecologie. Pediatria.|La Santé publique.|Neurologia, psihiatria, neurochirurgia.|Medicină internă.|Stomatologia.|Munca sanitară.|Pediatria.|Chirurgia.|Archives roumaines de pathologie expérimentales et de microbiologie.		||||||||||||||||	1220-3696||0377-5011|0377-5003|0377-7871|1220-0905|0377-497X|1220-0913|0303-8416|0048-9107|0028-386X|0025-7869|0039-1719|0027-318X|0031-3904|0009-4730|0004-0037	9204448|9109803|9101878|7508736|7513023|7501915|7503901|7513686|7508739|0404374|7503838|7503144|7513067|7609371|7502431|7501738|0421056	Romania	eng|fre|rum
1	NLM Christ Hospital	Christ Hospital	Christ Hospital medical bulletin.				16210080R	United States	eng
1	NLM Associacao Medica Brasileria	Associacao Medica Brasileria	AMB : revista da Associação Médica Brasileira.			0102-843X	0165700	Brazil	por
1	NLM Dustri Dr K Feistle	Dustri-Verlag Dr. K. Feistle	International journal of clinical pharmacology and therapeutics.			0946-1965	9423309	Germany	eng
1	NLM Published on behalf of the World Federation of Sleep Research Societies by WebSciences	Published on behalf of the World Federation of Sleep Research Societies by WebSciences	Sleep research online : SRO.		1096-214X		100901064	United States	eng
1	NLM Medical Society of The District of Columbia	Medical Society Of The District Of Columbia	The Medical annals of the District of Columbia.			0025-6986	7612076	United States	eng
1	NLM VEB Volk und Gesundheit	VEB Verlag Volk und Gesundheit	Zeitschrift für experimentelle Chirurgie, Transplantation, und künstliche Organe : Organ der Sektion Experimentelle Chirurgie der Gesellschaft für Chirurgie der DDR.			0232-7295	8302880	Germany	eng
1	NLM Institute of Clinical Science	Institute Of Clinical Science	Annals of clinical laboratory science.			0095-8905	0410250	United States	eng
1	NLM University of Occupational and Environmental Health	University of Occupational and Environmental Health	Journal of UOEH.	uoeh-u.ac.jp		0387-821X	7909645	Japan	eng
1	NLM Dental Association of South Africa	Dental Association Of South Africa	The Journal of the Dental Association of South Africa = Die Tydskrif van die Tandheelkundige Vereniging van Suid-Afrika.			0011-8516	7505600	South Africa	eng
1	NLM National Association of Health Executives	National Association of Health Services Executives	Résumé.				9877319	United States	eng
1	NLM Haefner	Haefner	Zentralblatt für Arbeitsmedizin, Arbeitsschutz, Prophylaxe und Ergonomie.				8006595	Germany	ger
1	NLM Rila	Rila	Acute medicine.	rila.co.uk	1747-4892	1747-4884	101553725	England	eng
4	NLM Mcgraw Hill	Mcgraw-Hill|Mcgraw Hill	InfoCare : information strategies for healthcare networks.|Advances in ophthalmic plastic and reconstructive surgery.|Modern nursing home.|Modern hospital.		|||	1090-4522|0276-3508|0026-8178|0026-783X	9504687|8213022|0420172|0417654	United States	eng
1	NLM Koriyama Shigakkai	Koriyama Shigakkai	Ōu Daigaku shigakushi.			0916-2313	8915132	Japan	jpn
12	NLM American Society for Microbiology	American Society For Microbiology Etc|American Society for Microbiology	Bacteriological reviews.|mBio|Clinical and vaccine immunology : CVI.|Eukaryotic cell.|Microbiology and molecular biology reviews : MMBR.|Clinical and diagnostic laboratory immunology.|Molecular and cellular biology.|Applied and environmental microbiology.|Journal of clinical microbiology.|Antimicrobial agents and chemotherapy.|Antimicrobial agents and chemotherapy.|Journal of bacteriology.	mcb.asm.org|jb.asm.org|ec.asm.org|mbio.asm.org|jcm.asm.org|aac.asm.org|aem.asm.org|cvi.asm.org|mmbr.asm.org|cdli.asm.org	|2150-7511|1556-679X|1535-9786|1098-5557|1098-6588|1098-5549|1098-5336|1098-660X|1098-6596||1098-5530	0005-3678||1556-6811|1535-9778|1092-2172|1071-412X|0270-7306|0099-2240|0095-1137|0066-4804||0021-9193	0370620|101519231|101252125|101130731|9706653|9421292|8109087|7605801|7505564|0315061|0116415|2985120R	United States	eng
7	NLM Melbourne	Melbourne|[Melbourne]	Journal Of The Australian Institute Of Surgical And Dental Technicians (Melbourne).|The Scalpel.|Health bulletin.|The Hospital magazine.|Royal Melbourne Hospital clinical reports.|Journal.|The Australian journal of dentistry.		||||||	0313-8356||0311-9254|||0368-1734|	9883613|53010090R|0405374|17430040R|20440740R|16420690R|15420280R	Australia	eng
2	NLM Virginia Nurses Association	Virginia Nurses Association	Virginia nurse.|Virginia nurse quarterly.		|	0270-7780|0042-6695	8005511|0042334	United States	eng
4	NLM Amsterdam	Amsterdam	ICSU review.|Documenta de medicina geographica et tropica.|Documenta Neerlandica et Indonesica de morbis tropicis; quarterly journal of tropical medicine and hygiene.|Vegetarische bode.		|||	|||	17510090R|16630390R|16630400R|21440390R	Netherlands	eng
1	NLM Finlayson Communications	Finlayson Media Communications Ltd	Endodontic practice.			1465-9417	100887863	England	eng
1	NLM Chevron Corp	Chevron Pub. Corp	International journal of emergency mental health.			1522-4821	100888872	United States	eng
1	NLM Nákladem Československé chirurugické společnosti	Nákladem Československé chirurugické společnosti	Rozhledy v chirurgii : měsíčník Československé chirurgické společnosti.			0035-9351	9815441	Czech Republic	cze
2	NLM Temple University School of Dentistry	Temple University School of Dentistry|Temple University. School Of Dentistry	The diamond.|Temple dental review.		|	|	9807632|21130130R	United States	eng
1	NLM Kline Geology Laboratory Yale University	Kline Geology Laboratory, Yale University	American journal of science.	earth.geology.yale.edu|ajsonline.org		0002-9599	14830070R	United States	eng
1	NLM Produced by Interspan for Abbott Laboratories	Produced by Interspan for Abbott Laboratories]	Abbottempo.			0567-4824	14480040R	England	eng
1	NLM Nihon Rinsho Byori Gakkai	Nihon Rinsho Byori Gakkai	Rinsho byori. The Japanese journal of clinical pathology.			0047-1860	2984781R	Japan	jpn
1	NLM Brookings	Brookings	The Brookings bulletin			0007-229X	9876873	United States	eng
1	NLM Alliance of Community Health Plans	Alliance of Community Health Plans	Effective clinical practice : ECP.	acponline.org	1538-9685	1099-8128	9815774	United States	eng
1	NLM American Otological Society	American Otological Society	Transactions of the American Otological Society.			0096-6851	7506107	United States	eng
1	NLM The Division	The Division	Newsletter				100901388	United States	eng
1	NLM Nippon Kaibo Gakkai	Nippon Kaibo Gakkai	Kaibogaku zasshi. Journal of anatomy.			0022-7722	0413526	Japan	jpn
1	NLM Uniunea Societatilor Stinte Medicale	Uniunea Societatilor Stinte Medicale	Revista de chirurgie, oncologie, radiologie, o. r. l., oftalmologie, stomatologie. Oftalmologie.			0377-7863	7506415	Romania	rum
2	NLM American Society for Gravitational and Space Biology	American Society for Gravitational and Space Biology	Gravitational and space biology bulletin : publication of the American Society for Gravitational and Space Biology.|ASGSB bulletin : publication of the American Society for Gravitational and Space Biology.	gravitationalandspacebiology.org	|	1089-988X|0898-4697	9816128|9890632	United States	eng
1	NLM Societa Italiana Di Endodonzia	Societa Italiana Di Endodonzia	Giornale di endodonzia.				9201292	Italy	ita
5	NLM Pittsburgh	Pittsburgh	Transactions bulletin.|Proceedings of annual meeting.|The Laboratory.|Pittsburgh medical bulletin.|Oral hygiene.		||||	0099-4618||0023-6748||1076-0644	0340111|24110160R|2985211R|19630500R|0135425	United States	eng
2	NLM South Carolina Medical Association	South Carolina Medical Association]|South Carolina Medical Assn	The Journal of the South Carolina Medical Association.|Journal of the South Carolina Medical Association.	scmedical.org	1544-4910|	0038-3139|	7503045|101245535	United States	eng
1	NLM R And D Print	R And D Print	General physiology and biophysics.			0231-5882	8400604	Slovakia	eng
1	NLM Department of Psychiatry Faculty of Medicine University of Ottawa	Dept Of Psychiatry, Faculty Of Medicine, University Of Ottawa	Psychiatric journal of the University of Ottawa : Revue de psychiatrie de l'Université d'Ottawa.			0702-8466	7703518	Canada	eng
1	NLM Dietitians of Canada	Dietitians of Canada	Canadian journal of dietetic practice and research : a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en diététique : une publication des Diététistes du Canada.	dcjournal.metapress.com		1486-3847	9811151	Canada	eng
1	NLM Philips Healthcare Nederland	Philips Healthcare Nederland	Medicamundi.	philips.com		0025-7664	18540250R	Netherlands	eng
1	NLM Alabama Dental Association	Alabama Dental Association	Journal - Alabama Dental Association.			0002-4198	7505557	United States	eng
1	NLM May and Baker	May & Baker	M & B pharmaceutical bulletin.			0460-2390	18410020R	England	eng
2	NLM American Nephrology Nurses' Association	American Nephrology Nurses' Association	Nephrology nursing journal : journal of the American Nephrology Nurses' Association.|ANNA journal		|	1526-744X|8750-0779	100909377|8411466	United States	eng
1	NLM Joint Commission On Accreditation of Healthcare Organizations	Joint Commission On Accreditation Of Healthcare Organizations	QRB. Quality review bulletin.			0097-5990	7504127	United States	eng
1	NLM Published by Montfort for the Medical Association of Malawi	Published by Montfort Press for the Medical Association of Malawi	Malawi medical journal : the journal of Medical Association of Malawi.	mmj.medcol.mw	1995-7270	1995-7262	9500170	Malawi	eng
1	NLM Madras	Madras	Medico-surgical suggestions.				0016621	India	eng
1	NLM Ghana Medical Association	Ghana Medical Association	Ghana medical journal.	ghanamedj.org		0016-9560	0073210	Ghana	eng
1	NLM Versita	Versita	Arhiv za higijenu rada i toksikologiju.	bibpurl.oclc.org|versita.metapress.com		0004-1254	0373100	Croatia	hrv
1	NLM Deo Gekkai	Deo Gekkai	Tōhoku Shika Daigaku Gakkai shi.			0385-0161	8709317	Japan	jpn
2	NLM Torino	Torino	Scientia genetica; periodico di genetica per i paesi latini.|Giornale di batteriologia e immunologia.		|	|	20640150R|17130390R	Italy	mul|ita
4	NLM American Association on Mental Retardation	American Association on Mental Retardation|American Association on Intellectual and Developmental Disabilities	American journal on intellectual and developmental disabilities.|Intellectual and developmental disabilities.|American journal of mental retardation : AJMR.|Mental retardation.	aaiddjournals.org	1944-7558|1934-9556||1931-1338	1944-7515|1934-9491|0895-8017|0047-6765	101492916|101299965|8800463|18640670R	United States	eng
2	NLM Macmillan Magazines	Macmillan Magazines Ltd	Nature cell biology.|Journal of wound care.	journalofwoundcare.com|nature.com	1476-4679|	1465-7392|0969-0700	100890575|9417080	England	eng
1	NLM Anesthesia Progress	Anesthesia Progress	Anesthesia progress.	anesthesiaprogress.org		0003-3006	0043533	United States	eng
2	NLM Society for the Investigation of Early Pregnancy	Society for the Investigation of Early Pregnancy	Early pregnancy : biology and medicine.|Early pregnancy : biology and medicine : the official journal of the Society for the Investigation of Early Pregnancy.	earlypregnancy.org|bibpurl.oclc.org	1537-6583|	|1354-4195	100940263|9508879	United States	eng
1	NLM Erasmus	Erasmus Pub	Gewina.			0928-303X	9425368	Netherlands	dut
1	NLM University of Puerto Rico Medical Sciences Campus	University of Puerto Rico Medical Sciences Campus	Puerto Rico health sciences journal.			0738-0658	8303541	Puerto Rico	eng
2	NLM United Trade	United Trade Press	Biomedical engineering.|Laboratory practice.		|	0006-2898|0023-6853	0076362|0376620	England	eng
2	NLM Societies of Medical Radiology In Denmark Finland Norway And Sweden	Societies Of Medical Radiology In Denmark, Finland, Norway And Sweden	Acta radiologica. Oncology.|Acta radiologica: oncology, radiation, physics, biology.		|	0349-652X|0348-5196	8209606|7805897	Sweden	eng
1	NLM ASAE	ASAE	Journal of agricultural safety and health.	asae.org		1074-7583	9613956	United States	eng
1	NLM Nuclear Receptor Signaling Atlas	Nuclear Receptor Signaling Atlas	Nuclear receptor signaling	nursa.org	1550-7629		101237902	United States	eng
1	NLM Booneville	Booneville	The Mississippi doctor.				18730470R	United States	eng
1	NLM Indiana State Nurses Association	Indiana State Nurses Association	The Indiana nurse.			0019-6681	17540290R	United States	eng
1	NLM Cardiff Wales	Cardiff, Wales	The Leech.			0457-3277	18310430R	England	eng
1	NLM Hemisphere Corp	Hemisphere Pub. Corp	Death education.			0145-7624	7706740	United States	eng
1	NLM Universidade Estadual De Campinas Faculdade De Odontologia De Piracicaba	Universidade Estadual De Campinas. Faculdade De Odontologia De Piracicaba	Boletim de materiais dentários.			0045-2378	1265350	Brazil	por
1	NLM Hakko Kenkyusho	Hakko Kenkyusho	Research communications - Institute for Fermentation, Osaka.			0073-8751	7502667	Japan	eng
1	NLM Society for Social Work Leadership in Health Care (US	Society for Social Work Leadership in Health Care (U.S.)	Continuum : an interdisciplinary journal on continuity of care				100962178	United States	eng
1	NLM Hamilton Ont	Hamilton, Ont	McGregor Clinic bulletin.				18410310R	Canada	eng
5	NLM Paris	Paris	Revue médicale internationale de photo, cinéma, télévision. International journal of medical photography, cinematography & television.|Revue de pathologie générale et de physiologie clinique.|Courrier.|Sciences.|Anesthésie et analgésie.		||||	||0538-5482||0301-4452	0060503|0204313|0372750|0026247|0404020	France	fre|eng
1	NLM American Society for the Study of Orthodontics	American Society for the Study of Orthodontics	Journal of the American Society for the Study of Orthodontics.			0003-1089	9875580	United States	eng
1	NLM Teviot Kimpton	Teviot-Kimpton Publications	Diabetes research.			0265-5985	8502339	Scotland	eng
1	NLM Suomen Laeaekintaeupseerilitto	Suomen Laeaekintaeupseerilitto	Sotilaslääketieteellinen aikakauslehti.			0300-8797	2984855R	Finland	fin
1	NLM Literamed (Nig	Literamed Publications (Nig.)	The African journal of psychiatry.			0331-0175	7802295	Nigeria	eng
1	NLM Wüst	Wüst	Swiss dent.			0251-1657	9875536	Switzerland	eng
1	NLM Idaho Nurses Association	Idaho Nurses Association	RN Idaho.			0192-298X	7902968	United States	eng
1	NLM Project Hope Center for Health Affairs	Project Hope, Center for Health Affairs	Policy analysis brief. H series				101130969	United States	eng
1	NLM Commonwealth Scientific And Industrial Research Organization	Commonwealth Scientific And Industrial Research Organization	Australian journal of biological sciences.			0004-9417	0370613	Australia	eng
1	NLM Foundation of Nursing Studies	Foundation Of Nursing Studies	European Quality Assurance Network newsletter				9433395	England	eng
1	NLM Blue Cross Association	Blue Cross Association	Blue Cross Association research series.			0095-6740	7501729	United States	eng
1	NLM Michigan Dental Association	Michigan Dental Association	The Journal of the Michigan Dental Association.			0026-2102	7505621	United States	eng
1	NLM Center for Nursing Historical Inquiry University of Virginia School of Nursing	Center for Nursing Historical Inquiry, University of Virginia, School of Nursing	Windows in time.	nursing.virginia.edu			9607541	United States	eng
2	NLM Hospital Federation	International Hospital Federation	World hospitals and health services : the official journal of the International Hospital Federation.|World hospitals.		|	1029-0540|0512-3135	9441450|0033046	England	eng
1	NLM Methodist DeBakey Heart and Vascular Center	Methodist DeBakey Heart & Vascular Center	Methodist DeBakey cardiovascular journal.	methodisthealth.com	1947-6108	1947-6094	101508600	United States	eng
1	NLM USChildren's Bureau [For sale by the Supt of Docs USGovt Print off	U. S. Children's Bureau [For sale by the Supt. of Docs., U. S. Govt. Print. Off.]	Children.			0009-4064	0320036	United States	eng
1	NLM Forlaget John Vabo	Forlaget John Vabo	Scan'odont.			0105-1881	7601982	Denmark	eng
2	NLM Glendale Corp	Glendale Pub. Corp	Administrative radiology journal : AR.|Administrative radiology : AR.		|	|0738-6974	9702245|8712333	United States	eng
1	NLM American Academy of Implant Dentures	American Academy Of Implant Dentures	The Journal of oral implant and transplant surgery.				0256541	United States	eng
2	NLM Indiana State Dental Association	Indiana State Dental Association	The Journal of the Indiana Dental Association.|The Journal of the Indiana State Dental Association.		|	0019-6568|0092-6116	7507203|7505609	United States	eng
2	NLM Plus	Plus Publications	Health education reports.|Health planning & manpower reports.		|	0193-5232|0362-3165	7904999|7610479	United States	eng
1	NLM Atcom	Atcom	The Journal of psychohistory.			0145-3378	7613887	United States	eng
1	NLM Mac Nair Dorland	Mac Nair-Dorland Co	Soap and sanitary chemicals. Blue book and catalog ed.				1300321	United States	eng
1	NLM InnoVision Communications	InnoVision Communications	Alternative therapies in health and medicine.	alternative-therapies.com		1078-6791	9502013	United States	eng
1	NLM American Association On Mental Deficiency	American Association On Mental Deficiency	Monographs of the American Association on Mental Deficiency.			0098-7123	8301655	United States	eng
1	NLM US Atomic Energy Commission Technical Information Service Extension	U.S. Atomic Energy Commission, Technical Information Service Extension	COO [reports].				21830370R	United States	eng
1	NLM E J Brill	E J Brill	Early science and medicine.			1383-7427	9610931	Netherlands	eng
2	NLM Sociedad Mexicana De Alergia E Imunologia	Sociedad Mexicana De Alergia E Imunologia	Revista alergia : organo oficial de la Sociedad Mexicana de Alergia e Inmunlogía.|Revista alergia México.		|	|	9317222|8906244	Mexico	spa
1	NLM Princeps Editions	Princeps Editions	Parasite : journal de la Société Française de Parasitologie.	parasite-journal.org	1776-1042	1252-607X	9437094	France	eng
1	NLM Leprosy Association	International Leprosy Association	International journal of Leprosy.			0020-7349	2985070R	United States	eng
1	NLM Journal of Neurology	International Journal of Neurology	International journal of neurology.			0020-7446	0374722	Uruguay	eng
2	NLM FAHS Review	FAHS Review, Inc	Health systems review.|Review		|	1055-7466|0891-0200	9103399|8612375	United States	eng
1	NLM Institut Voor Tropische Geneeskunde	Institut Voor Tropische Geneeskunde	Acta Leidensia.			0065-1362	0413650	Netherlands	eng
1	NLM Society of American Archivists	Society of American Archivists	The American archivist.			0360-9081	14740240R	United States	eng
1	NLM Opus Communications	Opus Communications	Clinical privilege white paper.				100892390	United States	eng
1	NLM Dental Union	Dental Services Union	The Journal of the dental auxiliaries, Malaya, Malaysia.			0449-5144	0322313	Malaysia	eng
1	NLM March of Dimes Birth Defects Foundation : Center for Birth Defects Information	March of Dimes Birth Defects Foundation : Center for Birth Defects Information Services	The Journal of clinical dysmorphology.			0736-4407	8400758	United States	eng
1	NLM Health And Medicine Policy Research	Health And Medicine Policy Research Group	Health & medicine : journal of the Health and Medicine Policy Research Group.			0741-2339	8307267	United States	eng
1	NLM American Dental Society of Anesthesiology	American Dental Society of Anesthesiology	Journal of the American Dental Society of Anesthesiology.				7505572	United States	eng
