title	publisher	urls	eIssn	pIssn	subjects	society	empty
Christian Bioethics	Oxford University Press 	http://cb.oxfordjournals.org 	1744-4195 	1380-3603 	Unknown	Journal of Christian Bioethics Inc 	
Chronic Illness	SAGE Publications 	http://chi.sagepub.com 	1745-9206 	1742-3953 	Unknown	Unknown	
Chronic Respiratory Disease	SAGE Publications 	http://crd.sagepub.com 	1479-9731 	1479-9723 	Unknown	Unknown	
Circulation	Lippincott Williams & Wilkins 	http://circ.ahajournals.org 	1524-4539 	0009-7322 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Computer Science Critical Care / Intensive Care Dermatology Developmental Biology Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Hematology Immunology Infectious Diseases Mathematics Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Virology Women's Health 	American Heart Association  	
Circulation Research	Lippincott Williams & Wilkins 	http://circres.ahajournals.org 	1524-4571 	0009-7330 	Biochemistry Cardiovascular Medicine and Stroke Hematology Medicine Physiology 	American Heart Association  	
Circulation: Arrhythmia and Electrophysiology	Lippincott Williams & Wilkins  	http://circep.ahajournals.org 	1941-3084 	1941-3149 	Unknown	American Heart Association  	
Circulation: Cardiovascular Genetics	Lippincott Williams & Wilkins  	http://circgenetics.ahajournals.org 	1942-3268 	1942-325X 	Unknown	American Heart Association  	
Circulation: Cardiovascular Imaging	Lippincott Williams & Wilkins  	http://circimaging.ahajournals.org 	1942-0080 	1941-9651 	Unknown	American Heart Association  	
Circulation: Cardiovascular Interventions	Lippincott Williams & Wilkins  	http://circinterventions.ahajournals.org 	1941-7632 	1941-7640 	Unknown	American Heart Association  	
Circulation: Cardiovascular Quality and Outcomes	Lippincott Williams & Wilkins  	http://circoutcomes.ahajournals.org 	1941-7713 	1941-7705 	Unknown	   American Heart Association  	
Circulation: Heart Failure	  Lippincott Williams & Wilkins   	http://circheartfailure.ahajournals.org 	1941-3297 	1941-3289 	Unknown	American Heart Association  	
Classical Receptions Journal	Oxford University Press 	http://crj.oxfordjournals.org 	1759-5142 	1759-5134 	Unknown	Oxford University Press 	
Clay Minerals	Mineralogical Society of Great Britain and Ireland 	http://claymin.geoscienceworld.org 	1471-8030 	0009-8558 	Unknown	Mineralogical Society of Great Britain and Ireland 	
Cleveland Clinic Journal of Medicine	Cleveland Clinic 	http://www.ccjm.org 	1939-2869 	0891-1150 	Unknown	Cleveland Clinic Journal of Medicine 	
Clin-Alert	SAGE Publications 	http://cla.sagepub.com 	1530-812X 	0069-4770 	Unknown	Unknown	
Clinical and Applied Thrombosis/Hemostasis	SAGE Publications 	http://cat.sagepub.com 	1938-2723 	1076-0296 	Unknown	Unknown	
Clinical and Vaccine Immunology	American Society for Microbiology 	http://cvi.asm.org 	1556-679X 	1556-6811 	Biochemistry Chemistry Computer Science Immunology Infectious Diseases Medicine Microbiology Oncology Pathology Pharmacology Rheumatology Virology 	American Society for Microbiology 	
Clinical Cancer Research	American Association for Cancer Research, Inc. (AACR) 	http://clincancerres.aacrjournals.org 	1557-3265 	1078-0432 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Statistics Surgery Travel Medicine Virology Women's Health 	AACR 	
Clinical Case Studies	SAGE Publications 	http://ccs.sagepub.com 	1552-3802 	1534-6501 	Unknown	Unknown	
Clinical Chemistry	American Association for Clinical Chemistry 	http://www.clinchem.org 	1530-8561 	0009-9147 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Critical Care / Intensive Care Dermatology Developmental Biology Earth Sciences Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics General Practice / Primary Care Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Occupational Health Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	AACC 	
Clinical Child Psychology and Psychiatry	SAGE Publications 	http://ccp.sagepub.com 	1461-7021 	1359-1045 	Unknown	Unknown	
Clinical Diabetes	American Diabetes Association 	http://clinical.diabetesjournals.org 	1945-4953 	0891-8929 	Clinical Medicine Endocrinology General Practice / Primary Care Medicine 	American Diabetes Association 	
Clinical EEG and Neuroscience	SAGE Publications  	http://eeg.sagepub.com 	Unknown	1550-0594 	Unknown	Official Journal of the EEG and Clinical Neuroscience Society 	
Clinical Ethics	Royal Society of Medicine Press 	http://ce.rsmjournals.com 	Unknown	1477-7509 	Unknown	Royal Society of Medicine Press 	
Clinical Infectious Diseases	Oxford University Press 	http://cid.oxfordjournals.org 	1537-6591 	1058-4838 	Unknown	Infectious Diseases Society of America 	
Clinical Journal of the American Society of Nephrology	American Society of Nephrology 	http://cjasn.asnjournals.org 	1555-905X 	1555-9041 	Unknown	American Society of Nephrology 	
Clinical Kidney Journal	Oxford University Press 	http://ckj.oxfordjournals.org 	2048-8513 	2048-8505 	Unknown	European Renal Association - European Dialysis and Transplant Assoc 	
Clinical Medicine & Research	Marshfield Clinic 	http://www.clinmedres.org 	1554-6179 	1539-4182 	Unknown	Marshfield Clinic 	
Clinical Microbiology Reviews	American Society for Microbiology  	http://cmr.asm.org 	1098-6618 	0893-8512 	Biochemistry Cell Biology Chemistry Dermatology Endocrinology Genetics Immunology Infectious Diseases Medicine Microbiology Oncology Pathology Pharmacology Physiology Rheumatology Travel Medicine Virology 	American Society for Microbiology  	
Clinical Nursing Research	SAGE Publications 	http://cnr.sagepub.com 	1552-3799 	1054-7738 	Unknown	Unknown	
Clinical Pediatrics	SAGE Publications  	http://cpj.sagepub.com 	Unknown	0009-9228 	Unknown	Unknown	
Clinical Pharmacology in Drug Development	Sage Publications 	http://cpd.sagepub.com 	2160-7648 	2160-763X 	Unknown	American College of Clinical Pharmacology 	
Clinical Rehabilitation	SAGE Publications 	http://cre.sagepub.com 	1477-0873 	0269-2155 	Unknown	Unknown	
Clinical Risk	Royal Society of Medicine Press 	http://cr.rsmjournals.com 	Unknown	1356-2622 	Unknown	Royal Society of Medicine Press 	
Clinical Trials	SAGE Publications 	http://ctj.sagepub.com 	1740-7753 	1740-7745 	Unknown	The Society for Clinical Trials 	
Clothing and Textiles Research Journal	SAGE Publications 	http://ctr.sagepub.com 	Unknown	0887-302X 	Unknown	International Textile and Apparel Association  	
Cold Spring Harbor Perspectives in Biology	Cold Spring Harbor Laboratory Press 	http://cshperspectives.cshlp.org 	1943-0264 	N/A 	Unknown	Cold Spring Harbor Laboratory  	
Cold Spring Harbor Perspectives in Medicine	Cold Spring Harbor Laboratory Press 	http://perspectivesinmedicine.cshlp.org 	2157-1422 	Unknown	Unknown	Unknown	
Cold Spring Harbor Protocols	Cold Spring Harbor Laboratory Press 	http://cshprotocols.cshlp.org 	1559-6095 	1940-3402 	Unknown	Cold Spring Harbor Laboratory 	
Cold Spring Harbor Symposia on Quantitative Biology	Cold Spring Harbor Laboratory Press 	http://symposium.cshlp.org 	1943-4456 	0091-7451 	Unknown	Cold Spring Harbor Laboratory 	
College & Research Libraries	Association of College & Research Libraries 	http://crl.acrl.org 	2150-6701 	0010-0870 	Unknown	Unknown	
College & Research Libraries News	Association of College & Research Libraries 	http://crln.acrl.org 	2150-6698 	0099-0086 	Unknown	Unknown	
Common Knowledge	Duke University Press 	http://commonknowledge.dukejournals.org 	1538-4578 	0961-754X 	Unknown	Unknown	
Communication and Sport	Unknown	http://com.sagepub.com 	2167-4809 	2167-4795 	Unknown	Unknown	
Communication Disorders Quarterly	SAGE Publications 	http://cdq.sagepub.com 	1538-4837 	1525-7401 	Unknown	Hammill Institute on Disabilities, SAGE, and CEC  	
Communication Research	SAGE Publications 	http://crx.sagepub.com 	1552-3810 	0093-6502 	Unknown	Unknown	
Community College Review	SAGE Publications 	http://crw.sagepub.com 	Unknown	0091-5521 	Unknown	Unknown	
Community Development Journal	Oxford University Press 	http://cdj.oxfordjournals.org 	1468-2656 	0010-3802 	Sociology 	Unknown	
Comparative Literature	Duke University Press 	http://complit.dukejournals.org 	1945-8517 	0010-4124 	Unknown	None. 	
Comparative Political Studies	SAGE Publications 	http://cps.sagepub.com 	1552-3829 	0010-4140 	Unknown	Unknown	
Comparative Studies of South Asia, Africa and the Middle East	Duke University Press 	http://cssaame.dukejournals.org 	1548-226X 	1089-201X 	Unknown	Unknown	
Compensation & Benefits Review	SAGE Publications 	http://cbr.sagepub.com 	1552-3837 	0886-3687 	Unknown	Unknown	
The Computer Journal	Oxford University Press 	http://comjnl.oxfordjournals.org 	1460-2067 	0010-4620 	Unknown	British Computer Society 	
Concurrent Engineering	SAGE Publications 	http://cer.sagepub.com 	1531-2003 	1063-293X 	Unknown	Unknown	
Conflict Management and Peace Science	SAGE Publications Ltd 	http://cmp.sagepub.com 	1549-9219 	0738-8942 	Unknown	Peace Science Society (International) 	
Contemporary Education Dialogue	SAGE 	http://ced.sagepub.com 	2249-5320 	0973-1849 	Unknown	Unknown	
Contemporary Literature	The University of Wisconsin Press 	http://cl.uwpress.org 	1548-9949 	0010-7484 	Unknown	Unknown	
Contemporary Sociology: A Journal of Reviews	SAGE Publications 	http://csx.sagepub.com 	1939-8638 	0094-3061 	Unknown	American Sociological Association 	
Contemporary Women's Writing	Oxford University Press 	http://cww.oxfordjournals.org 	1754-1476 	1754-1484 	Unknown	Contemporary Women's Writing Network 	
Contexts	SAGE Publications 	http://ctx.sagepub.com 	1537-6052 	1536-5042 	Unknown	American Sociological Association 	
Continuing Education in Anaesthesia, Critical Care & Pain	Oxford University Press 	http://ceaccp.oxfordjournals.org 	1743-1824 	1743-1816 	Unknown	The Royal College of Anaesthetists 	
Contributions to Indian Sociology	SAGE Publications 	http://cis.sagepub.com 	0973-0648 	0069-9667 	Unknown	SAGE Publications 	
Contributions to Political Economy	Oxford University Press 	http://cpe.oxfordjournals.org 	1464-3588 	0277-5921 	Economic Science Political Science 	Unknown	
Convergence: The International Journal of Research into New Media Technologies	SAGE Publications  	http://con.sagepub.com 	1748-7382 	1354-8565 	Unknown	SAGE Publications  	
Cooperation and Conflict	SAGE Publications 	http://cac.sagepub.com 	1460-3691 	0010-8367 	Unknown	Nordic International Studies Association 	
Cornell Hospitality Quarterly	SAGE Publications 	http://cqx.sagepub.com 	1938-9663 	1938-9655 	Unknown	The Center for Hospitality Research of Cornell University 	
Counseling Outcome Research and Evaluation	SAGE Publications 	http://cor.sagepub.com 	2150-1386 	2150-1378 	Unknown	Association for Assessment in Counseling and Education, a division of the Americ 	
The Counseling Psychologist	SAGE Publications 	http://tcp.sagepub.com 	1552-3861 	0011-0000 	Unknown	Division of Counseling Psychology of the American Psychological Association 	
Crime & Delinquency	SAGE Publications 	http://cad.sagepub.com 	1552-387X 	0011-1287 	Unknown	National Council on Crime and Delinquency 	
Crime, Media, Culture	SAGE Publications 	http://cmc.sagepub.com 	1741-6604 	1741-6590 	Unknown	SAGE Publications 	
Criminology and Criminal Justice	SAGE Publications 	http://crj.sagepub.com 	1748-8966 	1748-8958 	Unknown	Unknown	
Criminal Justice and Behavior	SAGE Publications 	http://cjb.sagepub.com 	1552-3594 	0093-8548 	Unknown	American Association for Correctional Psychology 	
Criminal Justice Policy Review	SAGE Publications 	http://cjp.sagepub.com 	1552-3586 	0887-4034 	Unknown	Department of Criminology at Indiana University of Pennsylvania 	
Criminal Justice Review	SAGE Publications 	http://cjr.sagepub.com 	1556-3839 	0734-0168 	Unknown	Georgia State University, College of Health and Human Sciences 	
Critical Care Nurse	American Association of Critical-Care Nurses 	http://ccn.aacnjournals.org 	1940-8250 	0279-5442 	Unknown	Unknown	
Critical Reviews in Oral Biology & Medicine	SAGE Publications 	http://cro.sagepub.com 	1544-1113 	1045-4411 	Unknown	International & American Associations for Dental Research 	
Critical Social Policy	SAGE Publications 	http://csp.sagepub.com 	1461-703X 	0261-0183 	Unknown	Unknown	
Critical Sociology	SAGE 	http://crs.sagepub.com 	1569-1632 	0896-9205 	Unknown	SAGE 	
Critique of Anthropology	SAGE Publications 	http://coa.sagepub.com 	1460-3721 	0308-275X 	Unknown	Unknown	
Cross-Cultural Research	SAGE Publications 	http://ccr.sagepub.com 	1552-3578 	1069-3971 	Unknown	Society for Cross-Cultural Research 	
Cultural Dynamics	SAGE Publications 	http://cdy.sagepub.com 	1461-7048 	0921-3740 	Unknown	Unknown	
cultural geographies	SAGE Publications 	http://cgj.sagepub.com 	1477-0881 	1474-4740 	Unknown	Unknown	
Cultural Politics an International Journal	Duke University Press 	http://culturalpolitics.dukejournals.org 	1751-7435 	1743-2197 	Unknown	none 	
Cultural Sociology	SAGE Publications 	http://cus.sagepub.com 	1749-9763 	1749-9755 	Unknown	The British Sociological Association/SAGE Publications 	
Cultural Studies <=> Critical Methodologies	SAGE Publications 	http://csc.sagepub.com 	1552-356X 	1532-7086 	Unknown	Unknown	
Culture & Psychology	SAGE Publications 	http://cap.sagepub.com 	1461-7056 	1354-067X 	Unknown	Unknown	
Current Directions in Psychological Science	SAGE Publications 	http://cdp.sagepub.com 	1467-8721 	0963-7214 	Unknown	Association for Psychological Science 	
Current Legal Problems	Oxford University Press 	http://clp.oxfordjournals.org 	2044-8422 	0070-1998 	Unknown	University College London 	
Current Sociology	SAGE Publications 	http://csi.sagepub.com 	1461-7064 	0011-3921 	Unknown	International Sociological Association 	
Currents in Biblical Research	SAGE Publications  	http://cbi.sagepub.com 	1745-5200 	1476-993X 	Unknown	Unknown	
Database	Oxford University Press 	http://database.oxfordjournals.org 	1758-0463 	Unknown	Unknown	Oxford University Press 	
Decision Analysis	The Institute for Operations Research and the Management Sciences (INFORMS) 	http://da.journal.informs.org 	1545-8504 	1545-8490 	Unknown	INFORMS - Contact Editor-in-Chief at http://da.pubs.informs.org/  	
Dementia	SAGE Publications 	http://dem.sagepub.com 	1741-2684 	1471-3012 	Unknown	Unknown	
Dentomaxillofacial Radiology	The British Institute of Radiology (on behalf of the IADMFR) 	http://dmfr.birjournals.org 	1476-542X 	0250-832X 	Radiology 	IADMFR (see http://www.iadmfr.org/) 	
Development	The Company of Biologists Ltd 	http://dev.biologists.org 	1477-9129 	0950-1991 	Biochemistry Cardiovascular Medicine and Stroke Cell Biology Developmental Biology Immunology Microbiology Neuroscience Pathology Renal and Urologic Medicine Respiratory Medicine 	The Company of Biologists Ltd 	
Diabetes	American Diabetes Association 	http://diabetes.diabetesjournals.org 	1939-327X 	0012-1797 	Clinical Medicine Endocrinology Medicine 	American Diabetes Association 	
Diabetes and Vascular Disease Research	SAGE Publications 	http://dvr.sagepub.com 	1752-8984 	1479-1641 	Unknown	Unknown	
Diabetes Care	American Diabetes Association 	http://care.diabetesjournals.org 	1935-5548 	0149-5992 	Clinical Medicine Endocrinology Medicine 	American Diabetes Association 	
The Diabetes Educator	SAGE Publications  	http://tde.sagepub.com 	1554-6063 	0145-7217 	Unknown	American Association of Diabetes Educators  	
Diabetes Spectrum	American Diabetes Association 	http://spectrum.diabetesjournals.org 	1944-7353 	1040-9165 	Clinical Medicine Endocrinology General Practice / Primary Care Medicine 	American Diabetes Association 	
Dialogues in Human Geography	SAGE Publications 	http://dhg.sagepub.com 	2043-8214 	2043-8206 	Unknown	Unknown	
differences	Duke University Press 	http://differences.dukejournals.org 	1527-1986 	1040-7391 	Unknown	None 	
Diogenes	SAGE Publications 	http://dio.sagepub.com 	1467-7695 	0392-1921 	Unknown	International Council for Philosophy and Humanistic Studies 	
Diplomatic History	Oxford University Press 	http://dh.oxfordjournals.org 	1467-7709 	0145-2096 	Unknown	Society for Historians of American Foreign Relations 	
Discourse & Communication	SAGE Publications 	http://dcm.sagepub.com 	1750-4821 	1750-4813 	Unknown	Unknown	
Discourse & Society	SAGE Publications 	http://das.sagepub.com 	1460-3624 	0957-9265 	Unknown	Unknown	
Discourse Studies	SAGE Publications 	http://dis.sagepub.com 	1461-7080 	1461-4456 	Unknown	Unknown	
Disease Models & Mechanisms	The Company of Biologists 	http://dmm.biologists.org 	1754-8411 	1754-8403 	Unknown	The Company of Biologists 	
 Therapeutic Innovation & Regulatory Science	SAGE Publications 	http://dij.sagepub.com 	2164-9200 	2168-4790 	Unknown	Published in Association with  DIA   	
Drug Metabolism and Disposition	The American Society for Pharmacology and Experimental Therapeutics 	http://dmd.aspetjournals.org 	1521-009X 	0090-9556 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Anthropology Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Statistics Surgery Travel Medicine Virology Women's Health 	The American Society for Pharmacology and Experimental Therapeutics 	
DTB - Drug and Therapeutics Bulletin	BMJ Publishing Group Ltd 	http://dtb.bmj.com 	1755-5248 	0012-6543 	Unknown	N/A 	
Early Music	Oxford University Press 	http://em.oxfordjournals.org 	1741-7260 	0306-1078 	Unknown	Unknown	
East Asian Science, Technology and Society	Duke University Press 	http://easts.dukejournals.org 	1875-2152 	1875-2160 	Unknown	National Science Council, Taiwan 	
East European Politics & Societies	SAGE Publications 	http://eep.sagepub.com 	1533-8371 	0888-3254 	Unknown	American Council of Learned Societies 	
Ecological Restoration	The University of Wisconsin Press 	http://er.uwpress.org 	1543-4079 	1522-4740 	Unknown	Unknown	
Economic and Industrial Democracy	SAGE Publications 	http://eid.sagepub.com 	1461-7099 	0143-831X 	Unknown	The National Institute for Working Life 	
Economic Development Quarterly	SAGE Publications 	http://edq.sagepub.com 	1552-3543 	0891-2424 	Unknown	Unknown	
Economic Geology	Society of Economic Geologists, Inc. 	http://economicgeology.org 	1554-0774 	0361-0128 	Unknown	Society of Economic Geologists, Inc.  	
Education and Urban Society	SAGE Publications 	http://eus.sagepub.com 	1552-3535 	0013-1245 	Unknown	Unknown	
Education, Citizenship and Social Justice	SAGE Publications 	http://esj.sagepub.com 	1746-1987 	1746-1979 	Unknown	Not a society journal 	
Educational Administration Quarterly	SAGE Publications 	http://eaq.sagepub.com 	1552-3519 	0013-161X 	Unknown	University Council for Educational Administration 	
Educational and Psychological Measurement	SAGE Publications 	http://epm.sagepub.com 	1552-3888 	0013-1644 	Unknown	Unknown	
Educational Evaluation and Policy Analysis	SAGE Publications 	http://epa.sagepub.com 	1935-1062 	0162-3737 	Unknown	American Educational Research Association  	
Educational Management Administration & Leadership	SAGE Publications 	http://ema.sagepub.com 	1741-1440 	1741-1432 	Unknown	British Educational Leadership, Management & Admin Society 	
Educational Policy	SAGE Publications 	http://epx.sagepub.com 	1552-3896 	0895-9048 	Unknown	Unknown	
Educational Researcher	SAGE Publications 	http://edr.sagepub.com 	1935-102X 	0013-189X 	Unknown	American Educational Research Association  	
Eighteenth-Century Life	Duke University Press 	http://ecl.dukejournals.org 	1086-3192 	0098-2601 	Unknown	Unknown	
Electronic News	SAGE Publications 	http://enx.sagepub.com 	1931-244X 	1931-2431 	Unknown	Association for Education in Journalism and Mass Communication 	
Elements	Mineralogical Society of America, and others 	http://elements.geoscienceworld.org 	1811-5217 	1811-5209 	Unknown	Unknown	
ELT Journal	Oxford University Press 	http://eltj.oxfordjournals.org 	1477-4526 	0951-0893 	Unknown	Unknown	
Emergency Medicine Journal	BMJ Publishing Group Ltd 	http://emj.bmj.com 	1472-0213 	1472-0205 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Dermatology Endocrinology Evidence Based Practice Gastroenterology General Practice / Primary Care Immunology Infectious Diseases Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Virology Women's Health 	N/A 	
Emotion Review	SAGE Publications Ltd 	http://emr.sagepub.com 	1754-0747 	1754-0739 	Unknown	Unknown	
Endocrine Reviews	The Endocrine Society 	http://edrv.endojournals.org 	1945-7189 	0163-769X 	Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Medicine Neuroscience Nutrition Oncology Pediatrics Pharmacology Physiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Surgery Virology Women's Health 	The Endocrine Society 	
Endocrine-Related Cancer	BioScientifica 	http://erc.endocrinology-journals.org 	1479-6821 	1351-0088 	Unknown	Society for Endocrinology 	
Endocrinology	The Endocrine Society 	http://endo.endojournals.org 	1945-7170 	0013-7227 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The Endocrine Society 	
Engineering in Medicine	SAGE Publications 	http://eim.sagepub.com 	Unknown	0046-2039 	Unknown	Institution of Mechanical Engineers 	
English	Oxford University Press 	http://english.oxfordjournals.org 	1756-1124 	0013-8215 	Unknown	The English Association 	
The English Historical Review	Oxford University Press 	http://ehr.oxfordjournals.org 	1477-4534 	0013-8266 	Unknown	Oxford University Press 	
Enterprise and Society	Oxford University Press 	http://es.oxfordjournals.org 	1467-2235 	1467-2227 	Economic Science Political Science 	Unknown	
Environment and Behavior	SAGE Publications 	http://eab.sagepub.com 	1552-390X 	0013-9165 	Unknown	Environmental Design Research Association 	
Environment and Urbanization	SAGE Publications 	http://eau.sagepub.com 	1746-0301 	0956-2478 	Unknown	I I E D-INT INST ENVIRONMENT DEVELOPMENT  	
Environment and Urbanization Asia	SAGE Publications 	http://eua.sagepub.com 	0976-3546 	0975-4253 	Unknown	Unknown	
Environmental Geosciences	American Association of Petroleum Geologists 	http://eg.geoscienceworld.org 	1526-0984 	1075-9565 	Unknown	American Association of Petroleum Geologists 	
Environmental History	Oxford University Press 	http://envhis.oxfordjournals.org 	1930-8892 	1084-5453 	Unknown	American Society for Environmental History 	
Environmental History Review	Oxford University Press 	http://envihistrevi.oxfordjournals.org 	Unknown	1053-4180 	Unknown	Forest History Society 	
Epidemiologic Reviews	Oxford University Press 	http://epirev.oxfordjournals.org 	1478-6729 	0193-936X 	Infectious Diseases 	Society for Epidemiologic Research 	
Ergonomics in Design: The Quarterly of Human Factors Applications	SAGE Publications 	http://erg.sagepub.com 	Unknown	1064-8046 	Unknown	Human Factors and Ergonomics Society 	
ESHRE Monographs	Oxford University Press 	http://eshremonographs.oxfordjournals.org 	1477-8378 	1477-741X 	Unknown	European Society of Human Reproduction and Embryology 	
Essays in Criticism	Oxford University Press 	http://eic.oxfordjournals.org 	1471-6852 	0014-0856 	Unknown	Oxford University Press 	
Ethnicities	SAGE Publications 	http://etn.sagepub.com 	1741-2706 	1468-7968 	Unknown	Unknown	
Ethnography	SAGE Publications 	http://eth.sagepub.com 	1741-2714 	1466-1381 	Unknown	Unknown	
Ethnohistory	Duke University Press 	http://ethnohistory.dukejournals.org 	1527-5477 	0014-1801 	Unknown	American Society for Ethnohistory 	
Eukaryotic Cell	American Society for Microbiology 	http://ec.asm.org 	1535-9786 	1535-9778 	Cell Biology Microbiology Physiology 	American Society for Microbiology 	
Europace	Oxford University Press 	http://europace.oxfordjournals.org 	1532-2092 	1099-5129 	Unknown	European Heart Rhythm Association of the European Society of Cardiology (ESC)  	
European Heart Journal	Oxford University Press 	http://eurheartj.oxfordjournals.org 	1522-9645 	0195-668X 	Unknown	European Society of Cardiology 	
European Heart Journal - Cardiovascular Imaging	Oxford University Press 	http://ehjcimaging.oxfordjournals.org 	2047-2412 	2047-2404 	Unknown	European Society of Cardiology 	
European Heart Journal Supplements	Oxford University Press 	http://eurheartjsupp.oxfordjournals.org 	Unknown	1520-765X 	Unknown	European Society of Cardiology 	
European Heart Journal: Acute Cardiovascular Care	SAGE Publications 	http://acc.sagepub.com 	2048-8734 	2048-8726 	Unknown	Working Group on Acute Cardiac Care of the European Society of Cardiology 	
European History Quarterly	SAGE Publications 	http://ehq.sagepub.com 	1461-7110 	0265-6914 	Unknown	Unknown	
European Journal of Archaeology	SAGE Publications 	http://eja.sagepub.com 	1741-2722 	1461-9571 	Unknown	European Association of Archaeologists 	
European Journal of Cardio-Thoracic Surgery	Oxford University Press 	http://ejcts.oxfordjournals.org 	1873-734X 	1010-7940 	Unknown	European Association for Cardio-Thoracic Surgery 	
European Journal of Cardiovascular Nursing	SAGe Publications 	http://cnu.sagepub.com 	1873-1953 	1474-5151 	Unknown	European Society of Cardiology 	
European Journal of Communication	SAGE Publications 	http://ejc.sagepub.com 	1460-3705 	0267-3231 	Unknown	Unknown	
European Journal of Criminology	SAGE Publications 	http://euc.sagepub.com 	1741-2609 	1477-3708 	Unknown	European Society of Criminology 	
European Journal of Cultural Studies	SAGE Publications 	http://ecs.sagepub.com 	1460-3551 	1367-5494 	Unknown	Unknown	
European Journal of Endocrinology	BioScientifica Ltd 	http://www.eje-online.org 	1479-683X 	0804-4643 	Unknown	European Society of Endocrinology 	
European Journal of Heart Failure	Oxford University Press 	http://eurjhf.oxfordjournals.org 	1879-0844 	1388-9842 	Unknown	European Society of Cardiology 	
European Journal of Heart Failure Supplements	Oxford University Press 	http://eurjhfsupp.oxfordjournals.org 	1878-1314 	1567-4215 	Unknown	European Society of Cardiology 	
European Journal of Hospital Pharmacy: Science and Practice	Unknown	http://ejhp.bmj.com 	2047-9964 	2047-9956 	Unknown	Unknown	
European Journal of Industrial Relations	SAGE Publications 	http://ejd.sagepub.com 	1461-7129 	0959-6801 	Unknown	Unknown	
European Journal of International Law	Oxford University Press 	http://ejil.oxfordjournals.org 	1464-3596 	0938-5428 	Unknown	Unknown	
European Journal of International Relations	SAGE Publications 	http://ejt.sagepub.com 	1460-3713 	1354-0661 	Unknown	Standing Group on International Relations of the ECPR 	
European Journal of Mineralogy	E. Schweizerbart´sche Verlagsbuchhandlung Science Publisher, Germany 	http://eurjmin.geoscienceworld.org 	1617-4011 	0935-1221 	Unknown	please see http://www.schweizerbart.de/j/ejm/about.html 	
The European Journal of Orthodontics	Oxford University Press 	http://ejo.oxfordjournals.org 	1460-2210 	0141-5387 	Unknown	Unknown	
European Journal of Political Theory	SAGE Publications 	http://ept.sagepub.com 	1741-2730 	1474-8851 	Unknown	Unknown	
