pIssn	eIssn	title	urls	subject	isStm	society	emptyField
1535-3958	1535-3966	CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1535-3966	Humanities and Social Sciences		ERP Environment	 
0160-7960	2161-007X	COUNSELING AND VALUES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-007X	Humanities and Social Sciences		American Counseling Association (ACA)	 
1078-8719	1532-2149	COUNSELING TODAY	Print Only	Humanities and Social Sciences		American Counseling Association (ACA)	 
0011-0035	1556-6978	COUNSELOR EDUCATION AND SUPERVISION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-6978	Humanities and Social Sciences		American Counseling Association (ACA)	 
0963-1690	1467-8691	CREATIVITY AND INNOVATION MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8691	Business, Economics, Finance and Accounting    		European Association for Creativity and Innovation	 
0957-9664	1471-2857	CRIMINAL BEHAVIOUR AND MENTAL HEALTH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1471-2857	Psychology			 
0011-1384	1745-9125	CRIMINOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-9125	Law and Criminology		American Society of Criminology	 
1538-6473	1745-9133	CRIMINOLOGY AND PUBLIC POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-9133	Law and Criminology		American Society of Criminology	 
0011-1562	1467-8705	CRITICAL QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8705	Humanities and Social Sciences			 
0011-1953	1939-3881	CROSSCURRENTS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-3881	Humanities and Social Sciences		Association for Religion and Intellectual Life	 
0232-1300	1521-4079	CRYSTAL RESEARCH AND TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4079	Physics and Astronomy	STM Collection		 
0886-7356	1548-1360	CULTURAL ANTHROPOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1360	Humanities and Social Sciences		American Anthropological Association	 
2153-9553	2153-9561	CULTURE, AGRICULTURE, FOOD & ENVIRONMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-486X	Humanities and Social Sciences		American Anthropological Association	 
0011-3069	2151-6952	CURATOR THE MUSEUM JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2151-6952	Humanities and Social Sciences		California Academy of Sciences	 
0362-6784	1467-873X	CURRICULUM INQUIRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-873X	Education		Ontario Institute for Studies in Education (OISE)	 
1355-4905	1467-8748	CURTIS'S BOTANICAL MAGAZINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8748	Life Sciences	STM Collection	Royal Botanic Gardens Kew	 
1552-4922	1552-4930	CYTOMETRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4957	Life Sciences	STM Collection	International Society for Advancement of Cytometry	 
0956-5507	1365-2303	CYTOPATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2303	Medical, Veterinary and Health Sciences	STM Collection	British Society for Clinical Cytology (BSCC)	 
1949-3584	1949-3592	CYTOSKELETON	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1949-3592	Life Sciences	STM Collection		 
1527-6562	1943-7587	DEAN & PROVOST	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-7587	Education			 
0011-7315	1540-5915	DECISION SCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5915	Business, Economics, Finance and Accounting    		Decision Sciences Institute	 
1540-4595	1540-4609	DECISION SCIENCES JOURNAL OF INNOVATIVE EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-4609	Business, Economics, Finance and Accounting    		Decision Sciences Institute	 
1600-4469	1600-9657	DENTAL TRAUMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-9657	Medical, Veterinary and Health Sciences	STM Collection	International Association for Dental Traumatology	 
1049-3255	1936-4393	DEPARTMENT CHAIR	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1936-4393	Education			 
1091-4269	1520-6394	DEPRESSION AND ANXIETY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6394	Medical, Veterinary and Health Sciences	STM Collection		 
1076-0512	1524-4725	DERMATOLOGIC SURGERY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1524-4725	Medical, Veterinary and Health Sciences	STM Collection	American Society for Dermatologic Surgery	 
1396-0296	1529-8019	DERMATOLOGIC THERAPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1529-8019	Medical, Veterinary and Health Sciences	STM Collection		 
1942-5074	1948-7177	DESIGN MANAGEMENT JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1948-7177	Business, Economics, Finance and Accounting    		DESIGN MANAGEMENT INSTITUTE (DMI)	 
1557-0614	1948-7169	DESIGN MANAGEMENT REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1948-7169	Business, Economics, Finance and Accounting    		DESIGN MANAGEMENT INSTITUTE (DMI)	 
1471-8731	1471-8847	DEVELOPING WORLD BIOETHICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-8847	Humanities and Social Sciences		International Association of Bioethics	 
0012-155X	1467-7660	DEVELOPMENT AND CHANGE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7660	Humanities and Social Sciences		Institute of Social Studies	 
0012-1592	1440-169X	DEVELOPMENT GROWTH & DIFFERENTIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-169X	Life Sciences	STM Collection	Japanese Society of Developmental Biologists	 
0950-6764	1467-7679	DEVELOPMENT POLICY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7679	Humanities and Social Sciences		Overseas Development Institute	 
1940-5510	1940-5529	DEVELOPMENTAL DISABILITIES RESEARCH REVIEW	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1940-5529	Humanities and Social Sciences	STM Collection	Developmental Disabilities Research Centers	 
1058-8388	1097-0177	DEVELOPMENTAL DYNAMICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0177	Life Sciences	STM Collection	American Association of Anatomists	 
0012-1622	1469-8749	DEVELOPMENTAL MEDICINE & CHILD NEUROLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-8749	Medical, Veterinary and Health Sciences	STM Collection	American Academy for Cerebral Palsy and Developmental Medicine	 
1932-8451	1932-846X	DEVELOPMENTAL NEUROBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-846X	Life Sciences	STM Collection		 
0012-1630	1098-2302	DEVELOPMENTAL PSYCHOBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2302	Humanities and Social Sciences	STM Collection		 
1363-755X	1467-7687	DEVELOPMENTAL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7687	Psychology			 
1462-8902	1463-1326	DIABETES OBESITY & METABOLISM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-1326	Medical, Veterinary and Health Sciences	STM Collection		 
1520-7552	1520-7560	DIABETES/METABOLISM: RESEARCH AND REVIEWS (ELECT)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-7560	Medical, Veterinary and Health Sciences	STM Collection		 
0742-3071	1464-5491	DIABETIC MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1464-5491	Medical, Veterinary and Health Sciences	STM Collection	Diabetes UK	 
8755-1039	1097-0339	DIAGNOSTIC CYTOPATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0339	Medical, Veterinary and Health Sciences	STM Collection		 
0012-2017	1746-8361	DIALECTICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1746-8361	Humanities and Social Sciences		European Society for Analytic Philosophy	 
0012-2033	1540-6385	DIALOG	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6385	Humanities and Social Sciences		Dialog Inc	 
0042-062X	1756-1221	DIE UNTERRICHTSPRAXIS/TEACHING GERMAN	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-1221	Humanities and Social Sciences		American Association of Teachers of German	 
1060-4367	1949-3606	DIGEST OF MIDDLE EAST STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1949-3606	Humanities and Social Sciences		Policy Studies Organisation	 
0915-5635	1443-1661	DIGESTIVE ENDOSCOPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1443-1661	Medical, Veterinary and Health Sciences	STM Collection	Japan Gastroenterological Endoscopy Society	 
0145-2096	1467-7709	DIPLOMATIC HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7709	Humanities and Social Sciences		Society for Historians of American Foreign Relations	 
1086-1335	1943-8001	DISABILITY COMPLIANCE FOR HIGHER EDUCATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-8001	Education			 
0361-3666	1467-7717	DISASTERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7717	Humanities and Social Sciences		Overseas Development Institute	 
1120-8694	1442-2050	DISEASES OF THE ESOPHAGUS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-2050	Medical, Veterinary and Health Sciences	STM Collection	International Society for Diseases of the Esophagus	 
1366-9516	1472-4642	DIVERSITY AND DISTRIBUTIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1472-4642	Life Sciences	STM Collection		 
0959-5236	1465-3362	DRUG AND ALCOHOL REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1465-3362	Psychology	STM Collection	Australasian Professional Society on Alcohol and other Drugs	 
0272-4391	1098-2299	DRUG DEVELOPMENT RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2299	Medical, Veterinary and Health Sciences	STM Collection		 
1942-7603	1942-7611	DRUG TESTING AND ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1942-7611	Chemistry			 
1076-9242	1099-0909	DYSLEXIA	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0909	Psychology			 
1751-7885	1751-7893	EARLY INTERVENTION IN PSYCHIATRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-7893	Medical, Veterinary and Health Sciences	STM Collection	International Early Psychosis Association (IEPA)	 
0963-9462	1468-0254	EARLY MEDIEVAL EUROPE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0254	Humanities and Social Sciences			 
0197-9337	1096-9837	EARTH SURFACE PROCESSES AND LANDFORMS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9837	Earth and Environmental Science	STM Collection	British Society for Geomorphology	 
0098-8847	1096-9845	EARTHQUAKE ENGINEERING AND STRUCTURAL DYNAMICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9845	Engineering 	STM Collection		 
0742-2822	1540-8175	ECHOCARDIOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8175	Medical, Veterinary and Health Sciences	STM Collection	International Society of Cardiovascular Ultrasound	 
0906-7590	1600-0587	ECOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0587	Life Sciences	STM Collection	Nordic Society Oikos	 
1936-0584	1936-0592	ECOHYDROLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1936-0592	Earth and Environmental Science			 
0307-6946	1365-2311	ECOLOGICAL ENTOMOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2311	Life Sciences	STM Collection	Royal Entomological Society	 
1442-7001	1442-8903	ECOLOGICAL MANAGEMENT & RESTORATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-8903	Life Sciences	STM Collection	Ecological Society of Australia	 
1461-023X	1461-0248	ECOLOGY LETTERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-0248	Life Sciences	STM Collection	Centre National de la Recherche Scientifique	 
0906-6691	1600-0633	ECOLOGY OF FRESHWATER FISH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0633	Life Sciences	STM Collection	Museo Nacional de Ciencias Naturales (Consejo Superior de Investigaciones Cientificas, Spain) and National Environmental Research Institute (NERI), Denmark	 
0012-9682	1468-0262	ECONOMETRICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0262	Business, Economics, Finance and Accounting    		Econometric Society	 
0265-0665	1468-0270	ECONOMIC AFFAIRS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0270	Business, Economics, Finance and Accounting    		Institute of Economic Affairs	 
0013-0095	1944-8287	ECONOMIC GEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1944-8287	Humanities and Social Sciences		Clark University	 
0013-0117	1468-0289	ECONOMIC HISTORY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0289	Humanities and Social Sciences		Economic History Society	 
0095-2583	1465-7295	ECONOMIC INQUIRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1465-7295	Business, Economics, Finance and Accounting    		Western Economic Association International	 
0391-5026	1468-0300	ECONOMIC NOTES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0300	Business, Economics, Finance and Accounting    		Banca Monte dei Paschi di Siena	 
0140-489X	1468-0319	ECONOMIC OUTLOOK	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0319	Business, Economics, Finance and Accounting    		Oxford Economics	 
0812-0439	1759-3441	ECONOMIC PAPERS: A JOURNAL OF APPLIED ECONOMICS AND POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-3441	Humanities and Social Sciences		The Economic Society of Australia	 
0266-4658	1468-0327	ECONOMIC POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0327	Business, Economics, Finance and Accounting    		Centre for Economic Policy Research	 
0013-0427	1468-0335	ECONOMICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0335	Business, Economics, Finance and Accounting    		London School of Economics (LNSE)	 
0954-1985	1468-0343	ECONOMICS & POLITICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0343	Business, Economics, Finance and Accounting    			 
0731-1745	1745-3992	EDUCATIONAL MEASUREMENT: ISSUES AND PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-3992	Education		National Council on Measurement in Education	 
0013-1857	1469-5812	EDUCATIONAL PHILOSOPHY AND THEORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-5812	Education		Philosophy of Education Society of Australasia	 
0013-2004	1741-5446	EDUCATIONAL THEORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-5446	Education		University of Illinois (ILLINOIS)	 
0424-7760	1520-6416	ELECTRICAL ENGINEERING IN JAPAN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6416	Engineering 	STM Collection		 
1040-0397	1521-4109	ELECTROANALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4109	Chemistry   	STM Collection		 
1942-9533	1942-9541	ELECTRONICS & COMMUNICATIONS IN JAPAN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1942-9541	Engineering 	STM Collection		 
0173-0835	1522-2683	ELECTROPHORESIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2683	Life Sciences	STM Collection		 
1757-4676	1757-4684	EMBO MOLECULAR MEDICINE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1757-4684	Life Sciences		European Molecular Biology Organisation	 
1742-6731	1742-6723	EMERGENCY MEDICINE AUSTRALASIA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-6723	Medical, Veterinary and Health Sciences	STM Collection	Australasian College for Emergency Medicine	 
0745-7790	1520-6459	EMPLOYMENT RELATIONS TODAY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6459	Business, Economics, Finance and Accounting    			 
1601-1538	1601-1546	ENDODONTIC TOPICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1601-1546	Medical, Veterinary and Health Sciences	STM Collection		 
1618-0240	1618-2863	ENGINEERING IN LIFE SCIENCES  (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1618-2863	Life Sciences	STM Collection		 
0425-0494	1754-8845	ENGLISH IN EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-8845	Education		National Association for the Teaching of English	 
0013-8312	1475-6757	ENGLISH LITERARY RENAISSANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-6757	Humanities and Social Sciences		English Literary Renaissance Inc (ELR)	 
1094-3757	1945-6263	ENROLLMENT MANAGEMENT REPORT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1945-6263	Education			 
1559-4939	1932-5312	ENT TODAY	Not on WOL	Medical, Veterinary and Health Sciences		Triological Society	 
0013-8703	1570-7458	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1570-7458	Life Sciences	STM Collection	Netherlands Entomological Society	 
1738-2297	1748-5967	ENTOMOLOGICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-5967	Life Sciences	STM Collection	Entomological Society of Korea	 
1343-8786	1479-8298	ENTOMOLOGICAL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-8298	Life Sciences	STM Collection	Entomological Society of Japan	 
1042-2587	1540-6520	ENTREPRENEURSHIP THEORY AND PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6520	Business, Economics, Finance and Accounting    		United States Association for Small Business and Entrepreneurship	 
0893-6692	1098-2280	ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2280	Life Sciences	STM Collection	Environmental Mutagen Society	 
1462-2912	1462-2920	ENVIRONMENTAL MICROBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1462-2920	Life Sciences	STM Collection	Society for Applied Microbiology	 
E-only title	1758-2229	ENVIRONMENTAL MICROBIOLOGY REPORTS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-2229	Life Sciences	STM Collection	Society for Applied Microbiology	 
1756-932X	1756-9338	ENVIRONMENTAL POLICY AND GOVERNANCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1756-9338	Humanities and Social Sciences		ERP Environment	 
1944-7442	1944-7450	ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1944-7450	Engineering 	STM Collection	American Institute of Chemical Engineers	 
1088-1913	1520-6483	ENVIRONMENTAL QUALITY MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6483	Earth and Environmental Science			 
1520-4081	1522-7278	ENVIRONMENTAL TOXICOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-7278	Earth and Environmental Science	STM Collection		 
0730-7268	1552-8618	ENVIRONMENTAL TOXICOLOGY & CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-8618	Life Sciences	STM Collection	Society of Environmental Toxicology & Chemistry (SETAC)	 
1180-4009	1099-095X	ENVIRONMETRICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-095X	Mathematics and Statistics	STM Collection	International Environmetrics Society	 
0013-9580	1528-1167	EPILEPSIA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1528-1167	Medical, Veterinary and Health Sciences	STM Collection	International League Against Epilepsy	 
0250-8052	1365-2338	EPPO BULLETIN	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2338	Life Sciences	STM Collection	European and Mediterranean Plant Protection Organization	 
0957-7734	2042-3292	EQUINE VETERINARY EDUCATION	http://onlinelibrary.wiley.com/journal/10.1001/(ISSN)2042-3292	Medical, Veterinary and Health Sciences	STM Collection	American Association of Equine Practitioners	 
0425-1644	2042-3306	EQUINE VETERINARY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1001/(ISSN)2042-3306	Medical, Veterinary and Health Sciences	STM Collection	British Equine Veterinary Association	 
0179-1613	1439-0310	ETHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0310	Life Sciences	STM Collection		 
0091-2131	1548-1352	ETHOS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1352	Humanities and Social Sciences		American Anthropological Association	 
1478-0917	1746-692X	EUROCHOICES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1746-692X	Business, Economics, Finance and Accounting    		Agricultural Economics Society	 
1551-7853	1551-7861	EUROPEAN DIABETES NURSING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1551-7861	Medical, Veterinary and Health Sciences	STM Collection	Federation of European Nurses in Diabetes	 
1072-4133	1099-0968	EUROPEAN EATING DISORDERS REVIEW	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0968	Psychology	STM Collection	Eating Disorders Association	 
1354-7798	1468-036X	EUROPEAN FINANCIAL MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-036X	Business, Economics, Finance and Accounting    		European Financial Management Association	 
0961-5423	1365-2354	EUROPEAN JOURNAL OF CANCER CARE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2354	Medical, Veterinary and Health Sciences	STM Collection		 
0014-2972	1365-2362	EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2362	Medical, Veterinary and Health Sciences	STM Collection	European Society for Clinical Investigation	 
1396-5883	1600-0579	EUROPEAN JOURNAL OF DENTAL EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0579	Medical, Veterinary and Health Sciences	STM Collection	Association for Dental Education in Europe	 
0141-8211	1465-3435	EUROPEAN JOURNAL OF EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1465-3435	Education			 
0902-4441	1600-0609	EUROPEAN JOURNAL OF HAEMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0609	Medical, Veterinary and Health Sciences	STM Collection		 
0014-2980	1521-4141	EUROPEAN JOURNAL OF IMMUNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4141	Medical, Veterinary and Health Sciences	STM Collection		 
1434-1948	1099-0682	EUROPEAN JOURNAL OF INORGANIC CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0682c	Chemistry   	STM Collection	Editorial Union of Chemical Societies	 
1438-7697	1438-9312	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-9312	Life Sciences	STM Collection		 
1351-5101	1468-1331	EUROPEAN JOURNAL OF NEUROLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-1331	Medical, Veterinary and Health Sciences	STM Collection	European Federation for Neurological Surgeons	 
0953-816X	1460-9568	EUROPEAN JOURNAL OF NEUROSCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1460-9568	Life Sciences	STM Collection	Federation of European Neuroscience Societies	 
0909-8836	1600-0722	EUROPEAN JOURNAL OF ORAL SCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0722	Medical, Veterinary and Health Sciences	STM Collection	Scandinavian Division of the International Association for Dental Research	 
1434-193X	1099-0690	EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0690	Chemistry   	STM Collection	Editorial Union of Chemical Societies	 
1090-3801	1532-2149	EUROPEAN JOURNAL OF PAIN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-2149	TBC		European Federation of IASP Chapters (EFIC)	 
0890-2070	1099-0984	EUROPEAN JOURNAL OF PERSONALITY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0984	Psychology		European Association of Personality Psychology	 
0966-8373	1468-0378	EUROPEAN JOURNAL OF PHILOSOPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0378	Humanities and Social Sciences			 
0304-4130	1475-6765	EUROPEAN JOURNAL OF POLITICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-6765	Humanities and Social Sciences		European Consortium for Political Research	 
2047-8844	2047-8852	EUROPEAN JOURNAL OF POLITICAL RESEARCH POLITICAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2047-8852	Humanities and Social Sciences		European Consortium for Political Research (ECPR)	 
0046-2772	1099-0992	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0992	Psychology			 
1351-0754	1365-2389	EUROPEAN JOURNAL OF SOIL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2389	Earth and Environmental Science	STM Collection	British Society of Soil Science	 
1351-5993	1468-0386	EUROPEAN LAW JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0386	Law and Criminology			 
1740-4754	1740-4762	EUROPEAN MANAGEMENT REVIEW	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1740-4762	Business, Economics, Finance and Accounting    		European Academy of Management (EURAM)	 
1430-144X	1546-3109	EUROPEAN TRANSACTIONS ON ELECTRICAL POWER (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-3109	Engineering 	STM Collection		 
E-only title	1557-6272	EVIDENCE-BASED CHILD HEALTH: A COCHRANE  REVIEW JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1557-6272	Humanities and Social Sciences	STM Collection		 
0014-3820	1558-5646	EVOLUTION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1558-5646	Life Sciences	STM Collection	Society for the Study of Evolution	 
1520-541X	1525-142X	EVOLUTION AND DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-142X	Life Sciences	STM Collection	Society for Integrateive & Comparative Biology	 
1551-2371	1520-6505	EVOLUTIONARY ANTHROPOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6505	Life Sciences	STM Collection		 
0906-6705	1600-0625	EXPERIMENTAL DERMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0625	Medical, Veterinary and Health Sciences	STM Collection	Australasian Hair and Wool Research Society (AHWRS)	 
0958-0670	1469-445X	EXPERIMENTAL PHYSIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-445X	Life Sciences	STM Collection	Physiological Society	 
0732-8818	1747-1567	EXPERIMENTAL TECHNIQUES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-1567	Engineering 	STM Collection	Society for Experimental Mechanics	 
0266-4720	1468-0394	EXPERT SYSTEMS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0394	Engineering 	STM Collection		 
