"Full Title","ISSN","Product ID","Change History"
"Cuadernos de Economía","02100266","15960",
"Cuadernos de Economía y Dirección de la Empresa","11385758","15789",
"Current Applied Physics","15671739","05572",
"Current Biology","09609822","02216",
"Current Opinion in Biotechnology","09581669","02219",
"Current Opinion in Cell Biology","09550674","02220",
"Current Opinion in Chemical Biology","13675931","02221",
"Current Opinion in Chemical Engineering","22113398","12954",
"Current Opinion in Colloid & Interface Science","13590294","02228",
"Current Opinion in Environmental Sustainability","18773435","08672",
"Current Opinion in Genetics & Development","0959437X","02222",
"Current Opinion in Immunology","09527915","02223",
"Current Opinion in Microbiology","13695274","02224",
"Current Opinion in Neurobiology","09594388","02225",
"Current Opinion in Pharmacology","14714892","02277",
"Current Opinion in Plant Biology","13695266","02226",
"Current Opinion in Solid State and Materials Science","13590286","02229",
"Current Opinion in Structural Biology","0959440X","02227",
"Current Opinion in Virology","18796257","08728",
"Current Problems in Cancer","01470272","13305",
"Current Problems in Cardiology","01462806","13235",
"Current Problems in Diagnostic Radiology","03630188","13077",
"Current Problems in Pediatric and Adolescent Health Care","15385442","13250","Formerly known as Current Problems in Pediatrics"
"Current Problems in Surgery","00113840","13086",
"Current Therapeutic Research","0011393X","07568",
"Currents in Pharmacy Teaching and Learning","18771297","13445",
"Cytokine","10434666","12674",
"Cytokine & Growth Factor Reviews","13596101","00868","Formerly known as Progress in Growth Factor Research"
"Cytotherapy","14653249","14134",
"Data & Knowledge Engineering","0169023X","05265",
"Decision Support Systems","01679236","05366",
"Deep Sea Research Part I: Oceanographic Research Papers","09670637","00489","Formerly part of Deep Sea Research Part A. Oceanographic Research Papers"
"Deep Sea Research Part II: Topical Studies in Oceanography","09670645","00116","Formerly part of Deep Sea Research Part A. Oceanographic Research Papers"
"Dendrochronologia","11257865","10004",
"Dental Abstracts","00118486","13022",
"Dental Cadmos","00118524","15809",
"Dental Clinics of North America","00118532","13004",
"Dental Materials","01095641","02214",
"Dermatologic Clinics","07338635","13296",
"Dermatologica Sinica","10278117","08712",
"Desalination","00119164","05152",
"Design Studies","0142694X","03021",
"Deutsche Zeitschrift für Akupunktur","04156412","10040",
"Developmental Biology","00121606","12025",
"Developmental Cell","15345807","07594",
"Developmental Cognitive Neuroscience","18789293","05648",
"Developmental & Comparative Immunology","0145305X","00275",
"Developmental Review","02732297","12026",
"Diabetes & Metabolic Syndrome: Clinical Search and Reviews","18714021","04250",
"Diabetes & Metabolism","12623636","15535",
"Diabetes Research and Clinical Practice","01688227","08012",
"Diagnostic Histopathology","17562317","12714","Formerly known as Current Diagnostic Pathology"
"Diagnostic and Interventional Imaging","22115684","15892",
"Diagnostic Microbiology and Infectious Disease","07328893","07639",
"Diagnóstico Prenatal","21734127","15957",
"Diálisis y Trasplante","18862845","15746",
"Diamond and Related Materials","09259635","06006",
"Differential Geometry and its Applications","09262245","05266",
"Differentiation","03014681","08664",
"Digestive and Liver Disease","15908658","12918",
"Digestive and Liver Disease Supplements","15945804","12604",
"Digital Investigation","17422876","04064",
"Digital Signal Processing","10512004","12027",
"Disability and Health Journal","19366574","13428",
"Discourse, Context & Media","22116958","12970",
"Discrete Applied Mathematics","0166218X","05267",
"Discrete Mathematics","0012365X","05268",
"Discrete Optimization","15725286","05497",
"Disease-a-Month","00115029","13237",
"Displays","01419382","05270",
"DNA Repair","15687864","05466","Formerly known as Mutation Research/DNA Repair"
"DoctorConsult – The Journal. Wissen für Klinik und Praxis","18794122","10066",
"Domestic Animal Endocrinology","07397240","07637",
"Douleurs : Évaluation – Diagnostic – Traitement","16245687","15538",
"Droit, Déontologie & Soin","16296583","15838",
"Drug and Alcohol Dependence","03768716","08013",
"Drug Discovery Today","13596446","02168","Incorporating Drug Discovery Today: TARGETS, Drug Discovery Today: BIOSILICO and Pharmaceutical Science & Technology Today"
"Drug Discovery Today: Disease Mechanisms","17406765","02292",
"Drug Discovery Today: Disease Models","17406757","02293",
"Drug Discovery Today: Technologies","17406749","02294",
"Drug Discovery Today: Therapeutic Strategies","17406773","02295",
"Drug Resistance Updates","13687646","12758",
"Dyes and Pigments","01437208","02020",
"Dynamics of Atmospheres and Oceans","03770265","05327",
"Early Childhood Research Quarterly","08852006","07453",
"Early Human Development","03783782","08014","Incorporating Screening"
"Earth and Planetary Science Letters","0012821X","05328",
"Earth-Science Reviews","00128252","05329",
"Eating Behaviors","14710153","02270",
"Ecohydrology & Hydrobiology","16423593","11010",
"Ecological Complexity","1476945X","05494",
"Ecological Economics","09218009","05100",
"Ecological Engineering","09258574","05101",
"Ecological Indicators","1470160X","02273",
"Ecological Informatics","15749541","05508",
"Ecological Modelling","03043800","05102",
"Economic Modelling","02649993","03023",
"Economic Systems","09393625","05568",
"Economics of Education Review","02727757","00743",
"Economics & Human Biology","1570677X","05475",
"Economics Letters","01651765","06007",
"Economics of Transportation","22120122","12990",
"Ecosystem Services","22120416","08796",
"Ecotoxicology and Environmental Safety","01476513","12030",
"Education for Chemical Engineers","17497728","08630",
"Educational Research Review","1747938X","04233",
"The Egyptian Heart Journal","11102608","08793",
"Egyptian Informatics Journal","11108665","08716",
"Egyptian Journal of Anaesthesia","11101849","08726",
"The Egyptian Journal of Aquatic Research","16874285","10142",
"The Egyptian Journal of Critical Care Medicine","20907303","10111",
"Egyptian Journal of Ear, Nose, Throat and Allied Sciences","20900740","08762",
"Egyptian Journal of Forensic Sciences","2090536X","08761",
"Egyptian Journal of Medical Human Genetics","11108630","08730",
"Egyptian Journal of Petroleum","11100621","08781",
"The Egyptian Journal of Radiology and Nuclear Medicine","0378603X","08722",
"The Egyptian Journal of Remote Sensing and Space Science","11109823","08717",
"The Egyptian Rheumatologist","11101164","08733",
"EJVES Extra","15333167","12999",
"Electoral Studies","02613794","03024",
"Electric Power Systems Research","03787796","06008",
"The Electricity Journal","10406190","07632",
"Electrochemistry Communications","13882481","06053",
"Electrochimica Acta","00134686","00205",
"Electronic Commerce Research and Applications","15674223","05571",
"Electronic Notes in Discrete Mathematics","15710653","05485",
"Electronic Notes in Theoretical Computer Science","15710661","05486",
"EMC - AKOS - Trattato di Medicina","16347358","09202",
"EMC - Anestesia-Reanimación","12804703","09205",
"EMC - Anestesia-Rianimazione","12830771","09204",
"EMC - Aparato Locomotor","1286935X","09270",
"EMC - Cirugía General","16347080","09266",
"EMC - Cirugía Otorrinolaringológica y Cervicofacial","16352505","09271",
"EMC - Cirugía Plástica Reparadora y Estética","16342143","09260",
"EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei","17760313","09350",
"EMC - Dermatología","17612896","09210",
"EMC - Ginecología-Obstetricia","1283081X","09218",
"EMC - Kinesiterapia - Medicina Fisica","12932965","09221",
"EMC - Medicina Riabilitativa","1283078X","09222",
"EMC - Neurologia","16347072","09226",
"EMC - Otorinolaringoiatria","1639870X","09235",
"EMC - Otorrinolaringología","16323475","09234",
"EMC - Pediatría","12451789","09237",
"EMC - Podología","1762827X","09240",
"EMC - Técnicas Quirúrgicas - Aparato Digestivo","12829129","09259",
"EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología","2211033X","16194",
"EMC - Tecniche Chirurgiche Addominale","12830798","09200",
"EMC - Tecniche Chirurgiche - Chirurgia Generale","16365577","09267",
"EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale","12923036","09272",
"EMC - Tecniche Chirurgiche - Chirurgia Ortopedica","22110801","16193",
"EMC - Tecniche Chirurgiche - Chirurgia Plastica, Ricostruttiva ed Estetica","17696704","16195",
"EMC - Tecniche Chirurgiche Torace","12883336","09269",
"EMC - Tecniche Chirurgiche Vascolare","12830801","09277",
"EMC - Tratado de Medicina","16365410","09228",
"EMC - Urgenze","12869341","09275",
"EMC - Urología","17613310","09273",
"Emergency Medicine Clinics of North America","07338627","13211",
"Emerging Markets Review","15660141","05556",
"Emotion, Space and Society","17554586","04294",
"L’Encéphale","00137006","15539",
"Endeavour","01609327","00574",
"Endocrinología y Nutrición","15750922","15719",
"Endocrinología y Nutrición (English Edition)","21735093","15790",
"Endocrinology and Metabolism Clinics of North America","08898529","13212",
"Energy","03605442","00483","Incorporating Exergy, An International Journal"
"Energy and Buildings","03787788","06009",
"Energy Conversion and Management","01968904","00269","Formerly known as Energy Conversion"
"Energy Economics","01409883","03025","Incorporating Journal of Energy Finance & Development"
"Energy Policy","03014215","03026",
"Energy Procedia","18766102","05615",
"Energy Strategy Reviews","2211467X","12967",
"Energy for Sustainable Development","09730826","07817",
"Enfermedades Infecciosas y Microbiología Clínica","0213005X","15722",
"Enfermería Clínica","11308621","15709",
"Enfermería Intensiva","11302399","15714",
"Engineering Analysis with Boundary Elements","09557997","02021","Formerly known as Engineering Analysis"
"Engineering Applications of Artificial Intelligence","09521976","00975",
"Engineering Failure Analysis","13506307","00139",
"Engineering Fracture Mechanics","00137944","00322",
"Engineering Geology","00137952","05330","Incorporating Mining Science and Technology"
"Engineering Structures","01410296","03027",
"English for Specific Purposes","08894906","00682","Formerly known as The ESP Journal"
"Entertainment Computing","18759521","08654",
"Environment International","01604120","00326",
"Environmental Development","22114645","08774",
"Environmental and Experimental Botany","00988472","00267","Formerly known as Radiation Botany"
"Environmental Impact Assessment Review","01959255","07643",
"Environmental Innovation and Societal Transitions","22104224","08720",
"Environmental Modelling & Software","13648152","02023","Formerly known as Environmental Software"
"Environmental Pollution","02697491","02022","Incorporating Environmental Pollution Series A, Ecological and Biological and Environmental Pollution Series B, Chemical and Physical"
"Environmental Research","00139351","12035",
"Environmental Science & Policy","14629011","01031",
"Environmental Toxicology and Pharmacology","13826689","05432","Formerly known as European Journal of Pharmacology: Environmental Toxicology and Pharmacology"
"Enzyme and Microbial Technology","01410229","07644",
"Epidemics","17554365","08640",
"Epilepsy & Behavior","15255050","12876",
"Epilepsy & Behavior Case Reports","22133232","14105",
"Epilepsy Research","09201211","05029","Incorporating Journal of Epilepsy"
"Epileptology","22128220","10502",
"e-SPEN Journal","22128263","04097","Formerly known as e-SPEN, the European e-Journal of Clinical Nutrition and Metabolism"
"Estuarine, Coastal and Shelf Science","02727714","12641","Formerly known as Estuarine and Coastal Marine Science"
"Éthique & Santé","17654629","15541",
"European Annals of Otorhinolaryngology, Head and Neck Diseases","18797296","15869",
"European Economic Review","00142921","05368",
"European Geriatric Medicine","18787649","15865",
"European Journal of Agronomy","11610301","05444",
"European Journal of Cancer","09598049","00104","Formerly known as European Journal of Cancer and Clinical Oncology; Associated with European Journal of Cancer Supplements"
"European Journal of Cancer Supplements","13596349","00110",
"European Journal of Cell Biology","01719335","10005",
"European Journal of Combinatorics","01956698","12636",
"European Journal of Integrative Medicine","18763820","10062",
"European Journal of Internal Medicine","09536205","05551",
"European Journal of Mechanics - A/Solids","09977538","09030",
"European Journal of Mechanics - B/Fluids","09977546","09031",
"European Journal of Medical Genetics","17697212","09081","Formerly known as Annales de Génétique"
"European Journal of Medicinal Chemistry","02235234","09032",
"European Journal of Obstetrics & Gynecology and Reproductive Biology","03012115","08018","Formerly known as European Journal of Obstetrics & Gynecology"
"European Journal of Oncology Nursing","14623889","12746","Formerly known as Journal of Cancer Nursing"
"European Journal of Operational Research","03772217","05369",
"European Journal of Paediatric Neurology","10903798","12707",
"European Journal of Pharmaceutical Sciences","09280987","05030","Incorporating Pharmaceutica Acta Helvetiae"
"European Journal of Pharmaceutics and Biopharmaceutics","09396411","05446",
"European Journal of Pharmacology","00142999","05031","Incorporating European Journal of Pharmacology: Molecular Pharmacology"
"European Journal of Political Economy","01762680","05370",
"European Journal of Protistology","09324739","10028",
"European Journal of Radiology","0720048X","08019",
"European Journal of Soil Biology","11645563","09033",
"European Journal of Surgical Oncology (EJSO)","07487983","12656",
"European Journal of Vascular and Endovascular Surgery","10785884","12672","Formerly known as European Journal of Vascular Surgery"
"European Management Journal","02632373","00115",
"European Neuropsychopharmacology","0924977X","05033",
"European Polymer Journal","00143057","00294",
"European Psychiatry","09249338","09034",
"European Research in Telemedicine / La Recherche Européenne en Télémédecine","2212764X","15261",
"European Urology","03022838","05436",
"European Urology Supplements","15699056","05469","Incorporating EAU-EBU Update Series"
"Evaluation and Program Planning","01497189","00593",
"Evolution and Human Behavior","10905138","07645","Formerly known as Ethology and Sociobiology"
"L'Évolution Psychiatrique","00143855","09035",
"Experimental Cell Research","00144827","12028",
"Experimental Eye Research","00144835","12605",
"Experimental Gerontology","05315565","07530",
"Experimental Hematology","0301472X","07655",
"Experimental and Molecular Pathology","00144800","12031",
"Experimental Neurology","00144886","12032","Incorporating Neurodegeneration"
"Experimental Parasitology","00144894","12034",
"Experimental Thermal and Fluid Science","08941777","07646",
"Experimental and Toxicologic Pathology","09402993","10007","Formerly known as Experimental Pathology"
"Expert Systems with Applications","09574174","00939",
"Explorations in Economic History","00144983","12029",
"EXPLORE: The Journal of Science and Healing","15508307","13364",
"Expositiones Mathematicae","07230869","10031",
"Facial Plastic Surgery Clinics of North America","10647406","13060",
"Farmacéuticos de Atención Primaria","21723761","15784",
"FEBS Letters","00145793","05034",
"FEBS Open Bio","22115463","08795",
"Fertility and Sterility","00150282","07647",
"Feuillets de Radiologie","01819801","15542",
"Field Crops Research","03784290","05104",
"Field Mycology","14681641","04236",
"Filtration Industry Analyst","13656937","02207",
"Filtration + Separation","00151882","02127",
"Finance Research Letters","15446123","13350",
"Finite Elements in Analysis and Design","0168874X","05272",
"Finite Fields and Their Applications","10715797","12037",
"Fire Safety Journal","03797112","02024",
"Fish & Shellfish Immunology","10504648","12683",
"Fisheries Research","01657836","05105",
"Fisioterapia","02115638","15713",
"Fitoterapia","0367326X","05549",
"Flora - Morphology, Distribution, Functional Ecology of Plants","03672530","10032",
"Flow Measurement and Instrumentation","09555986","03029",
"Fluid Phase Equilibria","03783812","05153",
"FMC - Formación Médica Continuada en Atención Primaria","11342072","15723",
"Focus on Catalysts","13514180","04013",
"Focus on Pigments","09696210","04011",
"Focus on Powder Coatings","13645439","04015",
"Focus on Surfactants","13514210","04009",
"Food and Bioproducts Processing","09603085","08633",
"Food and Chemical Toxicology","02786915","00237","Formerly known as Food and Cosmetics Toxicology"
"Food Chemistry","03088146","02025",
"Food Control","09567135","03030",
"Food Hydrocolloids","0268005X","01029",
"Food Microbiology","07400020","12652",
"Food Policy","03069192","03031",
"Food Quality and Preference","09503293","02026",
"Food Research International","09639969","02027",
"Food Science and Human Wellness","22134530","10151",
"The Foot","09582592","12743",
"Foot and Ankle Clinics","10837515","13059",
"Foot and Ankle Surgery","12687731","04056",
"Forensic Science International","03790738","08021","Formerly known as Forensic Science"
"Forensic Science International: Genetics","18724973","04100",
"Forensic Science International: Genetics Supplement Series","18751768","08156",
"Forensic Science International Supplement Series","18751741","08157",
"Forest Ecology and Management","03781127","05106",
"Forest Policy and Economics","13899341","05553",
"Formosan Journal of Musculoskeletal Disorders","22107940","08740",
"Formosan Journal of Surgery","1682606X","08786",
"Free Radical Biology and Medicine","08915849","07531","Incorporating Advances in Free Radical Biology & Medicine and Journal of Free Radicals in Biology & Medicine"
"Frontiers of Architectural Research","20952635","18005",
"Frontiers in Neuroendocrinology","00913022","12039",
"Fuel","00162361","03032",
"Fuel Cells Bulletin","14642859","02233",
"Fuel and Energy Abstracts","01406701","03033",
"Fuel Processing Technology","03783820","05154",
"Fungal Biology","18786146","04234","Formerly known as Mycological Research"
"Fungal Biology Reviews","17494613","04235","Formerly known as Mycologist"
"Fungal Ecology","17545048","04293",
"Fungal Genetics and Biology","10871845","12038","Formerly known as Experimental Mycology"
"Fusion Engineering and Design","09203796","06010","Formerly known as Nuclear Engineering and Design. Fusion"
"Fuss & Sprunggelenk","16199987","10060",
"Future Generation Computer Systems","0167739X","05273",
"Futures","00163287","03034",
"Fuzzy Sets and Systems","01650114","05371",
"Gaceta Médica de Bilbao","03044858","15781",
"Gaceta Sanitaria","02139111","15747",
"Gait & Posture","09666362","05107",
"Games and Economic Behavior","08998256","12040",
"Gastroenterología y Hepatología","02105705","15738",
"Gastroenterology","00165085","13216",
"Gastroenterology Clinics of North America","08898553","13214",
"Gastrointestinal Endoscopy","00165107","13078",
"Gastrointestinal Endoscopy Clinics of North America","10525157","13217",
"Gastrointestinal Intervention","22131795","10130",
"GE Jornal Português de Gastrenterologia","08728178","15975",
"Gender Medicine","15508579","07570",
"Gene","03781119","05041",
"Gene Expression Patterns","1567133X","05567",
"General and Comparative Endocrinology","00166480","12033",
"General Hospital Psychiatry","01638343","07654",
"Genomic Medicine, Biomarkers, and Health Sciences","22114254","08697","Formerly known as Fooyin Journal of Health Sciences"
"Genomics","08887543","12043",
"Genomics, Proteomics & Bioinformatics","16720229","05602",
"Geobios","00166995","09110",
"Geochimica et Cosmochimica Acta","00167037","00212",
"Geoderma","00167061","05333",
"Geoforum","00167185","00344",
"Geomorphology","0169555X","05334",
"Geoscience Frontiers","16749871","08721",
"Geotextiles and Geomembranes","02661144","02028",
"Geothermics","03756505","00389",
"Geriatric Mental Health Care","22129693","10508",
"Geriatric Nursing","01974572","13166",
"Giornale Italiano di Endodonzia","11214171","15812",
"Global Environmental Change","09593780","01043",
"Global Finance Journal","10440283","07407",
"Global Food Security","22119124","08790",
"Global Heart","22118160","05498","Formerly known as CVD Prevention and Control"
"Global and Planetary Change","09218181","05335",
"Gondwana Research","1342937X","06066",
"Government Information Quarterly","0740624X","07408","Incorporating Journal of Government Information"
"Graphical Models","15240703","12044","Formerly known as Graphical Models and Image Processing"
"Growth Hormone & IGF Research","10966374","12770",
"Gynecologic Oncology","00908258","12045",
"Gynecologic Oncology Case Reports","2211338X","14068",
"Gynécologie Obstétrique & Fertilité","12979589","09104",
"Gynecology and Minimally Invasive Therapy","22133070","10137",
"Habitat International","01973975","00479",
"Hand Clinics","07490712","13063",
"Harmful Algae","15689883","08550",
"HBRC Journal","16874048","10145",
"Health Outcomes Research in Medicine","18771319","13444",
"Health & Place","13538292","03092",
"Health Policy","01688510","08022","Formerly known as Health Policy and Education"
"Health Policy and Technology","22118837","12981",
"Healthcare Management Forum","08404704","13452",
"Hearing Research","03785955","05043",
"Heart Failure Clinics","15517136","13369",
"Heart, Lung and Circulation","14439506","05496","Formerly known as The Asia Pacific Heart Journal"
"Heart & Lung: The Journal of Acute and Critical Care","01479563","13169",
"Heart Rhythm","15475271","13360",
"Hematology/Oncology Clinics of North America","08898588","13299",
"Hepatobiliary & Pancreatic Diseases International","14993872","08757",
"High Energy Density Physics","15741818","05507",
"Hipertensión y Riesgo Vascular","18891837","15727","Formerly known as Hipertensión"
"Historia Mathematica","03150860","12047",
"HIV & AIDS Review","17301270","11002",
"Homeopathy","14754916","12915","Formerly known as British Homoeopathic Journal"
"HOMO - Journal of Comparative Human Biology","0018442X","10023",
"Hong Kong Journal of Nephrology","15615413","08588",
"Hong Kong Journal of Occupational Therapy","15691861","08589",
"Hong Kong Physiotherapy Journal","10137025","08585",
"Hormones and Behavior","0018506X","12046",
"Hospital Medicine Clinics","22115943","14079",
"Human Immunology","01988859","07660",
"Human Movement Science","01679457","05274",
"Human Pathology","00468177","13064",
"Human Resource Management Review","10534822","07410",
"Hydrometallurgy","0304386X","05336",
"IATSS Research","03861112","12899",
"Icarus","00191035","12049",
"IERI Procedia","22126678","08813",
"IIMB Management Review","09703896","12768",
"Image and Vision Computing","02628856","05278",
"Imagen Diagnóstica","21713669","15776",
"Imagerie de la Femme","17769817","15773",
"Immunity","10747613","07591",
"Immuno-analyse & Biologie Spécialisée","09232532","09039","Formerly known as Trait - d'Union"
"Immunobiology","01712985","10026","Formerly known as Zeitschrift für Immunitätsforschung: Immunobiology"
"Immunology and Allergy Clinics of North America","08898561","13300",
"Immunology Letters","01652478","05044",
"Indagationes Mathematicae","00193577","05280","Incorporating Indagationes Mathematicae (Proceedings)"
"Indian Heart Journal","00194832","18007",
"Indian Journal of Dentistry","0975962X","10086",
"The Indian Journal of Neurotrauma","09730508","10118",
"Indian Journal of Rheumatology","09733698","08704",
"Indian Journal of Transplantation","22120017","10090",
"Industrial Crops and Products","09266690","05108",
"Industrial Marketing Management","00198501","07663",
"Infant Behavior and Development","01636383","07454",
"Infection, Genetics and Evolution","15671348","05573",
"Infectious Disease Clinics of North America","08915520","13224",
"Information and Computation","08905401","12048","Formerly known as Information and Control"
"Information Economics and Policy","01676245","05375",
"Information Fusion","15662535","05561",
"Information & Management","03787206","05374",
"Information and Organization","14717727","00964","Formerly known as Accounting, Management and Information Technologies"
"Information Processing Letters","00200190","05282",
"Information Processing & Management","03064573","00244","Formerly known as Information Storage and Retrieval"
"Information Sciences","00200255","07669","Incorporating Information Sciences - Applications"
"Information Security Technical Report","13634127","02199",
"Information and Software Technology","09505849","05281","Formerly known as Data Processing"
"Information Systems","03064379","00236",
"Infrared Physics & Technology","13504495","05198","Formerly known as Infrared Physics"
"Injury","00201383","03040",
"Injury Extra","15723461","03041",
"Inmunología","02139626","15951",
"Innovative Food Science & Emerging Technologies","14668564","01059",
"Inorganic Chemistry Communications","13877003","06052",
"Inorganica Chimica Acta","00201693","06011","Incorporating Inorganica Chimica Acta Reviews"
"Insect Biochemistry and Molecular Biology","09651748","00390","Formerly known as Insect Biochemistry"
"Insurance: Mathematics and Economics","01676687","05376",
"Integration, the VLSI Journal","01679260","05286",
"Integrative Medicine Research","22134220","10147",
"Intelligence","01602896","07455",
"Intensive and Critical Care Nursing","09643397","12744","Formerly known as Intensive Care Nursing"
"Intermetallics","09669795","02041",
"International Biodeterioration & Biodegradation","09648305","02029","Formerly known as International Biodeterioration"
"International Business Review","09695931","00133","Formerly known as Scandinavian International Business Review"
"International Communications in Heat and Mass Transfer","07351933","00208","Formerly known as Letters in Heat and Mass Transfer"
"International Dairy Journal","09586946","02030",
"International Emergency Nursing","1755599X","12738","Formerly known as Accident & Emergency Nursing"
"International Immunopharmacology","15675769","05576","Incorporating Immunopharmacology and International Journal of Immunopharmacology"
"The International Information & Library Review","10572317","12609","Formerly known as International Library Review"
"The International Journal of Accounting","00207063","07412",
"International Journal of Accounting Information Systems","14670895","07464",
"International Journal of Adhesion and Adhesives","01437496","03042",
"International Journal of Antimicrobial Agents","09248579","05047",
"International Journal of Applied Earth Observation and Geoinformation","03032434","05539",
"International Journal of Approximate Reasoning","0888613X","07662",
"The International Journal of Biochemistry & Cell Biology","13572725","00395","Formerly known as International Journal of Biochemistry"
"International Journal of Biological Macromolecules","01418130","05048",
"International Journal of Cardiology","01675273","08025",
"International Journal of Child-Computer Interaction","22128689","18006",
"International Journal of Coal Geology","01665162","05337",
"International Journal of Critical Infrastructure Protection","18745482","08628",
"International Journal of Developmental Neuroscience","07365748","00712",
"International Journal of Diabetes Mellitus","18775934","05623",
"International Journal of Disaster Risk Reduction","22124209","08802",
"International Journal of Drug Policy","09553959","05519",
"International Journal of Educational Development","07380593","00719",
"International Journal of Educational Research","08830355","00968","Formerly known as Evaluation in Education"
"International Journal of Electrical Power & Energy Systems","01420615","03044",
"International Journal of Engineering Science","00207225","00278",
"International Journal of Fatigue","01421123","03045",
"International Journal of Food Microbiology","01681605","05109",
"International Journal of Forecasting","01692070","05378",
"International Journal of Gastronomy and Food Science","1878450X","10098",
"International Journal of Gerontology","18739598","08649",
"International Journal of Greenhouse Gas Control","17505836","04089",
"International Journal of Gynecology & Obstetrics","00207292","08026",
"International Journal of Heat and Fluid Flow","0142727X","07657",
"International Journal of Heat and Mass Transfer","00179310","00210",
"International Journal of Hospitality Management","02784319","00659",
"International Journal of Human-Computer Studies","10715819","12608","Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition"
"International Journal of Hydrogen Energy","03603199","00485",
"International Journal of Hygiene and Environmental Health","14384639","10024","Formerly known as Zentralblatt für Hygiene und Umweltmedizin"
"International Journal of Impact Engineering","0734743X","00700",
"International Journal of Industrial Ergonomics","01698141","05284",
"International Journal of Industrial Organization","01677187","05379",
"International Journal of Infectious Diseases","12019712","04292",
"International Journal of Information Management","02684012","03046","Formerly known as Social Science Information Studies"
"International Journal of Intercultural Relations","01471767","00535",
"International Journal of Law, Crime and Justice","17560616","12632","Formerly known as International Journal of the Sociology of Law"
"International Journal of Law and Psychiatry","01602527","00295",
"International Journal of Machine Tools and Manufacture","08906955","00264","Formerly known as International Journal of Machine Tool Design and Research"
"The International Journal of Management Education","14728117","17001",
"International Journal of Mass Spectrometry","13873806","05155","Formerly known as International Journal of Mass Spectrometry and Ion Processes"
"International Journal of Mechanical Sciences","00207403","00206",
"International Journal of Medical Informatics","13865056","08024","Formerly known as International Journal of Bio-Medical Computing"
"International Journal of Medical Microbiology","14384221","10025","Formerly known as Zentralblatt für Bakteriologie; Incorporating International Journal of Medical Microbiology Supplements"
"International Journal of Mineral Processing","03017516","05338",
"International Journal of Mining Science and Technology","20952686","08603","Formerly known as Mining Science and Technology (China)"
"International Journal of Multiphase Flow","03019322","00234",
"International Journal of Mycobacteriology","22125531","18002",
"International Journal of Non-Linear Mechanics","00207462","00299",
"International Journal of Nursing Studies","00207489","00266",
"International Journal of Obstetric Anesthesia","0959289X","12733",
"International Journal of Oral and Maxillofacial Surgery","09015027","12901","Formerly known as International Journal of Oral Surgery"
"International Journal of Orthopaedic and Trauma Nursing","18781241","12748","Formerly known as Journal of Orthopaedic Nursing"
"International Journal of Osteopathic Medicine","17460689","04081","Formerly known as Journal of Osteopathic Medicine"
"International Journal of Paleopathology","18799817","12931",
"International Journal for Parasitology","00207519","00353",
"International Journal for Parasitology: Drugs and Drug Resistance","22113207","12969",
"International Journal for Parasitology: Parasites and Wildlife","22132244","10131",
"International Journal of Pediatric Otorhinolaryngology","01655876","08028",
"International Journal of Pediatric Otorhinolaryngology Extra","18714048","04243",
"International Journal of Pharmaceutics","03785173","05049",
"International Journal of Plasticity","07496419","00762",
"International Journal of Pressure Vessels and Piping","03080161","02031",
"International Journal of Production Economics","09255273","05380","Formerly known as Engineering Costs and Production Economics"
"International Journal of Project Management","02637863","03047",
"International Journal of Psychophysiology","01678760","05050",
"International Journal of Radiation Oncology*Biology*Physics","03603016","07551",
"International Journal of Refractory Metals and Hard Materials","02634368","02128",
"International Journal of Refrigeration","01407007","03048",
"International Journal of Research in Marketing","01678116","05381",
"International Journal of Rock Mechanics and Mining Sciences","13651609","00256","Formerly known as International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts"
"International Journal of Sediment Research","10016279","08648",
"International Journal of Solids and Structures","00207683","00297",
"The International Journal of Spine Surgery","22114599","13449","Formerly known as SAS journal"
"International Journal of Surgery","17439191","05620","Formerly known as The Journal of Surgery"
"International Journal of Surgery Case Reports","22102612","12885",
"International Journal of Sustainable Built Environment","22126090","18001",
"International Journal of Thermal Sciences","12900729","09063","Formerly known as Revue Générale de Thermique"
"International Medical Review on Down Syndrome","21719748","15788",
"International Orthodontics","17617227","15544",
"International Review of Economics & Finance","10590560","07415",
"International Review of Financial Analysis","10575219","07416",
"International Review of Law and Economics","01448188","07673",
"The Internet and Higher Education","10967516","07447",
"Interventional Cardiology Clinics","22117458","14109",
"Investigaciones Europeas de Dirección y Economía de la Empresa","11352523","15976",
"Investigaciones de Historia Económica - Economic History Research","16986989","15958",
"IRBM","19590318","09057","Formerly known as ITBM-RBM"
"IRBM News","19597568","09056","Formerly known as ITBM-RBM News"
"ISA Transactions","00190578","05382",
"ISPRS Journal of Photogrammetry and Remote Sensing","09242716","05340","Formerly known as Photogrammetria"
"JACC: Cardiovascular Imaging","1936878X","07811",
"JACC: Cardiovascular Interventions","19368798","07812",
"Japan and the World Economy","09221425","05383",
"Japanese Dental Science Review","18827616","12765",
"Joint Bone Spine","1297319X","09089",
"The Journal of Academic Librarianship","00991333","07418",
"Journal of the Academy of Nutrition and Dietetics","22122672","13340","Formerly known as Journal of the American Dietetic Association"
"Journal of Accounting and Economics","01654101","05384",
"Journal of Accounting Education","07485751","00840",
