PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA165108216	Toxoplasma encephalitis	"Cerebral toxoplasmosis","TE - Toxoplasma encephalitis","Toxoplasma meningoencephalitis","Toxoplasmosis encephalitis","Toxoplasmosis of brain",		MeSH:D016781(Toxoplasmosis, Cerebral),MedDRA:10057854(Cerebral toxoplasmosis),NDFRT:N0000003484(Toxoplasmosis, Cerebral [Disease/Finding]),SnoMedCT:192701001(Toxoplasma encephalitis),UMLS:C0085315(C0085315)
PA165108217	Water intoxication syndrome	"Water intoxication",		MeSH:D014869(Water Intoxication),MedDRA:10047837(Water intoxication),NDFRT:N0000003153(Water Intoxication [Disease/Finding]),SnoMedCT:71785001(Water intoxication syndrome),UMLS:C0043049(C0043049)
PA165108218	Tuberculoma of brain			MeSH:D016862(Tuberculoma, Intracranial),MedDRA:10044731(Tuberculoma of brain),NDFRT:N0000003487(Tuberculoma, Intracranial [Disease/Finding]),SnoMedCT:416265003(Tuberculoma of brain),UMLS:C0085388(C0085388)
PA165108219	Pityriasis versicolor			MeSH:D014010(Tinea Versicolor),MedDRA:10035117(Pityriasis versicolor),NDFRT:N0000002960(Tinea Versicolor [Disease/Finding]),SnoMedCT:56454009(Pityriasis versicolor),UMLS:C0040262(C0040262)
PA165108220	Avian reticuloendotheliosis			MeSH:D055761(Reticuloendotheliosis, Avian),SnoMedCT:41082000(Avian reticuloendotheliosis),UMLS:C0276487(C0276487)
PA165108221	Borderline personality disorder			MeSH:D001883(Borderline Personality Disorder),MedDRA:10006033(Borderline personality),NDFRT:N0000000593(Borderline Personality Disorder [Disease/Finding]),SnoMedCT:20010003(Borderline personality disorder),UMLS:C0006012(C0006012)
PA165108222	Diaper rash	"Diaper dermatitis","Irritant napkin dermatitis","Jacquet's dermatitis","Urine-induced contact dermatitis",		MeSH:D003963(Diaper Rash),MedDRA:10012444(Dermatitis diaper),NDFRT:N0000000960(Diaper Rash [Disease/Finding]),SnoMedCT:91487003(Diaper rash),UMLS:C0011974(C0011974)
PA165108223	Post poliomyelitis syndrome	"Postpolio muscular atrophy","Postpolio syndrome",		MeSH:D016262(Postpoliomyelitis Syndrome),MedDRA:10036239(Post polio syndrome),NDFRT:N0000003388(Postpoliomyelitis Syndrome [Disease/Finding]),SnoMedCT:31097004(Post poliomyelitis syndrome),UMLS:C0080040(C0080040)
PA165108224	Wandering spleen	"Lien migrans","Lien mobilis",		MeSH:D050805(Wandering Spleen),NDFRT:N0000171664(Wandering Spleen [Disease/Finding]),SnoMedCT:191384005(Wandering spleen),UMLS:C0272414(C0272414)
PA165108225	Disturbance of conduct NOS			MeSH:D019955(Conduct Disorder),MedDRA:10064288(Conduct behavior disorder),NDFRT:N0000003968(Conduct Disorder [Disease/Finding]),SnoMedCT:192106002(Disturbance of conduct NOS),UMLS:C0149654(C0149654)
PA165108226	Spinal stenosis of unspecified region			MeSH:D013130(Spinal Stenosis),MedDRA:10041596(Spinal stenosis NOS),NDFRT:N0000002801(Spinal Stenosis [Disease/Finding]),SnoMedCT:202781001(Spinal stenosis of unspecified region),UMLS:C0037944(C0037944)
PA165108227	Juvenile chronic myeloid leukaemia	"JCML - Juvenile chronic myeloid leukaemia","JCML - Juvenile chronic myeloid leukemia","Juvenile chronic myeloid leukemia",		MeSH:D054429(Leukemia, Myelomonocytic, Juvenile),MedDRA:10023248(Juvenile chronic myeloid leukaemia),NDFRT:N0000181135(Leukemia, Myelomonocytic, Juvenile [Disease/Finding]),SnoMedCT:277587001(Juvenile chronic myeloid leukaemia),UMLS:C0349639(C0349639)
PA165108228	Trigeminal neuralgia NOS			MeSH:D014277(Trigeminal Neuralgia),MedDRA:10029227(Neuralgia trigeminal),NDFRT:N0000003018(Trigeminal Neuralgia [Disease/Finding]),SnoMedCT:193090007(Trigeminal neuralgia NOS),UMLS:C0040997(C0040997)
PA165108229	Purulent conjunctivitis	"Mucopurulent conjunctivitis",		MeSH:D003234(Conjunctivitis, Bacterial),MedDRA:10061784(Conjunctivitis bacterial),NDFRT:N0000000836(Conjunctivitis, Bacterial [Disease/Finding]),SnoMedCT:243321006(Purulent conjunctivitis),UMLS:C0009768(C0009768)
PA165108230	Hemorrhagic nephroso-nephritis	"Epidemic hemorrhagic fever","HFRS - Haemorrhagic fever with renal syndrome","HFRS - Hemorrhagic fever with renal syndrome","HNN - Haemorrhagic nephrosonephritis","HNN - Hemorrhagic nephrosonephritis","Haemorrhagic fever with renal syndrome","Haemorrhagic nephrosonephritis","Hantaan virus nephropathy","Hemorrhagic fever with renal syndrome","Hemorrhagic nephrosonephritis","KHF - Korean haemorrhagic fever","KHF - Korean hemorrhagic fever","Korean hemorrhagic fever","MVN - Muroid virus nephropathy","Muroid virus nephropathy","Russian haemorrhagic fever","Russian hemorrhagic fever",		MeSH:D006480(Hemorrhagic Fever with Renal Syndrome),MedDRA:10019015(Haemorrhagic nephrosonephritis),NDFRT:N0000001489(Hemorrhagic Fever with Renal Syndrome [Disease/Finding]),SnoMedCT:102455002(Hemorrhagic nephroso-nephritis),UMLS:C0019101(C0019101)
PA165108231	Seborrhea NOS			MeSH:D012628(Dermatitis, Seborrheic),MedDRA:10012488(Dermatitis seborrheic),NDFRT:N0000002712(Dermatitis, Seborrheic [Disease/Finding]),SnoMedCT:201241009(Seborrhea NOS),UMLS:C0036508(C0036508)
PA165108232	Shell shock			MeSH:D013313(Stress Disorders, Post-Traumatic),MedDRA:10004184(Battle fatigue),NDFRT:N0000002839(Stress Disorders, Post-Traumatic [Disease/Finding]),SnoMedCT:279611005(Shell shock),UMLS:C0038436(C0038436)
PA165108233	Carbuncle NOS			MeSH:D002270(Carbuncle),MedDRA:10007247(Carbuncle),NDFRT:N0000000661(Carbuncle [Disease/Finding]),SnoMedCT:200602006(Carbuncle NOS),UMLS:C0007078(C0007078)
PA165108234	Toxic effect of carbon tetrachloride	"Carbon tetrachloride causing toxic effect",		MeSH:D002252(Carbon Tetrachloride Poisoning),MedDRA:10044158(Toxic effect of carbon tetrachloride),NDFRT:N0000000660(Carbon Tetrachloride Poisoning [Disease/Finding]),SnoMedCT:16464001(Toxic effect of carbon tetrachloride),UMLS:C0392622(C0392622)
PA165108235	Bancroftian elephantiasis	"Bancroftian filarial chyluria","Lymphangitis due to Wuchereria bancrofti","Lymphoedema due to filariasis",		MeSH:D004605(Elephantiasis, Filarial),MedDRA:10016675(Filariasis lymphatic),NDFRT:N0000001063(Elephantiasis, Filarial [Disease/Finding]),SnoMedCT:91586009(Bancroftian elephantiasis),UMLS:C0013884(C0013884)
PA165108236	Disease of larynx unspecified			MeSH:D007818(Laryngeal Diseases),MedDRA:10061263(Laryngeal disorder),NDFRT:N0000001782(Laryngeal Diseases [Disease/Finding]),SnoMedCT:195863001(Disease of larynx unspecified),UMLS:C0023051(C0023051)
PA165108237	Hypertensive lower oesophageal sphincter			MeSH:D004931(Esophageal Achalasia),MedDRA:10000421(Achalasia and cardiospasm),NDFRT:N0000001155(Esophageal Achalasia [Disease/Finding]),SnoMedCT:235630008(Hypertensive lower oesophageal sphincter),UMLS:C0014848(C0014848)
PA165108238	Disorders of cervix NOS			MeSH:D002577(Uterine Cervical Diseases),MedDRA:10008261(Cervical disorder NOS),NDFRT:N0000171653(Uterine Cervical Diseases [Disease/Finding]),SnoMedCT:286988004(Disorders of cervix NOS),UMLS:C0007867(C0007867)
PA165108239	Black water fever	"Hemoglobinuric fever",		MeSH:D001742(Blackwater Fever),MedDRA:10004984(Blackwater fever),NDFRT:N0000000558(Blackwater Fever [Disease/Finding]),SnoMedCT:56625005(Black water fever),UMLS:C0005681(C0005681)
PA165108240	Male hematocele	"Vaginal hematocele",		MeSH:D006398(Hematocele),NDFRT:N0000001457(Hematocele [Disease/Finding]),SnoMedCT:66259004(Male hematocele),UMLS:C0018931(C0018931)
PA165108241	Infection by Strongylus equinus			MeSH:D013319(Strongyle Infections, Equine),NDFRT:N0000002840(Strongyle Infections, Equine [Disease/Finding]),SnoMedCT:67509002(Infection by Strongylus equinus),UMLS:C0038459(C0038459)
PA165108242	Infective diarrhoea	"Infective diarrhea",		MeSH:D004403(Dysentery),MedDRA:10055411(Diarrhea infectious),NDFRT:N0000001016(Dysentery [Disease/Finding]),SnoMedCT:236076004(Infective diarrhoea),UMLS:C0013369(C0013369)
PA165108243	X-linked severe combined immunodeficiency	"SCID - X-linked severe combined immunodeficiency","X-linked lymphopaenic agammaglobulinaemia","X-linked lymphopenic agammaglobulinemia","XSCID - X-linked severe combined immunodeficiency",		MeSH:D053632(X-Linked Combined Immunodeficiency Diseases),NDFRT:N0000181205(X-Linked Combined Immunodeficiency Diseases [Disease/Finding]),SnoMedCT:203592006(X-linked severe combined immunodeficiency),UMLS:C1279481(C1279481)
PA165108244	Unspecified peptic ulcer with perforation			MeSH:D010439(Peptic Ulcer Perforation),MedDRA:10034353(Peptic ulcer perforated),NDFRT:N0000002353(Peptic Ulcer Perforation [Disease/Finding]),SnoMedCT:196700003(Unspecified peptic ulcer with perforation),UMLS:C0030925(C0030925)
PA165108245	Dizygotic twins	"Binovular twins","Fraternal twins",		MeSH:D014429(Twins, Dizygotic),SnoMedCT:237246007(Dizygotic twins),UMLS:C0041429(C0041429)
PA165108246	Thromboangiitis obliterans NOS			MeSH:D013919(Thromboangiitis Obliterans),MedDRA:10006538(Buerger's disease),NDFRT:N0000002930(Thromboangiitis Obliterans [Disease/Finding]),SnoMedCT:195300008(Thromboangiitis obliterans NOS),UMLS:C0040021(C0040021)
PA165108247	Enterobiasis	"Oxyuriasis",		MeSH:D017229(Enterobiasis),MedDRA:10014881(Enterobiasis),NDFRT:N0000003557(Enterobiasis [Disease/Finding]),SnoMedCT:266162007(Enterobiasis),UMLS:C0086227(C0086227)
PA165108248	Accretions on teeth NOS			MeSH:D003741(Dental Deposits),MedDRA:10000395(Accretions on teeth),NDFRT:N0000000920(Dental Deposits [Disease/Finding]),SnoMedCT:196370001(Accretions on teeth NOS),UMLS:C0011346(C0011346)
PA165108249	Solitary cutaneous mastocytoma	"Cutaneous mastocytoma","Solitary mastocytoma",		MeSH:D054705(Mastocytoma, Skin),NDFRT:N0000181133(Mastocytoma, Skin [Disease/Finding]),SnoMedCT:397013007(Solitary cutaneous mastocytoma),UMLS:C0343115(C0343115)
PA165108250	Oculodermal melanocytosis	"Naevus fuscocerulophthalmomaxillaris","Naevus of Ota","Nevus of Ota",		MeSH:D009507(Nevus of Ota),MedDRA:10051713(Ota's naevus),NDFRT:N0000002184(Nevus of Ota [Disease/Finding]),SnoMedCT:414929001(Oculodermal melanocytosis),UMLS:C0027961(C0027961)
PA165108251	Rheumatoid pneumoconiosis	"Caplan's syndrome",		MeSH:D002205(Caplan Syndrome),MedDRA:10065917(Caplan's syndrome),NDFRT:N0000000657(Caplan Syndrome [Disease/Finding]),SnoMedCT:398640008(Rheumatoid pneumoconiosis),UMLS:C0006915(C0006915)
PA165108252	Acute necrotizing pancreatitis	"Necrotizing pancreatitis",		MeSH:D019283(Pancreatitis, Acute Necrotizing),MedDRA:10056219(Necrotising pancreatitis),NDFRT:N0000003910(Pancreatitis, Acute Necrotizing [Disease/Finding]),SnoMedCT:7881005(Acute necrotizing pancreatitis),UMLS:C0267941(C0267941)
PA165108253	Unspecified abdominal cavity hernia NOS			MeSH:D046449(Hernia, Abdominal),MedDRA:10060954(Abdominal hernia),NDFRT:N0000011128(Hernia, Abdominal [Disease/Finding]),SnoMedCT:196973008(Unspecified abdominal cavity hernia NOS),UMLS:C0178282(C0178282)
PA165108254	Eaton-Lambert syndrome	"LEMS - Lambert-Eaton myasthenic syndrome","Lambert-Eaton myasthenic syndrome",		MeSH:D015624(Lambert-Eaton Myasthenic Syndrome),MedDRA:10014070(Eaton-Lambert syndrome),NDFRT:N0000003300(Lambert-Eaton Myasthenic Syndrome [Disease/Finding]),SnoMedCT:56989000(Eaton-Lambert syndrome),UMLS:C0022972(C0022972)
PA165108255	Idiopathic livedo reticularis with systemic involvement	"Sneddon's syndrome",		MeSH:D018860(Sneddon Syndrome),MedDRA:10053841(Sneddon's syndrome),NDFRT:N0000003866(Sneddon Syndrome [Disease/Finding]),SnoMedCT:238776001(Idiopathic livedo reticularis with systemic involvement),UMLS:C0282492(C0282492)
PA165108256	Phlebotomus fever NOS			MeSH:D010217(Phlebotomus Fever),MedDRA:10034905(Phlebotomus fever),NDFRT:N0000002297(Phlebotomus Fever [Disease/Finding]),SnoMedCT:186606001(Phlebotomus fever NOS),UMLS:C0030372(C0030372)
PA165108257	Autonomic dysreflexia	"Dysreflexia",		MeSH:D020211(Autonomic Dysreflexia),MedDRA:10068196(Autonomic dysreflexia),NDFRT:N0000004049(Autonomic Dysreflexia [Disease/Finding]),SnoMedCT:129618003(Autonomic dysreflexia),UMLS:C0238015(C0238015)
PA165108258	Vasoactive intestinal peptide-secreting tumour	"VIP-oma - Vasoactive intestinal peptide-secreting tumor",		MeSH:D003969(Vipoma),MedDRA:10047430(Vipoma),NDFRT:N0000000965(Vipoma [Disease/Finding]),SnoMedCT:253005002(Vasoactive intestinal peptide-secreting tumour),UMLS:C0011993(C0011993)
PA165108259	Plexiform neurofibroma			MeSH:D018318(Neurofibroma, Plexiform),MedDRA:10065866(Plexiform neurofibroma),NDFRT:N0000003780(Neurofibroma, Plexiform [Disease/Finding]),SnoMedCT:403818001(Plexiform neurofibroma),UMLS:C0206728(C0206728)
PA165108260	Vertebral artery dissection			MeSH:D020217(Vertebral Artery Dissection),NDFRT:N0000004054(Vertebral Artery Dissection [Disease/Finding]),SnoMedCT:230730001(Vertebral artery dissection),UMLS:C0338586(C0338586)
PA165108261	Eisenmenger's defect			MeSH:D004541(Eisenmenger Complex),MedDRA:10058554(Eisenmenger's syndrome),NDFRT:N0000001060(Eisenmenger Complex [Disease/Finding]),SnoMedCT:83130006(Eisenmenger's defect),UMLS:C0013743(C0013743)
PA165108262	Atrioventricular block unspecified			MeSH:D054537(Atrioventricular Block),MedDRA:10003671(Atrioventricular block),NDFRT:N0000181014(Atrioventricular Block [Disease/Finding]),SnoMedCT:195040005(Atrioventricular block unspecified),UMLS:C0004245(C0004245)
PA165108263	Infectious canine hepatitis	"ICH",		MeSH:D006522(Hepatitis, Infectious Canine),NDFRT:N0000001505(Hepatitis, Infectious Canine [Disease/Finding]),SnoMedCT:757007(Infectious canine hepatitis),UMLS:C0019191(C0019191)
PA165108264	Postgastric surgery syndrome NOS			MeSH:D011178(Postgastrectomy Syndromes),MedDRA:10036255(Post gastrectomy syndrome),NDFRT:N0000002465(Postgastrectomy Syndromes [Disease/Finding]),SnoMedCT:197129004(Postgastric surgery syndrome NOS),UMLS:C0032763(C0032763)
PA165108265	Rhinoscleroma			MeSH:D012226(Rhinoscleroma),MedDRA:10039102(Rhinoscleroma),NDFRT:N0000002639(Rhinoscleroma [Disease/Finding]),SnoMedCT:72409005(Rhinoscleroma),UMLS:C0035468(C0035468)
PA165108266	Fallot's triad			MeSH:D014286(Trilogy of Fallot),MedDRA:10064011(Fallot's trilogy),NDFRT:N0000003019(Trilogy of Fallot [Disease/Finding]),SnoMedCT:43395008(Fallot's triad),UMLS:C0041022(C0041022)
PA165108267	Hemosiderosis NOS	"Haemosiderosis NOS",		MeSH:D006486(Hemosiderosis),MedDRA:10019024(Haemosiderosis),NDFRT:N0000001494(Hemosiderosis [Disease/Finding]),SnoMedCT:190849009(Hemosiderosis NOS),UMLS:C0019114(C0019114)
PA165108268	Ankylosis of tooth			MeSH:D020254(Tooth Ankylosis),MedDRA:10002574(Ankylosis of teeth),NDFRT:N0000004077(Tooth Ankylosis [Disease/Finding]),SnoMedCT:14901003(Ankylosis of tooth),UMLS:C0155930(C0155930)
PA165108269	Marchiafava-Bignami disease	"Central demyelination of corpus callosum","Marchiafava disease",		MeSH:D054319(Marchiafava-Bignami Disease),MedDRA:10026828(Marchiafava-Bignami disease),NDFRT:N0000181072(Marchiafava-Bignami Disease [Disease/Finding]),SnoMedCT:386766007(Marchiafava-Bignami disease),UMLS:C0238265(C0238265)
PA165108270	Bacillary angiomatosis			MeSH:D016917(Angiomatosis, Bacillary),MedDRA:10002463(Angiomatosis bacillary),NDFRT:N0000003509(Angiomatosis, Bacillary [Disease/Finding]),SnoMedCT:58213005(Bacillary angiomatosis),UMLS:C0085434(C0085434)
PA165108271	Lumpy skin disease			MeSH:D008166(Lumpy Skin Disease),NDFRT:N0000001877(Lumpy Skin Disease [Disease/Finding]),SnoMedCT:91075003(Lumpy skin disease),UMLS:C0024106(C0024106)
PA165108272	Papulosquamous dermatosis	"Papulosquamous dermatosis, NOS",		MeSH:D017444(Skin Diseases, Papulosquamous),NDFRT:N0000003577(Skin Diseases, Papulosquamous [Disease/Finding]),SnoMedCT:22585003(Papulosquamous dermatosis),UMLS:C0162818(C0162818)
PA165108273	Delayed recovery from anaesthesia	"Delayed recovery from anesthesia",		MeSH:D055191(Delayed Emergence from Anesthesia),MedDRA:10012206(Delayed recovery from anaesthesia),NDFRT:N0000181157(Delayed Emergence from Anesthesia [Disease/Finding]),SnoMedCT:16629000(Delayed recovery from anaesthesia),UMLS:C0520757(C0520757)
PA165108274	Acute stress reaction NOS			MeSH:D040701(Stress Disorders, Traumatic, Acute),MedDRA:10001039(Acute reaction to stress),NDFRT:N0000011158(Stress Disorders, Traumatic, Acute [Disease/Finding]),SnoMedCT:268657003(Acute stress reaction NOS),UMLS:C0236816(C0236816)
PA165108275	Stenosing tenosynovitis			MeSH:D053682(Tendon Entrapment),NDFRT:N0000181058(Tendon Entrapment [Disease/Finding]),SnoMedCT:66452006(Stenosing tenosynovitis),UMLS:C0158329(C0158329)
PA165108276	Malignant myopia			MeSH:D047728(Myopia, Degenerative),MedDRA:10051455(Malignant myopia),NDFRT:N0000011062(Myopia, Degenerative [Disease/Finding]),SnoMedCT:193276002(Malignant myopia),UMLS:C0154778(C0154778)
PA165108277	Spirochetal infection NOS	"Spirochaetal infection NOS",		MeSH:D013145(Spirochaetales Infections),MedDRA:10061370(Spirochaetal infection),NDFRT:N0000002803(Spirochaetales Infections [Disease/Finding]),SnoMedCT:186983009(Spirochetal infection NOS),UMLS:C0037974(C0037974)
PA165108278	Extremely low birth weight infant	"ELBW - Extremely low birth weight infant",		MeSH:D052577(Infant, Extremely Low Birth Weight),SnoMedCT:276612004(Extremely low birth weight infant),UMLS:C0456065(C0456065)
PA165108279	Pharyngeal disease unspecified			MeSH:D010608(Pharyngeal Diseases),MedDRA:10067353(Pharyngeal disorder),NDFRT:N0000002385(Pharyngeal Diseases [Disease/Finding]),SnoMedCT:195832000(Pharyngeal disease unspecified),UMLS:C0031345(C0031345)
PA165108280	Afterimage			MeSH:D000360(Afterimage),MedDRA:10001463(After images),SnoMedCT:421705002(Afterimage),UMLS:C0001762(C0001762)
PA165108283	Disappearing bone disease			MeSH:D010015(Osteolysis, Essential),NDFRT:N0000002252(Osteolysis, Essential [Disease/Finding]),SnoMedCT:240161003(Disappearing bone disease),UMLS:C0029436(C0029436)
PA165108284	Psychogenic syndromes NOS			MeSH:D013001(Somatoform Disorders),MedDRA:10037191(Psychogenic disorder NOS),NDFRT:N0000002781(Somatoform Disorders [Disease/Finding]),SnoMedCT:192035008(Psychogenic syndromes NOS),UMLS:C0037650(C0037650)
PA165108285	Normal pressure hydrocephalus	"Low pressure hydrocephalus",		MeSH:D006850(Hydrocephalus, Normal Pressure),MedDRA:10029773(Normal pressure hydrocephalus),NDFRT:N0000001567(Hydrocephalus, Normal Pressure [Disease/Finding]),SnoMedCT:30753002(Normal pressure hydrocephalus),UMLS:C0020258(C0020258)
PA165108286	Disturbance of amino acid transport or metabolism NOS			MeSH:D000592(Amino Acid Metabolism, Inborn Errors),MedDRA:10001938(Amino acid metabolism disorder),NDFRT:N0000000369(Amino Acid Metabolism, Inborn Errors [Disease/Finding]),SnoMedCT:190740001(Disturbance of amino acid transport or metabolism NOS),UMLS:C0002514(C0002514)
PA165108287	Papillon-Lef̬vre syndrome	"Juvenile periodontosis with hyperkeratosis","Papillon-Lefevre syndrome",		MeSH:D010214(Papillon-Lefevre Disease),NDFRT:N0000002296(Papillon-Lefevre Disease [Disease/Finding]),SnoMedCT:40158001(Munchausen's syndrome),UMLS:C0030360(C0030360)
PA165108288	Unspecified paranoid schizophrenia			MeSH:D012563(Schizophrenia, Paranoid),MedDRA:10033872(Paranoid schizophrenia),NDFRT:N0000002694(Schizophrenia, Paranoid [Disease/Finding]),SnoMedCT:191551006(Unspecified paranoid schizophrenia),UMLS:C0036349(C0036349)
PA165108289	Adenolymphoma			MeSH:D000235(Adenolymphoma),NDFRT:N0000000309(Adenolymphoma [Disease/Finding]),SnoMedCT:422470007(Adenolymphoma),UMLS:C0001429(C0001429)
PA165108290	Short bowel syndrome	"Acquired short bowel syndrome","Post-resection malabsorption","SBS - Short bowel syndrome","SGS - Short gut syndrome","Short gut syndrome","Short intestine syndrome",		MeSH:D012778(Short Bowel Syndrome),MedDRA:10049416(Short-bowel syndrome),NDFRT:N0000002734(Short Bowel Syndrome [Disease/Finding]),SnoMedCT:26629001(Short bowel syndrome),UMLS:C0036992(C0036992)
PA165108291	Suntan			MeSH:D055107(Suntan),SnoMedCT:238516007(Suntan),UMLS:C0406208(C0406208)
PA165108292	Pruritus ani	"Anal itch",		MeSH:D011538(Pruritus Ani),MedDRA:10068172(Anal pruritus),NDFRT:N0000002513(Pruritus Ani [Disease/Finding]),SnoMedCT:90446007(Pruritus ani),UMLS:C0033775(C0033775)
PA165108293	Induratio penis plastica	"Fibrous cavernositis","Penile fibromatosis","Peyronie's disease","Plastic induration of penis",		MeSH:D010411(Penile Induration),MedDRA:10053606(Fibrous cavernitis),NDFRT:N0000002349(Penile Induration [Disease/Finding]),SnoMedCT:1335005(Induratio penis plastica),UMLS:C0030848(C0030848)
PA165108294	Pinealoma			MeSH:D010871(Pinealoma),MedDRA:10061348(Pineal neoplasm),NDFRT:N0000002404(Pinealoma [Disease/Finding]),SnoMedCT:359619007(Pinealoma),UMLS:C0031941(C0031941)
PA165108295	Stokes-Adams attack			MeSH:D000219(Adams-Stokes Syndrome),MedDRA:10001112(Adam-Stokes syndrome),NDFRT:N0000000304(Adams-Stokes Syndrome [Disease/Finding]),SnoMedCT:271547004(Stokes-Adams attack),UMLS:C0001396(C0001396)
PA165108296	Progressive cerebellar tremor	"Ramsay Hunt's syndrome 2",		MeSH:D002527(Myoclonic Cerebellar Dyssynergia),NDFRT:N0000000713(Myoclonic Cerebellar Dyssynergia [Disease/Finding]),SnoMedCT:41009006(Progressive cerebellar tremor),UMLS:C0007761(C0007761)
PA165108297	Tailor's bunion	"Tailors bunion",		MeSH:D050489(Bunion, Tailor's),NDFRT:N0000171624(Bunion, Tailor's [Disease/Finding]),SnoMedCT:7951001(Tailor's bunion),UMLS:C0263957(C0263957)
PA165108298	Unspecified dacryocystitis			MeSH:D003607(Dacryocystitis),MedDRA:10011844(Dacryocystitis),NDFRT:N0000000898(Dacryocystitis [Disease/Finding]),SnoMedCT:193987003(Unspecified dacryocystitis),UMLS:C0010930(C0010930)
PA165108299	Unspecified optic neuritis			MeSH:D009902(Optic Neuritis),MedDRA:10029247(Neuritis optic),NDFRT:N0000002228(Optic Neuritis [Disease/Finding]),SnoMedCT:194052008(Unspecified optic neuritis),UMLS:C0029134(C0029134)
PA165108300	Oral mucosa leukoplakia NOS	"Oral mucosa leucoplakia NOS",		MeSH:D007972(Leukoplakia, Oral),MedDRA:10052579(Leukoplakia buccalis),NDFRT:N0000001840(Leukoplakia, Oral [Disease/Finding]),SnoMedCT:196570002(Oral mucosa leukoplakia NOS),UMLS:C0023532(C0023532)
PA165108301	Avian influenza	"Avian flu","Fowl plague",		MeSH:D005585(Influenza in Birds),MedDRA:10064097(Avian influenza),NDFRT:N0000171617(Influenza in Birds [Disease/Finding]),SnoMedCT:55604004(Avian influenza),UMLS:C0016627(C0016627)
PA165108302	Pulmonary alveolar proteinosis	"Alveolar proteinosis","PAP - Pulmonary alveolar proteinosis",		MeSH:D011649(Pulmonary Alveolar Proteinosis),MedDRA:10001881(Alveolar proteinosis),NDFRT:N0000002539(Pulmonary Alveolar Proteinosis [Disease/Finding]),SnoMedCT:10501004(Pulmonary alveolar proteinosis),UMLS:C0034050(C0034050)
PA165108303	Lipomatosis dolorosa	"Adiposis dolorosa","Neurolipomatosis",		MeSH:D000274(Adiposis Dolorosa),MedDRA:10001294(Adiposis dolorosa),NDFRT:N0000000318(Adiposis Dolorosa [Disease/Finding]),SnoMedCT:71404003(Lipomatosis dolorosa),UMLS:C0001529(C0001529)
PA165108304	Embolism and thrombosis NOS			MeSH:D016769(Embolism and Thrombosis),MedDRA:10014523(Embolism and thrombosis),NDFRT:N0000003473(Embolism and Thrombosis [Disease/Finding]),SnoMedCT:195440003(Embolism and thrombosis NOS),UMLS:C0085307(C0085307)
PA165108305	Tularemia NOS			MeSH:D014406(Tularemia),MedDRA:10017330(Francisella tularensis infection),NDFRT:N0000003055(Tularemia [Disease/Finding]),SnoMedCT:186300002(Tularemia NOS),UMLS:C0041351(C0041351)
PA165108306	Traumatic facial neuropathy			MeSH:D020220(Facial Nerve Injuries),MedDRA:10022190(Injury to facial nerve),NDFRT:N0000004055(Facial Nerve Injuries [Disease/Finding]),SnoMedCT:230544009(Traumatic facial neuropathy),UMLS:C0161408(C0161408)
PA165108307	California serogroup virus neuroinvasive disease	"California encephalitis",		MeSH:D004670(Encephalitis, California),MedDRA:10007032(California encephalitis),NDFRT:N0000001077(Encephalitis, California [Disease/Finding]),SnoMedCT:418531007(California serogroup virus neuroinvasive disease),UMLS:C0014053(C0014053)
PA165108308	Temporomandibular joint-pain-dysfunction syndrome	"Costen's complex","Costen's syndrome","Mandibular dysfunction","Myofascial pain - dysfunction syndrome of TMJ","Snapping jaw","TMJ syndrome","TMJPDS - Temporomandibular joint pain dysfunction syndrome",		MeSH:D013706(Temporomandibular Joint Dysfunction Syndrome),MedDRA:10043206(Tempo mandibular joint dysfunc),NDFRT:N0000002906(Temporomandibular Joint Dysfunction Syndrome [Disease/Finding]),SnoMedCT:386207004(Temporomandibular joint-pain-dysfunction syndrome),UMLS:C0039496(C0039496)
PA165108309	Total great vessel transposition			MeSH:D014188(Transposition of Great Vessels),MedDRA:10002880(Aorta-pulmonary art transposition),NDFRT:N0000003001(Transposition of Great Vessels [Disease/Finding]),SnoMedCT:204297006(Total great vessel transposition),UMLS:C0040761(C0040761)
PA165108310	Dermatitis medicamentosa			MeSH:D003875(Drug Eruptions),MedDRA:10012474(Dermatitis medicamentosa),NDFRT:N0000000942(Drug Eruptions [Disease/Finding]),SnoMedCT:275447008(Dermatitis medicamentosa),UMLS:C0011609(C0011609)
PA165108311	Great vessel transposition NOS			MeSH:D014188(Transposition of Great Vessels),MedDRA:10002880(Aorta-pulmonary art transposition),NDFRT:N0000003001(Transposition of Great Vessels [Disease/Finding]),SnoMedCT:268176002(Great vessel transposition NOS),UMLS:C0040761(C0040761)
PA165108312	Niemann-Pick disease, type A			MeSH:D052536(Niemann-Pick Disease, Type A),NDFRT:N0000181096(Niemann-Pick Disease, Type A [Disease/Finding]),SnoMedCT:52165006(Niemann-Pick disease, type A),UMLS:C0268242(C0268242)
PA165108313	Disorder of sexual differentiation			MeSH:D012734(Sex Differentiation Disorders),NDFRT:N0000002722(Disorders of Sex Development [Disease/Finding]),SnoMedCT:39179006(Disorder of sexual differentiation),UMLS:C0036875(C0036875)
PA165108314	Yellow fever unspecified			MeSH:D015004(Yellow Fever),MedDRA:10046248(Unspecified yellow fever),NDFRT:N0000003182(Yellow Fever [Disease/Finding]),SnoMedCT:186587002(Yellow fever unspecified),UMLS:C0043395(C0043395)
