object	size
journalBytes:Scandinavian Journal of Food &#x0026; Nutrition	671610
journalFiles:Journal of Bioethical Inquiry	10
journalBytes:Diabetic Medicine 	423690
journalBytes:BMC Pharmacology & Toxicology	1772315
journalFiles:Tropical Doctor	2
pmidCount_1968	875
journalBytes:ACS Chemical Biology	2977560
journalFiles:Public Health Ethics	10
journalBytes:Journal of Fish Diseases	106973
journalBytes:Cardiovascular Psychiatry and Neurology	2837185
journalBytes:mAbs	1274770
journalFiles:Expert Reviews in Molecular Medicine	14
journalBytes:Labour Economics	47783
journalFiles:Indian Journal of Psychological Medicine	174
journalBytes:Solid-State Electronics	98129
journalBytes:BioMed Research International	11178303
journalFiles:Journal of Economic Behavior & Organization	1
journalFiles:Gastroenterology Research and Practice	384
journalBytes:Paediatrics and International Child Health	170044
journalBytes:Osteoarthritis and Cartilage	372438
journalBytes:Virology Journal	101573901
journalFiles:Cancer gene therapy	50
journalBytes:Cytotherapy	394203
journalBytes:Helicobacter	249974
journalFiles:Molecular Neurodegeneration	575
journalBytes:The Open Microbiology Journal	3278661
journalBytes:Current Cardiology Reports	381805
journalFiles:Organic & Biomolecular Chemistry	16
journalBytes:Health Economics Review	2168645
journalBytes:Kidney international	657646
journalFiles:Bulletin of Environmental Contamination and Toxicology	37
journalBytes:Journal of Cellular and Molecular Medicine	528771
journalBytes:Clinical Neurophysiology	412314
journalBytes:Demography	305692
journalBytes:Neuropsychiatric Disease and Treatment	27987131
journalBytes:Virchows Archiv	3112358
journalBytes:Pharmacogenomics and personalized medicine	1894943
journalBytes:Studies in Mycology	14081092
journalBytes:The Journal of Infection	110609
journalFiles:European Journal of Applied Physiology	74
journalFiles:Bioengineered Bugs	2
journalFiles:International Journal of Integrated Care	710
journalBytes:Journal of Vascular Research	40447
journalFiles:Biotechnology for Biofuels	379
journalBytes:Urological Research	246596
journalFiles:Autism Research and Treatment	52
journalFiles:European Journal of Cell Biology	8
journalFiles:Frontiers in Synaptic Neuroscience	70
journalBytes:The Journal of Biophysical and Biochemical Cytology	27426482
journalFiles:Theoretical Medicine and Bioethics	13
journalBytes:European Journal of Lipid Science and Technology	326707
journalFiles:Calcified Tissue International	54
journalFiles:Biological Psychiatry	83
journalBytes:International Review of Psychiatry (Abingdon, England)	130192
journalBytes:Leukemia & Lymphoma	383011
journalBytes:AIDS Research and Treatment	4889979
journalFiles:Clinics in Orthopedic Surgery	197
journalBytes:Bjog 	706543
journalBytes:Genes and Immunity	2048016
journalBytes:Fems Immunology and Medical Microbiology	600684
journalFiles:Radiation and Environmental Biophysics	21
journalFiles:Cellular &#x00026; Molecular Immunology	5
journalFiles:Proteome Science	993
journalBytes:The Open Nursing Journal	2737174
journalFiles:Cardiovascular Pathology	2
journalBytes:The Veterinary Record	438236
journalBytes:BMC Medical Research Methodology	50795553
journalFiles:Surgery Today	6
journalBytes:Frontiers in Neuroenergetics	2950243
articleCountWithAbstract_1915	110
articleCountWithAbstract_1916	102
articleCountWithAbstract_1917	115
articleCountWithAbstract_1910	37
articleCountWithAbstract_1911	71
articleCountWithAbstract_1912	93
articleCountWithAbstract_1913	94
articleCountWithAbstract_1918	120
articleCountWithAbstract_1919	127
journalFiles:Case Reports in Pulmonology	53
journalFiles:Histopathology	35
journalBytes:Neurobiology of Disease	413350
journalFiles:Cognitive Processing	15
journalBytes:Advances in Health Sciences Education	2035783
journalBytes:G3: Genes|Genomes|Genetics	15113585
journalBytes:Biomedical Imaging and Intervention Journal	5895457
journalFiles:Techniques in Coloproctology	27
journalFiles:International Journal of Proteomics	89
journalFiles:Sensors and Actuators. A, Physical	1
journalFiles:Journal of Organizational Behavior	1
journalFiles:Veterinary Immunology and Immunopathology	4
journalBytes:Genome Announcements	1339828
journalFiles:Neurology Research International	99
journalBytes:Evolutionary Applications	32090375
journalFiles:Journal of Occupational Rehabilitation	57
journalBytes:Depression Research and Treatment	5263695
journalFiles:Genes, Brain, and Behavior	57
journalBytes:Cholesterol	1472788
journalFiles:Journal of pain research	45
journalBytes:Journal of Trauma & Dissociation	49220
journalBytes:Health Expectations	182916
journalFiles:Journal of Reproductive and Infant Psychology	1
journalBytes:Journal of Veterinary Science	10351405
journalBytes:Journal of Catalysis	212575
journalBytes:Current Osteoporosis Reports	248184
journalFiles:Case Reports in Oncology	365
journalBytes:Saudi Journal of Anaesthesia	4683030
journalBytes:COPD	329576
journalFiles:The Journal of General Virology	273
journalBytes:Frontiers in Neuroinformatics	8353917
journalBytes:PLoS Pathogens	454699606
journalBytes:American Journal of Human Biology	90887
journalBytes:Heart Failure Reviews	1486949
journalFiles:Geochemical Transactions	130
journalFiles:Journal of Clinical Densitometry	1
journalFiles:The Lancet Infectious Diseases	36
journalBytes:Attention, Perception & Psychophysics	2033149
journalBytes:Iranian Journal of Microbiology	2680964
journalBytes:Helvetica Chimica Acta	21630
journalBytes:International Journal of Qualitative Studies on Health and Well-being	5048890
journalFiles:Community Dentistry and Oral Epidemiology	1
journalBytes:Prostate Cancer	3066316
journalFiles:International Journal of Women's Health	210
journalFiles:Acta Biotheoretica	7
journalFiles:Current Obstetrics and Gynecology Reports	1
journalBytes:Acta Biomaterialia	154899
journalBytes:Journal of Pediatric Psychology	152715
journalFiles:Journal of Surgical Oncology	1
journalFiles:Cancer management and research	29
journalFiles:Epidemiologic Perspectives & Innovations	18
journalFiles:Journal of Behavioral Medicine	18
journalBytes:Zoomorphology	326691
journalBytes:Journal of human hypertension	410415
journalBytes:Pharmacognosy Reviews	2544521
journalBytes:Anthropology & Medicine	193749
journalFiles:Radiology and Oncology	150
journalBytes:GMS Zeitschrift für Medizinische Ausbildung	2437464
journalBytes:Educational Psychologist	65917
journalFiles:Geochimica et Cosmochimica Acta	1
journalFiles:HIV Medicine	1
journalBytes:The American Journal of Tropical Medicine and Hygiene	5794625
journalBytes:International Journal of Pediatrics	8287524
journalFiles:Biochemical and Biophysical Research Communications	72
journalFiles:Renal Failure	5
journalFiles:Journal of Ophthalmic Inflammation and Infection	122
journalBytes:Clinical pharmacology : advances and applications	1268836
journalFiles:Journal of Molecular Histology	15
journalBytes:Journal of HIV/AIDS & Social Services	55294
journalFiles:Energy Policy	2
journalFiles:Journal of Complexity	1
journalFiles:Neurocritical Care	1
journalBytes:The Pharmacogenomics Journal	11043869
journalFiles:Pharmacognosy Reviews	73
journalFiles:Cancer Chemotherapy and Pharmacology	130
journalFiles:Critical Reviews in Food Science and Nutrition	20
journalBytes:Journal of Food Science and Technology	26734
articleTypeFiles:retraction	160
journalBytes:Vox Sanguinis	245585
journalFiles:Prostate Cancer and Prostatic Diseases	21
journalBytes:European Journal of Clinical Nutrition	1458170
journalFiles:Computer Aided Surgery	2
journalFiles:Plasmonics (Norwell, Mass.)	15
journalFiles:The Journal of Asthma	2
journalBytes:Current Medical Imaging Reviews	43800
journalBytes:Bipolar Disorders	101524
journalBytes:Ambio	1062651
journalFiles:International Journal of Antimicrobial Agents	3
journalFiles:Medical & Biological Engineering & Computing	67
journalFiles:Diabetes, Metabolic Syndrome and Obesity : Targets and Therapy	6
journalFiles:Italian Studies	1
journalFiles:Journal of Solid State Electrochemistry	1
journalFiles:Early Human Development	6
journalBytes:The Aging Male	65703
journalFiles:European Radiology	230
journalFiles:Pflugers Archiv 	59
journalBytes:Nature Communications	51065023
journalFiles:Peptides	6
journalBytes:Journal of Automated Methods &  Management in Chemistry	21697
journalBytes:Plant Cell Reports	1878781
journalFiles:European Journal of Population	25
journalBytes:Nature Nanotechnology	345128
journalBytes:Advances in Preventive Medicine	1963423
journalBytes:Journal of Environmental Psychology	139390
journalFiles:The Open Medical Informatics Journal	79
journalBytes:Small (Weinheim an Der Bergstrasse, Germany)	174454
journalBytes:Preventing Chronic Disease [Electronic Resource]	716396
journalFiles:Bacteriophage	46
journalFiles:Dalton Transactions (Cambridge, England : 2003)	3
journalBytes:Cell and Tissue Banking	809643
journalFiles:Free Radical Biology & Medicine	27
journalFiles:Journal of Digital Imaging	38
journalBytes:Journal of Amino Acids	2546263
journalFiles:Journal of Computational Chemistry	2
journalBytes:Toxicology International	2522984
journalBytes:International Journal of Solids and Structures	67350
journalBytes:The Journal of Clinical Endocrinology and Metabolism	1289893
journalFiles:Cellular Signalling	23
journalFiles:Current Genomics	324
journalBytes:Current Atherosclerosis Reports	894024
journalFiles:Journal of Pharmaceutical Health Services Research	1
journalBytes:Head & Neck	38120
journalFiles:Behavioral and brain functions : BBF	57
journalBytes:Monographs of the Society for Research in Child Development	338978
journalBytes:Journal of Colloid and Interface Science	146131
journalFiles:Journal of Molecular Neuroscience 	5
journalBytes:Advances in Pharmacological Sciences	2242936
journalFiles:Korean Diabetes Journal	62
journalFiles:Fetal and Pediatric Pathology	1
journalFiles:Acta Obstetricia et Gynecologica Scandinavica	6
journalBytes:Emergency Radiology	270206
journalBytes:PathoGenetics	915469
journalFiles:Asian Spine Journal	189
journalBytes:Mens Sana Monographs	4680360
journalBytes:Nutrition & Metabolism	26282767
journalBytes:BMC Evolutionary Biology	322123865
journalFiles:Journal of Advanced Pharmaceutical Technology & Research	150
journalBytes:Asia Pacific Viewpoint	73181
journalFiles:Journal of Oncology Pharmacy Practice	1
journalFiles:Nature genetics	555
journalFiles:Journal of Orthopaedic Science	74
journalBytes:Trends in Cell Biology	716574
journalBytes:BMC Pediatrics	30728962
journalBytes:Oncotarget	17391643
journalFiles:Best Practice & Research. Clinical Obstetrics & Gynaecology	2
journalBytes:Journal of Clinical Neurology (Seoul, Korea)	7045699
journalFiles:Physica D. Nonlinear Phenomena	1
journalBytes:Journal of Proteomics	7436125
journalFiles:Journal of Circadian Rhythms	110
journalFiles:Ocular Immunology and Inflammation	3
journalFiles:Journal of Dietary Supplements	1
journalFiles:BMC Medicine	1080
journalFiles:Immunity & Ageing : I & A	96
journalBytes:In Vitro Cellular & Developmental Biology. Animal	1022796
journalBytes:American Journal of Physiology - Lung Cellular and Molecular Physiology	497710
journalBytes:Environmental Microbiology Reports	257281
journalBytes:Behavioral and Brain Functions : BBF	14281087
journalFiles:Indian Journal of Nephrology	366
journalFiles:Chromosome Research	59
journalBytes:Crisis	97978
journalFiles:Journal of Community Genetics	16
journalBytes:Journal of Trauma Management and Outcomes	464899
journalBytes:Diabetologia	11513777
journalFiles:Carbohydrate Polymers	1
journalFiles:The Korean Journal of Pain	162
journalFiles:Journal of Cell Science	62
journalFiles:Society	4
journalBytes:Journal of Abnormal Psychology	487347
journalFiles:Pituitary	32
journalFiles:BMC Nuclear Medicine	26
journalBytes:Journal of Behavior Therapy and Experimental Psychiatry	498772
journalBytes:Frontiers in Neuroanatomy	13051521
journalFiles:Developmental Cell	99
journalFiles:Journal of Automated Methods & Management in Chemistry	20
journalBytes:Oral Diseases	59832
journalBytes:Journal of Drug Delivery	4377267
journalFiles:Thin Solid Films	3
journalFiles:Cell death and differentiation	115
journalBytes:Journal of Community Psychology	40280
journalBytes:American Journal of Physiology. Regulatory, Integrative and Comparative Physiology	52186
journalBytes:The Economic History Review	195225
journalBytes:Nephron Extra	1755845
journalFiles:Reviews in Endocrine & Metabolic Disorders	12
journalBytes:Case Reports in Genetics	724207
journalBytes:Small GTPases	575872
journalFiles:Iranian Journal of Public Health	327
journalFiles:Journal of Marriage and the Family	2
journalFiles:Journal of Tropical Pediatrics	1
journalFiles:Journal of Plant Growth Regulation	1
journalFiles:Journal of Assisted Reproduction and Genetics	31
journalFiles:Jpen. Journal of Parenteral and Enteral Nutrition	1
journalFiles:Science and Engineering Ethics	30
journalBytes:Nature structural &#x0026; molecular biology	23491652
journalFiles:Journal of Environmental Management	4
journalBytes:Saudi Journal of Gastroenterology : Official Journal of the Saudi Gastroenterology Association	7309024
journalBytes:Complementary Therapies in Clinical Practice	28912
journalFiles:Journal of Magnetic Resonance Imaging	4
journalBytes:Journal of Neuroscience Methods	1569691
journalFiles:Current HIV/AIDS Reports	11
journalBytes:International Journal of Therapeutic Massage & Bodywork	2812012
journalFiles:BMC Gastroenterology	1050
journalFiles:Oecologia	204
journalBytes:Annals of Medical and Health Sciences Research	1376661
journalFiles:Korean Journal of Orthodontics	54
journalBytes:History of the Human Sciences	138977
journalFiles:ISRN Dermatology	59
journalBytes:European Journal of Cardio-Thoracic Surgery : Official Journal of the European Association for Cardio-thoracic Surgery	101484
journalBytes:Journal of Immunoassay & Immunochemistry	65045
journalBytes:Frontiers in Behavioral Neuroscience	21290702
journalFiles:Health Economics Review	54
journalBytes:NDT Plus	863370
articleCount_1971	937
journalBytes:Archives of Dermatological Research	1548604
journalFiles:Asia Pacific Viewpoint	1
journalBytes:The Milbank Quarterly	469728
journalBytes:Food &#x0026; Nutrition Research	84042
journalBytes:Current Diabetes Reports	795598
journalBytes:Current Hypertension Reviews	122459
journalBytes:Journal of Tropical Medicine	5035511
journalFiles:The Milbank Quarterly	8
journalBytes:Current Gerontology and Geriatrics Research	4733487
journalBytes:Journal of Biomedical Discovery and Collaboration	2341663
journalBytes:Journal of Experimental Criminology	172516
journalBytes:Annals of Dyslexia	320846
articleCountWithAbstract_2000	3053
journalFiles:Integrative and Comparative Biology	17
journalBytes:Familial Cancer	1214575
journalBytes:Microelectronic Engineering	48369
journalFiles:Development (Cambridge, England)	109
journalFiles:Journal of Chiropractic Humanities	25
journalBytes:Aging (Albany NY)	20031500
journalBytes:Journal of Hematopathology	2258954
journalBytes:Cerebral Cortex (New York, NY)	14198393
journalBytes:The Plant Journal 	37602539
journalBytes:Mechanisms of Ageing and Development	269566
journalBytes:Environmental Toxicology and Chemistry / Setac	670554
journalBytes:Palliative Medicine	128084
articleTypeFiles:article-commentary	2482
journalFiles:Journal of Aerosol Science	2
journalBytes:Heredity	1384519
journalBytes:BMC Chemical Biology	2801983
journalFiles:Molecular Reproduction and Development	1
journalFiles:Environmental Science & Technology	152
journalFiles:Journal of Voice	2
journalBytes:Experimental Parasitology	422297
journalFiles:Current Allergy and Asthma Reports	17
journalBytes:Journal of Microbiological Methods	221519
journalFiles:Scientific Reports	2546
journalFiles:Journal of Korean Medical Science	3897
journalBytes:DNA Repair	522661
journalBytes:Journal of Research in Medical Sciences : The Official Journal of Isfahan University of Medical Sciences	8959936
journalBytes:Seminars in Pediatric Neurology	72958
journalFiles:Immunome Research	124
journalBytes:Ecography	91012
journalFiles:Prion	15
journalFiles:BMJ Quality & Safety in Health Care	3
journalFiles:European Psychiatry	2
journalBytes:Annals of Tropical Medicine and Parasitology	79743
journalFiles:GMS German Medical Science	171
journalBytes:Pediatric Radiology	2785903
articleCountWithAbstract_1972	604
articleCountWithAbstract_1973	702
articleCountWithAbstract_1970	550
journalBytes:Nutrition Journal	24092875
articleCountWithAbstract_1976	944
articleCountWithAbstract_1977	996
articleCountWithAbstract_1974	794
journalFiles:BMC Medical Education	942
articleCountWithAbstract_1978	1100
articleCountWithAbstract_1979	1003
journalBytes:Current Neurovascular Research	48656
journalFiles:Clinical Therapeutics	1
journalFiles:Nature nanotechnology	61
journalBytes:Frontiers in Human Neuroscience	52408124
journalFiles:Acta Diabetologica	13
journalBytes:Advances in Space Research	25036
journalFiles:Experimental Lung Research	2
journalFiles:International Seminars in Surgical Oncology : ISSO	31
journalFiles:Drug and Alcohol Dependence	1
journalFiles:Lifetime Data Analysis	1
journalBytes:Chemistry & Biology	943103
journalFiles:Experimental Biology and Medicine (Maywood, N.j.)	2
journalFiles:Sports Medicine, Arthroscopy, Rehabilitation, Therapy, and Technology	1
journalBytes:BMC Ecology	13370595
journalFiles:Water, Air, and Soil Pollution	53
journalBytes:Febs Letters	1595871
journalFiles:Reproductive Health	228
journalFiles:Oral Radiology	2
journalBytes:Proceedings of the Japan Academy. Series B, Physical and Biological Sciences	9647565
journalFiles:Nonlinear Analysis, Theory, Methods & Applications	1
journalFiles:Archives of Osteoporosis	20
journalFiles:Sleep Disorders	25
mimeTypeBytes:text/tab-separated-values	5380148
journalBytes:Current Treatment Options in Neurology	347484
journalBytes:Scientia Pharmaceutica	6007629
journalFiles:Molecular Cell	191
journalBytes:Journal of Marriage and the Family	133858
journalFiles:The World Allergy Organization journal	41
journalBytes:Iranian Endodontic Journal	1938383
journalFiles:Journal of Gastrointestinal Surgery	83
journalFiles:HPB Surgery	708
journalBytes:Journal of Plant Growth Regulation	48491
journalBytes:Development, Growth & Differentiation	60766
journalFiles:Plant Biotechnology Journal	21
journalFiles:Environmental health perspectives.	3
journalFiles:Journal of Hunger & Environmental Nutrition	20
journalBytes:Psychology Research and Behavior Management	840203
journalFiles:Electromagnetic Biology and Medicine	1
journalBytes:Sleep Disorders	892735
journalBytes:Clinical Cardiology	29177
journalBytes:The Korean Journal of Laboratory Medicine	1181644
journalFiles:BMC Medical Genetics	1709
journalBytes:International Journal of Biomedical Imaging	12560808
journalFiles:Fly	11
journalBytes:Journal of Orthopaedic Research	138379
journalFiles:Toxicology in Vitro	2
journalFiles:Phytotherapy Research	1
journalFiles:Journal of Molecular and Genetic Medicine : An International Journal of Biomedical Research	23
journalBytes:European Journal of Vascular and Endovascular Surgery	8176
journalFiles:Autophagy	35
journalFiles:Case Reports in Vascular Medicine	54
journalFiles:Journal of Community Psychology	1
journalFiles:International Health	7
journalFiles:Atherosclerosis	55
journalBytes:Breast cancer research : BCR	2997407
journalFiles:Translational Psychiatry	511
journalFiles:Journal of Amino Acids	59
journalBytes:Clinical and Experimental Nephrology	572196
journalBytes:Invertebrate Biology 	85850
journalFiles:Cell Communication & Adhesion	1
journalFiles:Pastoral Psychology	2
journalBytes:Current Nutrition and Food Science	101176
journalBytes:BMC Neurology	29409564
journalBytes:Molecular Nutrition & Food Research	255313
journalBytes:International Journal of Stroke	30998
journalFiles:Developmental Neurobiology	1
journalFiles:ISRN Pharmaceutics	64
journalBytes:Local and Regional Anesthesia	136835
journalFiles:Zoological Journal of the Linnean Society	2
journalFiles:Developmental Psychobiology	3
journalFiles:i-Perception	114
journalBytes:BMC Genomics	3240003352
journalBytes:The Open Neuroimaging Journal	3779387
journalBytes:Journal of Psychopharmacology (Oxford, England)	1346610
journalBytes:Annals of Tropical Paediatrics	41406
journalFiles:Molecular Imaging and Radionuclide Therapy	49
journalFiles:Aquatic Toxicology (Amsterdam, Netherlands)	1
journalBytes:Sport Sciences for Health	21332
journalFiles:Biology of Sex Differences	66
journalBytes:Trials	47695098
journalFiles:Molecular Simulation	1
journalFiles:Journal of Experimental Psychology. Human Perception and Performance	7
journalFiles:Biodegradation	12
journalBytes:Expert Opinion on Medical Diagnostics	31134
journalFiles:Journal of Global Health	79
journalFiles:Origins of Life and Evolution of the Biosphere	19
journalFiles:Epidemics	4
articleTypeFiles:index	1
journalFiles:Acta Crystallographica Section D: Biological Crystallography	286
journalBytes:Immunity & ageing : I & A	1055075
journalFiles:Current Opinion in Cell Biology	12
journalFiles:Cell and Tissue Banking	22
journalBytes:European Psychiatry	45012
journalBytes:Current Neurology and Neuroscience Reports	431896
journalFiles:Zoologica Scripta	6
journalFiles:European Journal of Preventive Cardiology	1
journalFiles:Forensic Science International. Genetics	20
journalFiles:Nature neuroscience	734
journalFiles:Aquatic Biosystems	46
journalFiles:Saline Systems	98
journalBytes:Human Immunology	95986
journalBytes:Journal of Diabetes	157588
journalFiles:Molecular Microbiology	542
journalBytes:Frontiers in Computational Neuroscience	19821929
journalFiles:Ultramicroscopy	7
journalFiles:Case Reports in Pediatrics	107
journalBytes:Veterinary Medicine International	7245663
journalFiles:Bju International	2
journalFiles:Nursing Inquiry	1
journalFiles:Mediterranean Journal of Nutrition and Metabolism	5
journalFiles:Psychological Research	44
journalBytes:Genetics Research International	3115130
journalBytes:Journal of Hematology & Oncology	9378485
journalBytes:Family Science	42485
journalBytes:BMC Ear, Nose and Throat Disorders	210580
journalBytes:Somatosensory & Motor Research	116734
journalBytes:Journal of Heredity	168871
journalFiles:Korean Journal of Urology	524
journalFiles:American Journal of Rhinology & Allergy	2
journalFiles:British Journal of Cancer	22119
journalBytes:Sexual Plant Reproduction	359313
journalBytes:Expert Opinion on Emerging Drugs	76443
journalFiles:Insect Molecular Biology	34
journalFiles:Journal of Biophysics	31
journalFiles:Motivation and Emotion	12
journalFiles:Integrated Blood Pressure Control	8
journalFiles:Annals of Dyslexia	5
journalBytes:Structure(London, England:1993)	2045932
journalBytes:Springerplus	1698646
journalBytes:Clinical Medicine Insights. Cardiology	1701745
journalBytes:Protein Engineering, Design and Selection	1245706
journalBytes:Mutation Research	249565
journalFiles:Urology Annals	134
journalBytes:Experimental & Applied Acarology	1205773
journalBytes:Population Health Metrics	11884681
journalBytes:Data & Knowledge Engineering	110250
journalBytes:Biology Open	10998258
journalBytes:Reproductive Biology and Endocrinology : RB&E	38057830
journalFiles:Experimental Brain Research. Experimentelle Hirnforschung. Experimentation Cerebrale	202
journalFiles:DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes	945
journalFiles:Upsala Journal of Medical Sciences	209
journalBytes:Arthritis Research & Therapy	129653560
journalBytes:Freshwater Biology	87831
journalBytes:Dairy Science & Technology	193025
journalFiles:Case Reports in Neurology	149
journalFiles:Journal of Controlled Release	12
journalFiles:Brain Imaging and Behavior	11
journalBytes:Nature immunology	11917502
journalBytes:Iranian Journal of Nursing and Midwifery Research	3052456
journalFiles:International Archives of Occupational and Environmental Health	67
journalBytes:The EMBO Journal	110861000
journalFiles:Current Psychiatry Reports	14
journalFiles:The European Journal of Health Economics	47
journalBytes:Developmental Neurobiology	63299
journalBytes:GMS Psycho-Social Medicine	2008676
journalBytes:Developmental Science	274584
journalFiles:Journal of Insect Behavior	10
journalFiles:Bone Marrow Research	51
journalBytes:CBE Life Sciences Education	3413966
journalBytes:Journal of Pharmacy & Bioallied Sciences	3573407
journalBytes:Tropical Medicine & International Health 	334823
journalBytes:Lingua. International Review of General Linguistics. Revue Internationale De Linguistique Generale	27994
journalBytes:Current Treatment Options in Oncology	224259
journalFiles:International Journal of Food Sciences and Nutrition	3
journalBytes:Restorative Dentistry & Endodontics	634425
journalFiles:International Journal of Evidence-Based Healthcare	1
journalFiles:Indian Journal of Ophthalmology	954
journalFiles:Dental Research Journal	181
journalFiles:Enzyme Research	171
journalBytes:The European Journal of General Practice	45790
journalFiles:Solid-State Electronics	3
journalFiles:Leukemia Research and Treatment	32
journalFiles:Nature cell biology	489
journalBytes:Journal of Oral Microbiology	2734123
journalBytes:Allergy & Rhinology	723930
journalFiles:Seminars in Immunopathology	29
journalFiles:Journal of the Korean Surgical Society	299
journalBytes:Scripta Materialia	54951
journalFiles:Brain Structure & Function	45
journalFiles:Journal of Neurogenetics	6
journalFiles:Experimental Hematology	5
journalFiles:Human Nature (Hawthorne, N.y.)	7
journalFiles:Osteoporosis International	169
journalBytes:Clinical Epidemiology	4480154
journalFiles:Sports Health	244
journalFiles:Journal of Environmental Radioactivity	2
journalFiles:Korean Journal of Pediatrics	265
journalBytes:Evidence-Based Medicine	25823
journalBytes:Human Vaccines	58774
journalFiles:Clinical Risk	3
journalFiles:Silence	80
journalBytes:Behavioural Brain Research	526015
journalFiles:Journal of Chromatography. B, Analytical Technologies in the Biomedical and Life Sciences	5
journalFiles:Current Treatment Options in Oncology	5
journalBytes:Analytica Chimica Acta	78409
journalFiles:Computational Intelligence and Neuroscience	180
journalFiles:Molecular Biology of the Cell	252
journalBytes:Annals of Microbiology	284616
journalFiles:Journal of Aggression, Maltreatment & Trauma	1
journalFiles:Recent Patents on CNS Drug Discovery	1
journalBytes:Oral and Maxillofacial Surgery	257818
journalBytes:Journal of Diabetes and Metabolic Disorders	1018144
journalBytes:Journal of Electroanalytical Chemistry (Lausanne, Switzerland)	30673
journalFiles:Current Bioactive Compounds	3
journalFiles:The Journal of Eukaryotic Microbiology	1
journalBytes:The Journal of Molecular Diagnostics : JMD	51101
journalBytes:Archives of Physiology and Biochemistry	98062
journalBytes:Spinal Cord	47480
journalBytes:Biological Rhythm Research	29624
journalFiles:eLife	119
journalFiles:Biology Direct	833
journalFiles:Annals of Human Biology	2
journalBytes:International Journal of Technology Assessment in Health Care	198583
journalBytes:Journal of Electromyography and Kinesiology	40402
journalFiles:Laboratory Animal Research	96
journalBytes:Clinical Endocrinology	821519
journalBytes:Automated Experimentation	565637
journalFiles:Geoderma	1
journalBytes:Safety and Health at Work	3561963
journalBytes:AoB Plants	5524905
maxMainSize	1000587941
journalBytes:Journal of the Royal Statistical Society. Series B, Statistical Methodology	68475
journalFiles:Neurobiology of Disease	14
journalFiles:Visual Cognition	3
journalBytes:International Journal of Nephrology and Renovascular Disease	2671825
journalBytes:Clinical Medicine. Oncology	2398291
journalFiles:International Journal of Biological Macromolecules	1
journalFiles:Journal of Pain Research	131
journalFiles:International Journal of Gynaecology and Obstetrics	1
journalFiles:Immunological Investigations	3
journalBytes:Journal of Visualization	23233
journalFiles:Frontiers in Pharmacology	375
journalFiles:Environmental Toxicology and Chemistry / Setac	10
journalFiles:Occupational Medicine (Oxford, England)	8
journalBytes:European Journal of Pharmaceutical Sciences	172917
journalFiles:American Journal of Physiology - Gastrointestinal and Liver Physiology	8
journalFiles:Materials Letters	1
journalFiles:Journal of Nucleic Acids	209
journalBytes:AIDS Research and Therapy	9371037
journalBytes:The Journal of Physical Chemistry Letters	249170
journalFiles:Clinical Social Work Journal	1
journalFiles:Epidemiologic perspectives & innovations : EP+I	37
journalFiles:International Journal of Experimental Pathology	2
journalBytes:Journal of Burns and Wounds	1139515
journalBytes:Journal of Health Services Research & Policy	125571
articleCountWithAbstract_1958	343
articleCountWithAbstract_1959	356
journalBytes:Metabolic Brain Disease	487190
journalBytes:Silence	1990497
articleCountWithAbstract_1950	207
articleCountWithAbstract_1951	181
articleCountWithAbstract_1952	199
articleCountWithAbstract_1953	205
articleCountWithAbstract_1954	201
articleCountWithAbstract_1955	273
articleCountWithAbstract_1956	348
articleCountWithAbstract_1957	319
journalBytes:Scandinavian Journal of Psychology	46966
journalFiles:Journal of Neurophysiology	94
journalFiles:Persoonia : Molecular Phylogeny and Evolution of Fungi	76
journalFiles:Extremophiles	27
journalBytes:Multidisciplinary Respiratory Medicine	3346730
journalBytes:Indian Journal of Critical Care Medicine : Peer-reviewed, Official Publication of Indian Society of Critical Care Medicine	4256313
journalFiles:Journal of Abnormal Child Psychology	68
journalBytes:Current Infectious Disease Reports	414348
journalFiles:Langenbeck's Archives of Surgery	33
journalBytes:BMC Ear, Nose, and Throat Disorders	2432125
journalBytes:Economic Modelling	94844
journalFiles:Bone marrow transplantation	30
journalBytes:Investigational New Drugs	2518448
journalBytes:Techniques in Coloproctology	678073
journalBytes:Rheumatology International	1272012
journalBytes:Microbial Pathogenesis	72313
journalFiles:New Biotechnology	2
journalBytes:Journal of Experimental Social Psychology	42519
journalBytes:Frontiers in Pharmacology	20531162
journalBytes:Translational Behavioral Medicine	380455
journalBytes:Organic & Biomolecular Chemistry	532594
journalBytes:Bioengineered Bugs	176804
journalBytes:The Journal of Biological Chemistry	107624600
journalBytes:Reviews in Medical Virology	88793
journalFiles:Nature chemistry	112
journalBytes:Eye (London, England)	63420
journalBytes:Advanced Materials (Deerfield Beach, Fla.)	277411
journalFiles:Journal of Inflammation (London, England)	290
journalBytes:Clinical Medicine Insights. Circulatory, Respiratory and Pulmonary Medicine	688194
journalFiles:Endocrine	6
journalFiles:Clinical Transplantation	3
journalBytes:Clinical Neurology and Neurosurgery	91826
journalBytes:Nature communications	2601184
journalBytes:The European Journal of Contraception & Reproductive Health Care	259605
journalBytes:Schizophrenia Bulletin	2914843
journalBytes:Hearing Research	449859
journalBytes:American Journal of Human Genetics	699020
journalFiles:International Journal of Immunogenetics	7
journalBytes:Pathology Research International	5798402
journalBytes:Journal of Communication Disorders	74892
journalBytes:Laboratory investigation; a journal of technical methods and pathology	3433666
journalFiles:Aerobiologia	9
journalBytes:Diabetology & Metabolic Syndrome	6006400
