ISSN	impact
0007-215X	0.03
0007-2745	0.902
0125-6726	0.102
0360-1323	2.4
0961-3218	1.476
0143-6244	0.46
1996-3599	0.815
0324-1130	0.283
1310-0351	0.189
1436-9990	0.658
0525-1931	0.43
0305-4179	1.962
1867-0202	0.656
1618-193X	0.056
0007-9235	101.78
0102-311X	0.889
1166-7699	0.305
0007-9723	0.708
0944-2669	1.235
0171-967X	2.376
0008-0624	0.808
0008-0845	0.814
0008-1078	0.147
0364-5916	1.669
0963-1801	0.494
0846-5371	0.691
0008-347X	0.848
0008-350X	1.408
0008-3550	0.043
0008-3674	0.867
0008-3976	1.017
0832-610X	2.346
0008-3984	0.77
0828-282X	3.358
0008-4042	1.242
0008-4034	0.748
0315-1468	0.334
1499-2671	0.686
1486-3847	0.811
0008-4077	1.119
0840-8688	0.241
1481-8035	1.184
0706-652X	2.213
0045-5067	1.685
0835-7900	1.206
1712-9532	1.538
0008-414X	0.548
0008-4166	1.363
0317-1671	0.968
0008-4182	1.471
0008-4204	0.857
0008-4212	1.953
0706-0661	0.884
0008-4220	0.613
1195-2199	0.179
0706-7437	2.417
0008-4271	0.821
0319-5724	0.671
0008-428X	1.054
1195-9479	0.641
0830-9000	0.939
0008-4301	1.205
0008-4395	0.265
0820-3946	8.217
0008-4433	0.443
0008-4492	0
0008-4476	1.115
1198-2241	1.556
0008-5286	1.063
0701-1784	0.741
1538-4047	2.636
1574-0153	1.078
1084-9785	1.787
0957-5243	2.877
1535-6108	26.566
1475-2867	1.973
0344-5704	2.833
1934-662X	3.333
0361-090X	2.522
2159-8274	 
1055-9965	4.123
1877-7821	2.01
0929-1903	2.802
0165-4608	1.389
2210-7762	 
1470-7330	1.5
0340-7004	3.701
0735-7907	1.847
1528-9117	3.256
0304-3835	4.238
0167-7659	10.573
0162-220X	1.792
1940-6207	4.908
1278-3218	1.488
0008-5472	7.856
1347-9032	3.325
0305-7372	6.054
0008-543X	4.771
0373-2967	0.355
0144-8617	3.628
0008-6215	2.332
0008-6223	5.378
0891-2556	0.27
0143-3334	5.702
0733-8651	1.357
1897-5593	1.309
1061-5377	2.88
1047-9511	0.759
0008-6312	1.705
1475-2840	3.346
0920-3206	3.13
1567-8822	0.809
0174-1551	2.093
1995-1892	0.767
1054-8807	2.066
0008-6363	6.064
1755-5914	2.353
1530-7905	2.067
1476-7120	1.265
0008-6452	0.22
0008-6568	2.328
1842-4090	1.45
1584-2851	0.906
0008-7114	0.533
0008-7475	0.338
1566-7367	2.986
1011-372X	2.242
0161-4940	7.5
2044-4753	 
1571-1013	1.897
0920-5861	3.407
0341-8162	1.889
1522-1946	2.29
0969-1251	0.171
1931-7913	1.191
0923-2958	1.457
0092-8674	32.403
1933-6918	1.816
1085-9195	3.743
0263-6484	1.771
1065-6995	1.482
0742-2091	2.511
0143-4160	3.766
0576-9787	0.55
1541-9061	1.176
1478-811X	5.5
1538-4101	5.359
1350-9047	8.849
2041-4889	5.333
1747-1028	3
1931-3128	13.5
0008-8749	1.974
2228-5806	 
1550-4131	13.668
1462-5814	5.458
1865-5025	1.947
0145-5680	0.975
1425-8153	1.505
1672-7681	2.992
1420-682X	6.57
0272-4340	1.969
0886-1544	4.194
2211-3428	3.105
1015-8987	2.857
0262-4893	0.355
0960-7722	2.521
2152-4971	2.286
1001-0602	8.19
0898-6568	4.058
1934-5909	25.421
1355-8145	3.013
0386-7196	2.292
1389-9333	0.965
0302-766X	3.114
1422-6405	2.203
0969-0239	3.6
1425-8129	0.183
0958-9465	2.421
0008-8846	2.781
1895-104X	1
1895-1066	1.073
1426-3912	0.317
1895-1074	0.44
1895-1058	0.312
1435-246X	0.484
1895-1082	0.909
1868-4904	0.838
0333-1024	3.43
0272-8842	1.751
0862-5468	0.382
0009-0352	1.452
0146-6283	0.691
0133-3720	0.392
1047-3211	6.544
1473-4222	3.207
1015-9770	2.723
0104-7760	0.283
1210-7859	0.279
0173-9913	0.051
1584-8663	0.834
1933-6950	2.14
1054-1500	2.076
0960-0779	1.222
1071-8443	0.913
0009-2223	0.52
0352-9568	0.689
1612-1872	1.804
1074-5521	5.829
1747-0277	2.282
1752-153X	3.281
1359-7345	6.169
0275-7540	0.615
1109-4028	0.855
0098-6445	0.946
1385-8947	3.461
0009-2347	0.29
0255-2701	1.924
0360-7275	0.652
0263-8762	1.968
0009-2509	2.431
0930-7516	1.598
0009-2460	0.136
0009-2819	1.447
0009-2541	3.518
0009-3122	0.725
1015-0145	 
1451-9372	0.61
0009-3068	0.12
0251-0790	0.619
0366-7022	1.587
0009-2770	0.529
0897-4756	7.286
0009-3130	1.029
0366-6352	1.096
0009-2363	1.592
0301-0104	1.896
0069-3138	 
0009-2614	2.337
0009-3084	2.571
0208-6425	0.378
1527-8999	4.377
1005-9040	0.379
0893-228X	3.779
0009-2665	40.197
2041-6520	7.525
0379-864X	2.599
0306-0012	28.76
0954-2299	0.397
0009-3092	0.128
0009-2851	0.517
0948-1907	1.796
1473-7604	0.159
1861-4728	4.5
0009-2797	2.865
0947-6539	5.925
0009-286X	0.589
1439-4227	3.944
1867-3880	5.207
0235-7216	0.586
1860-7179	3.151
0937-7409	1.556
0169-7439	1.92
1936-5802	1.643
0045-6535	3.206
0009-3157	1.816
1439-4235	3.412
1864-5631	6.827
0012-3692	5.25
0125-2526	0.473
0718-5820	0.447
1475-357X	0.883
0305-1862	1.201
0256-7040	1.542
0929-7049	1.797
0392-839X	0.593
0009-4293	1.212
1672-0415	0.799
1000-9345	0.208
0254-4059	0.498
1671-7694	0.967
1673-5447	0.146
1672-6421	0.278
0890-5487	0.468
1008-6234	0.12
0252-9599	0.521
1001-8417	0.978
1002-0063	0.5
1000-9361	0.406
0253-3820	0.941
1000-9604	0.182
0253-9837	1.171
1001-604X	0.755
1004-9541	0.826
1674-0068	0.692
1022-4653	0.147
0001-5733	0.72
1001-4861	0.628
0253-2786	0.608
0577-9073	0.448
0304-4920	0.558
0256-7679	0.919
0254-5861	0.44
0366-6999	0.864
1674-1056	1.376
1674-1137	0.272
0256-307X	0.731
1001-6538	1.321
1297-3203	0.529
0899-0042	2.35
0009-4722	0.703
1221-9118	0.375
0009-5893	1.195
0009-5915	3.847
0967-3849	3.087
1925-6523	 
0228-8699	0.979
0742-0528	4.028
1413-7054	0.531
0103-9954	0.24
0304-5609	0.439
0185-3880	0.452
0103-8478	0.434
0254-0223	0.263
0101-2061	0.221
1538-2931	0.831
0009-7411	0.138
0009-739X	0.874
1346-9843	3.766
0009-7330	9.489
0278-081X	0.817
1941-3149	6.462
1942-325X	6.105
1941-9651	5.941
1941-7640	6.058
1941-7705	4.906
1941-3289	6.286
0305-6120	0.444
0009-7322	14.739
0007-8506	1.708
1028-6608	0.562
0885-7024	0.176
2152-2650	1.88
0748-3007	5.25
0264-9381	3.32
0009-8604	1.162
0009-8558	1.053
1618-954X	1.753
1863-0650	2.177
1545-1569	0.822
0891-1150	3.773
0930-7575	4.602
1814-9324	3.509
0936-577X	1.994
1369-7137	1.986
0165-0009	3.385
0897-3806	1.289
1076-0296	1.332
0959-9851	1.299
0009-9120	2.076
0268-0033	2.071
1526-8209	2.375
1078-0432	7.742
0160-9289	2.151
0009-9147	7.905
1434-6621	2.15
0272-5231	3.284
0009-8981	2.535
1533-0028	1.676
0738-081X	2.333
1740-2522	1.838
1173-2563	1.822
0962-8827	0.543
1550-0594	1.725
0300-0664	3.168
0954-7894	5.032
0307-6938	1.198
1064-1963	1.074
0009-9104	3.36
1591-8890	2
0262-0898	3.524
1342-1751	1.369
0390-6663	0.429
1442-6404	1.977
0816-4622	1.047
1976-8710	0.915
0305-1870	1.851
0392-856X	2.148
1542-3565	5.627
0009-9163	3.128
1558-7673	2.605
0749-0690	2.484
0731-7115	0.727
1386-0291	3.398
0899-7071	0.746
1521-6616	4.046
1523-0899	3.532
1058-4838	9.154
1176-9092	2.083
0147-958X	1.167
1555-9041	5.227
1092-1095	0.729
0749-8047	2.813
1050-642X	2.119
1433-6510	0.904
0272-2712	1.971
0269-9206	0.636
1758-4299	0.754
1089-3261	3.18
1525-7304	2.944
1470-2118	1.153
1198-743X	4.54
0893-8512	16.129
0301-0430	1.171
0303-8467	1.581
0722-5091	1.043
0362-5664	2.166
1388-2457	3.406
1385-4046	2.115
1869-1439	1.091
0363-9762	3.674
1054-7738	0.881
0887-6274	0.81
0261-5614	3.731
0009-9201	1.935
0936-6555	2.072
0905-7161	2.514
1432-6981	2.364
0009-921X	2.533
1749-4478	2.393
0009-9228	1.151
0095-5108	2.457
0312-5963	5.398
0009-9236	6.043
1475-0961	1.213
0094-1298	1.422
1328-4207	0.103
0009-9260	1.952
0269-2155	2.123
1861-0684	2.95
2210-7401	 
1752-6981	1.056
1080-0549	3.677
0770-3198	1.996
0143-5221	4.317
0278-5919	1.554
0009-9074	0.266
0149-2918	2.321
1556-3650	2.221
1699-048X	1.327
0902-0063	1.667
1740-7745	2.362
1556-6811	2.546
1130-7064	0
1807-5932	2.058
1536-2302	2.66
1386-7857	0.519
1546-2218	0.972
1526-1492	1.123
1172-7047	4.795
1871-5273	3.81
1755-5930	4.443
0378-3839	1.757
0578-5634	0.452
0892-0753	1.194
1469-493X	5.715
1530-7026	3.565
1543-3633	1.342
1866-9956	1
1871-4080	0.985
0264-3294	2.134
1758-8928	0.769
1389-0417	1.173
0010-0285	4.273
0165-232X	1.429
0010-065X	0.404
0010-0765	1.283
0010-0757	0.628
1322-7696	0.898
1061-933X	0.707
0303-402X	2.331
0927-7757	2.236
0927-7765	3.456
0010-1354	0.357
1657-9534	0.074
0361-2317	0.943
1472-3581	0.959
1462-8910	2.927
1386-2073	1.785
0963-5483	0.778
0209-9683	0.671
0010-5082	0.539
0010-2180	3.585
0010-2202	0.857
1364-7830	1.095
1559-3940	1.562
0260-3594	1.917
0010-2571	0.862
0001-0782	1.919
0092-7872	0.347
1019-8385	0.687
1815-2406	1.397
0219-1997	0.574
0010-3616	1.941
1539-6746	1.412
1007-5704	2.806
1931-4523	1.412
1069-8299	1.754
0360-5302	0.894
1534-0392	0.692
0010-3640	2.575
0010-3624	0.506
0361-0918	0.387
0361-0926	0.274
0253-6102	0.747
0265-539X	0.753
0301-5661	1.894
1585-8553	1.679
1095-6433	2.235
1096-4959	1.923
1532-0456	2.616
1744-117X	1.718
1993-0771	0.595
1531-6912	1.282
0925-7721	0.725
0147-9571	2.337
0927-0256	1.574
0965-5425	0.301
1525-2647	0.757
1532-0820	1.052
0332-1649	0.301
0965-2299	1.872
1661-8254	0.6
1747-6933	0.532
1076-2787	1.02
0927-6440	0.438
0010-437X	1.187
1359-835X	2.695
1359-8368	1.731
0266-3538	3.144
0263-8223	2.24
1065-657X	0.639
0010-440X	2.257
1541-4337	3.724
0010-4485	1.234
0167-8396	1.054
1092-9088	0.296
1546-4261	0.394
1061-3773	0.333
0101-8205	0.413
1476-9271	1.551
0010-4825	1.089
0098-1354	2.32
0140-3664	1.044
0146-4833	0.648
1016-3328	1.122
1598-8198	1.015
0927-7099	0.514
0360-1315	2.621
0045-7906	0.837
0168-1699	1.846
0045-7930	1.81
0098-3004	1.429
0266-352X	0.987
0167-7055	1.634
0271-4159	0.015
0097-8493	1
0166-3615	1.529
0360-8352	1.589
1335-9150	0.239
0824-7935	0.971
0010-4620	0.785
1477-8424	0.273
0891-2017	0.721
0898-1221	1.747
1748-670X	0.684
1381-298X	0.389
0178-7675	2.065
0895-6111	1.467
0169-2607	1.516
0045-7825	2.651
1025-5842	0.849
0148-9267	0.706
1389-1286	1.2
0305-0548	1.72
0926-6003	1.35
0010-4655	3.268
1521-9615	1.422
1820-0214	0.625
0167-4048	0.868
0885-2308	1.319
0920-5489	1.257
0167-9473	1.028
0045-7949	1.874
0925-9724	1.071
0267-6192	0.371
2210-271X	  
1077-3142	1.34
1093-9687	3.382
1420-0597	1.348
0943-4062	0.276
0018-9162	1.47
0010-485X	0.701
1546-6086	1.674
1552-5031	0.792
1532-0626	0.636
1063-293X	0.478
1607-324X	0.811
0010-5422	1.118
1063-1801	0.182
1747-079X	0.901
0954-0091	0.676
0300-8207	1.198
0888-8892	4.692
1566-0621	1.61
1877-7252	0.485
1755-263X	4.082
0176-4276	1.119
0950-0618	1.834
1383-7133	0.659
0278-4343	2.088
0105-1873	3.509
1551-7144	1.814
1037-6178	0.667
0010-7514	2.081
1995-4255	0.099
0935-1175	1.31
0010-7824	2.724
1555-4309	3.328
1335-1842	0.152
0010-7999	3.441
0302-5144	1.487
0863-1042	1.108
1383-4517	1.231
1454-8658	0.338
0967-0661	1.481
0010-8545	12.11
1541-2555	1.794
0045-8511	1.101
0722-4028	3.878
0277-3740	1.733
0954-6928	1.237
1478-422X	0.658
0334-6005	0.692
0010-938X	3.734
0010-9312	1.441
0010-9452	6.08
0010-9525	0.387
1310-1331	0.21
1631-0691	1.533
1631-0748	1.803
1631-0713	1.725
1631-073X	0.384
1631-0721	0.799
1631-0683	1.043
1631-0705	1.36
0886-9634	0.656
0195-6671	1.537
1466-609X	4.607
0749-0704	2.049
0090-3493	6.33
0279-5442	1.077
1441-2772	1.671
1040-8347	3.902
1040-9238	7.655
0738-8551	6.472
1040-8363	5.25
1064-3389	4.841
1045-4403	3.075
1040-8398	4.789
1040-8401	3.317
1040-841X	6.27
1040-8428	4.411
0735-2689	4.659
1040-8436	9.467
0743-4863	2.609
1040-8444	5.16
0011-1643	0.763
1845-5719	0.394
0353-9504	1.796
1518-7853	0.655
1836-0947	1.418
0261-2194	1.402
0011-183X	1.641
0011-216X	0.464
0011-2240	2.062
0011-2275	0.669
0143-2044	1.245
1994-0416	3.279
0181-1568	0.395
1290-0796	0.551
0181-1584	0.754
0161-1194	0.109
1528-7483	4.72
0232-1300	0.946
1063-7745	0.469
0889-311X	2.067
1466-8033	3.842
1943-0264	9.402
1752-8054	2.118
0122-1450	0.143
1911-6470	1.237
1529-7322	2.5
1609-3607	0.059
1567-2050	3.953
1573-4110	1
1567-1739	1.9
1523-3804	2.664
1574-8936	0.898
0960-9822	9.647
1568-0096	4.327
1573-4099	1.762
1534-4827	2.496
1389-2002	5.113
1389-4501	3.553
0271-3683	1.28
1566-5232	3.386
0172-8083	2.556
1389-2029	2.408
1570-162X	1.745
1522-6417	2.504
1467-3037	3.138
0929-8673	4.859
1573-4056	0.708
0300-7995	2.38
0343-8651	1.815
1566-5240	4.476
1573-4137	1.776
1528-4042	3.455
1570-159X	2.847
1567-2026	2.719
1198-0052	2.473
1523-3790	2.545
1528-4050	4.108
0952-7907	2.213
0958-1669	7.711
0268-4705	2.329
0955-0674	12.897
1367-5931	9.85
1363-1950	4.378
1359-0294	8.01
1070-5295	2.514
1367-6733	4.202
1752-296X	3.618
1877-3435	2.438
0267-1379	4.19
0959-437X	8.086
1065-6251	4.52
1746-630X	4.747
0952-7915	9.522
0951-7375	4.93
1472-4472	3.309
0957-9672	6.086
1369-5274	7.929
1464-8431	3.676
1062-4821	4.331
0959-4388	7.444
1350-7540	4.936
1040-872X	2.378
1040-8746	4.101
1040-8738	2.647
1087-2418	2.967
1068-9508	1.826
1040-8703	2.833
1471-4892	6.856
1369-5266	9.272
0951-7367	3.053
1070-5287	3.075
1040-8711	4.309
1359-0286	4.233
0959-440X	9.424
0963-0643	2.59
1385-2728	3.064
1570-1794	3.434
1531-3433	1.662
1573-4129	1.155
1389-2010	2.805
1381-6128	3.87
0147-0272	1.333
0146-2806	2.583
0011-3840	2.333
1389-2037	2.886
1570-1646	3.179
1523-3812	2.711
0011-3891	0.935
1574-3624	0.5
1537-890X	1.14
0011-393X	0.333
0070-2153	6
1568-0266	4.174
1063-5823	0.592
0070-217X	4.925
1540-7535	0.286
1092-8480	1.292
1527-2729	2.684
1570-1611	2.896
1556-9527	0.912
0011-4162	0.813
0196-9722	1.182
0399-0974	0.404
1947-6345	0.632
1424-8581	1.533
1043-4666	3.019
1359-6101	7.812
0095-4527	0.246
0011-4545	0.43
1552-4922	3.729
1552-4949	2.525
0956-5507	1.588
1949-3584	2.657
0920-9069	1.207
1465-3249	3.627
1212-1819	1.079
1212-1800	0.522
1212-1975	0.532
0011-4642	0.262
1958-5586	1.183
1477-9226	3.838
0907-8916	0.747
1560-8115	0.625
0169-023X	1.422
1384-5810	1.545
1758-0463	2.071
0167-9236	1.687
0967-0637	2.421
0967-0645	2.277
0011-748X	0.27
1420-8008	2.141
1641-1307	0.649
1125-7865	1.525
0109-5641	3.135
0287-4547	1.137
1600-4469	1.204
0250-832X	1.081
1091-4269	4.184
1710-3568	1.211
0733-8635	2.156
1027-8117	0.155
1076-0512	1.798
1396-0296	1.687
1018-8665	2.053
0929-5585	0.2
1385-772X	1.444
1944-3994	0.614
0011-9164	2.59
0925-1022	0.875
0142-694X	0.969
1435-1951	0.522
0012-0413	0.148
0012-0472	0.528
0341-6593	0.41
0344-5925	0.429
0012-1606	4.069
1534-5807	14.03
0145-305X	3.268
1940-5510	4.039
1058-8388	2.536
0949-944X	1.774
0012-1592	2.21
0012-1622	2.918
1932-8451	3.551
8756-5641	2.556
1751-8423	1.577
0378-5866	3.627
0012-1630	2.977
1471-8731	0.816
0950-1991	6.596
0012-1797	8.286
0149-5992	8.087
0145-7217	1.959
1262-3636	2.411
1462-8902	3.379
0168-8227	2.754
1861-7603	0.147
1520-9156	1.931
1479-1641	2.116
1520-7552	3.373
0742-3071	2.902
1758-5996	1.526
1861-9002	0.359
1860-9716	0.253
0012-186X	6.814
8755-1039	1.16
1305-3825	1.1
0732-8893	2.528
1052-9551	2.257
1746-1596	1.638
0090-2934	0.131
0925-9635	1.913
0269-249X	0.656
0012-2661	0.419
0926-2245	0.646
0893-4983	0.584
0301-4681	2.807
1842-3582	1.2
0257-2753	2.373
0163-2116	2.117
0915-5635	1.194
1590-8658	3.054
0253-4886	1.224
0012-2823	2.046
1742-2876	0.507
1051-2004	1.435
0177-5103	2.201
0012-3706	3.132
1120-8694	1.814
0278-0240	1.642
1754-8403	4.937
1936-6574	0.982
0963-8288	1.498
0974-262X	0.692
1935-7893	1.535
0166-218X	0.795
0179-5376	0.938
1078-0947	0.913
1531-3492	0.921
1026-0226	0.688
0924-6703	0.641
0012-365X	0.519
1462-7264	0.465
1572-5286	0.5
0141-9382	0.846
0012-3862	0.214
1521-298X	0.69
0178-2770	0.976
0926-8782	0.286
1366-9516	4.83
1833-3516	0.686
0011-5029	1.5
1044-5498	2.072
1568-7864	4.135
1340-2838	5.164
1431-0643	0.733
0012-4486	2.107
1607-6729	0.326
0012-5008	0.315
1028-334X	0.385
1064-5624	0.289
1028-3358	0.343
0012-5016	0.458
0739-7240	2.056
1559-3258	1.915
1011-288X	0.047
1044-789X	0
1644-3985	0.026
1170-229X	2.671
0376-8716	3.383
0148-0545	1.082
1071-7544	1.456
1177-8881	2.877
0363-9045	1.494
0272-4391	1.193
1359-6446	6.828
0377-8282	0.517
0092-8615	0.36
0090-9556	3.733
1347-4367	2.321
0360-2532	6.4
0214-0934	2.208
1368-7646	9.559
0114-5916	3.634
1942-7603	2.537
1699-3993	1.277
0012-6667	4.226
0012-6772	0.271
0737-3937	2.084
1866-0452	2.92
0012-7094	1.537
0143-7208	3.126
0012-7361	0.171
0012-7353	0.201
0377-0265	1.565
1548-159X	0.781
1468-9367	0.623
1056-2176	0.319
0211-9536	0.143
0179-051X	1.389
0973-4945	0.516
1618-7229	0.515
0196-0202	2.578
0378-3782	2.046
1751-7885	0.92
1755-6910	0.571
1087-3562	1.794
0167-9295	0.667
0012-821X	4.18
1343-8832	0.795
0736-623X	0.167
1865-0473	0.6
1794-6190	0.094
0197-9337	2.432
0012-8252	6.594
1671-3664	0.57
0098-8847	1.778
8755-2930	0.894
1124-4909	0.628
0742-2822	1.239
0906-7590	4.188
1612-9202	1.702
1936-0584	2.133
1051-0761	5.102
1898-6196	0.423
1476-945X	1.926
0921-8009	2.713
0925-8574	3.106
0307-6946	1.995
0367-0244	0.765
0906-6691	1.573
1470-160X	2.695
1574-9541	1.432
1461-023X	17.557
0304-3800	2.326
0012-9615	7.433
0912-3814	1.565
1708-3087	2.516
0012-9658	4.849
0013-0001	1.604
0424-267X	0.303
0361-0128	2.588
1570-677X	2.722
1368-4221	0.87
0747-4938	0.78
0266-4666	0.855
0012-9682	2.976
1195-6860	1.277
1432-9840	3.495
0147-6513	2.294
0963-9292	2.355
0949-3026	0.15
0012-7515	0.183
0013-1644	1.158
1110-1768	0.159
1781-9989	0.154
0748-7983	2.499
1305-8282	0.708
1300-1361	0.869
1507-2711	0.333
1942-9533	0.078
0948-7921	0.397
0424-7760	0.085
1532-5008	0.681
0378-7796	1.478
1040-0397	2.872
0070-9778	4.5
1388-2481	4.859
1099-0062	1.995
1344-3542	0.954
0013-4686	3.832
1536-8378	1.148
0272-6343	0.789
1567-4223	1.472
1083-589X	0.527
0717-3458	0.968
1077-8926	0.638
1072-6691	0.427
1537-9582	0.563
1083-6489	0.713
1417-3875	0.557
1935-7524	1.154
0013-5194	0.965
1738-8090	1.819
1935-9179	0.524
1068-9613	0.8
1365-4675	0.013
0173-0835	3.303
1392-1215	0.913
1811-5209	2.423
0261-4189	9.205
1757-4676	10.333
1469-221X	7.355
1080-6040	6.169
1742-6731	0.979
0733-8627	0.86
1472-0205	1.439
1137-6821	2.486
1382-3256	1.854
0158-4197	1.121
0013-7006	0.628
0160-9327	0.226
0918-8959	2.027
1046-3976	1.358
1530-891X	2.486
0743-5800	0.969
0163-769X	19.929
1351-0088	4.364
0889-8529	3.411
1355-008X	1.416
1051-2144	0.092
0013-7227	4.459
0423-104X	1.239
0013-726X	5.21
0933-811X	0.143
0378-7788	2.386
0196-8904	2.216
1570-646X	1.085
1754-5692	9.61
0887-0624	2.721
0195-6574	2.198
0301-4215	2.723
1556-7036	0.715
1556-7249	0.709
1996-1073	1.865
0360-5442	3.487
1301-8361	31.677
0973-0826	1.625
1575-4723	0.172
0213-005X	1.491
1809-4430	0.353
0955-7997	1.451
0952-1976	1.665
1994-2060	0.882
0177-0667	0.739
0264-4401	1.06
0013-791X	0.382
1350-6307	1.086
0013-7944	1.353
0013-7952	1.242
0013-8029	0.349
1618-0240	1.925
0095-8948	0.032
0305-215X	0.936
1413-4152	0.25
0141-0296	1.351
1937-8629	1.048
0145-5613	0.659
1751-7575	3.684
1947-5136	0.519
0013-8703	1.535
0785-8760	0.333
0171-8177	0.294
0013-872X	0.143
1343-8786	0.673
1099-4300	1.183
1758-2229	3.232
0378-1909	0.914
1448-2517	2.57
1610-3653	1.881
0376-8929	1.927
1866-6280	1.059
1352-8505	1.31
1078-7275	0.34
1582-9596	1.004
1092-8758	0.877
0046-225X	1.561
0098-8472	2.985
1567-7419	1.667
1527-5922	0.768
0269-4042	1.62
0943-0105	1.127
0091-6765	7.036
1476-069X	2.649
0160-4120	5.297
0364-152X	1.744
1462-2912	5.843
1420-2026	0.971
1364-8152	3.114
0893-6692	3.709
0167-6369	1.4
0269-7491	3.746
1944-7442	1.649
0324-8828	0.52
0013-9351	3.398
1748-9326	3.631
1208-6053	1.703
1635-0421	0.271
1462-9011	3.024
0944-1344	2.651
0013-936X	5.228
0959-3330	1.406
1520-4081	2.407
0730-7268	2.809
1382-6689	1.469
0013-9157	1.738
1180-4009	1.06
0141-0229	2.367
0939-8368	0.339
1755-4365	2.151
0950-2688	2.843
1120-9763	0.651
0193-936X	7.583
1044-3983	5.566
1756-8935	4.462
1559-2294	4.318
1750-1911	2.375
0013-9580	3.961
1525-5050	2.335
1535-7597	2.159
0920-1211	2.29
1294-9361	1.495
0705-3797	1.282
0392-9760	0.077
0295-5075	2.171
0957-7734	0.545
0425-1644	1.456
0013-9998	0.351
0014-0015	0.929
0143-3857	0.702
0014-0139	1.409
0174-0008	0.147
0014-0309	0.87
0376-4265	1.163
1292-8119	0.758
0764-583X	1.218
1292-8100	0.267
1612-9059	0.659
0071-1365	3.714
1736-4728	1.321
1559-2723	2.109
0272-7714	2.247
0367-0449	0.324
0935-7335	0.5
1021-6790	0.153
1049-510X	0.902
1355-7858	1.639
0394-9370	0.743
0179-1613	2.008
1225-6463	0.897
1535-9778	3.604
0014-2336	1.554
1022-6877	2.525
0937-4477	1.287
0940-1334	3.494
0175-7571	2.139
1473-2262	3.028
1018-8827	2.821
1148-5493	1.726
1438-2377	1.566
1878-7649	0.579
0195-668X	10.478
1520-765X	2.681
1161-0301	2.477
0265-0215	2.231
0956-7925	1.022
1439-6319	2.147
0959-8049	5.536
0961-5423	1.171
0959-8278	2.13
1010-7940	2.55
1741-8267	2.634
1474-5151	1.711
0171-9335	2.806
0014-2972	3.018
0934-9723	2.859
0954-3007	2.462
0031-6970	2.845
0195-6698	0.677
1362-5187	1.456
0947-3580	0.817
1396-5883	1.183
1167-1122	2.526
0378-7966	0.356
1525-2167	2.317
0969-9546	0.897
0804-4643	3.423
1210-5759	1.061
1964-8189	0.32
0393-2990	4.713
1612-4669	1.982
0954-691X	1.757
1381-4788	1.13
0392-2936	0.474
0902-4441	2.614
1388-9842	4.896
1121-760X	1.688
1611-4426	0.354
1018-4813	4.4
0014-2980	5.103
1751-5254	0.413
1721-727X	5.233
0960-085X	1.5
1434-1948	3.049
1876-3820	0.775
0953-6205	2
1438-7697	1.733
1469-0667	1.207
0997-7538	1.484
0997-7546	1.328
0223-5234	3.346
1769-7212	2.178
0949-2321	0.978
0935-1221	1.486
1351-5101	3.692
0953-816X	3.631
1619-7070	4.991
1436-6207	2.75
0301-2115	1.974
1128-6598	0.531
1462-3889	1.41
0377-2217	1.815
1120-6721	0.965
1756-2406	1.667
0909-8836	1.878
1434-193X	3.329
0141-5387	0.893
1633-8065	0.097
1591-996X	0.435
1090-3798	2.123
1090-3801	3.939
0340-6199	1.879
0939-7248	0.808
0939-6411	4.269
0928-0987	3.212
0014-2999	2.516
0967-0262	1.828
0143-0807	0.823
1973-9087	1.402
0929-1873	1.413
0932-4739	1.968
1101-1262	2.728
0720-048X	2.606
1841-0464	0.6
1164-5563	1.578
1351-0754	2.34
1746-1391	0.976
1863-9933	0.328
1078-5884	2.991
1612-4642	1.306
0018-3768	0.606
0014-3022	1.811
0924-977X	4.046
1434-6001	2.19
1434-6028	1.534
1434-6044	3.631
1434-6060	1.476
1292-8941	1.944
2102-6459	1.182
2190-5444	 
1286-0042	0.771
1951-6355	1.562
0014-3057	2.739
0924-9338	2.766
0938-7994	3.222
0903-1936	5.895
1813-7253	0.947
0165-1587	1.383
1128-3602	1.04
0940-6719	1.965
1682-8631	0.283
0014-312X	0.932
1430-144X	0.577
1124-318X	0.454
0302-2838	8.493
1569-9056	1.827
1064-2293	0.247
1687-6180	0.811
1687-4722	0.709
1687-5281	0.5
1687-1499	0.873
1774-024X	3.285
1099-5129	1.98
1560-7917	6.153
0163-2787	1.231
1741-427X	4.774
1752-4571	4.916
1176-9343	1.229
0071-3260	3.611
1063-6560	1.061
1520-541X	2.47
0269-7653	2.453
1522-0613	1.029
1090-5138	3.113
0014-3820	5.146
1611-2156	1.061
1077-5552	2.789
0091-6331	4.491
0361-073X	1.306
0014-4797	1.06
1341-1357	0.922
0168-8162	1.725
0922-6435	1.818
1535-3702	2.526
0014-4819	2.395
0014-4827	3.58
1205-6626	0.576
0947-7349	1.693
1064-1297	2.577
1304-0855	0.813
0906-6705	3.543
1687-5214	1.2
0014-4835	3.259
0723-4864	1.735
0531-5565	3.741
0891-6152	0.537
0301-472X	2.905
0190-2148	1.22
1058-6458	0.574
0014-4851	1.522
1226-3613	2.481
0014-4800	2.425
0014-4886	4.699
0014-4894	2.122
0958-0670	3.211
0732-8818	0.257
1792-0981	0.206
0894-1777	1.414
0940-2993	2.781
1471-2598	3.505
1742-5247	4.896
1746-0441	2.116
1742-5255	3.119
1474-0338	3.015
1472-8214	3.207
1354-3784	5.274
1465-6566	3.205
